PEP 279 | draft| say | It says pretty much what we mean number these items , i e. assign a number to each one .|It says pretty much what we mean number these items , i e. assign a number to each one .
PEP 411 | accepted| issues | The version representation and comparison scheme described in this PEP is currently accepted on a provisional basis, as described in PEP 411.|This status is based on feedback received on the initial releases of pip 6.0 , and setuptools 8.0 , which revealed some issues in the specification that @@ -820,8 +820,7 @@ Compatible release ------------------
PEP 411 | accepted| feedback | currently accepted on a provisional basis 9 , as described in PEP 411.|This status is based on feedback received on the initial releases of pip 6.0 , and setuptools 8.0 , which revealed some issues in the specification that @@ -820,8 +820,7 @@ Compatible release ------------------
PEP 411 | accepted| issues | currently accepted on a provisional basis 9 , as described in PEP 411.|This status is based on feedback received on the initial releases of pip 6.0 , and setuptools 8.0 , which revealed some issues in the specification that @@ -820,8 +820,7 @@ Compatible release ------------------
PEP 411 | accepted| feedback | The version representation and comparison scheme described in this PEP is currently accepted on a provisional basis 9 , as described in PEP 411.|This status is based on feedback received on the initial releases of pip 6.0 , and setuptools 8.0 , which revealed some issues in the specification that had not been identified prior to acceptance .
PEP 411 | accepted| addressed | The version representation and comparison scheme described in this PEP is currently accepted on a provisional basis 9 , as described in PEP 411.|These issues will be addressed within PEP 440 itself , rather than introducing an entirely new PEP to cover relatively minor changes to a standard that has only just begun to be adopted .
PEP 411 | accepted| issues | The version representation and comparison scheme described in this PEP is currently accepted on a provisional basis 9 , as described in PEP 411.|This status is based on feedback received on the initial releases of pip 6.0 , and setuptools 8.0 , which revealed some issues in the specification that had not been identified prior to acceptance .
PEP 411 | accepted| issues | The version representation and comparison scheme described in this PEP is currently accepted on a provisional basis 9 , as described in PEP 411.|These issues will be addressed within PEP 440 itself , rather than introducing an entirely new PEP to cover relatively minor changes to a standard that has only just begun to be adopted .
PEP 411 | accepted| feedback | The version representation and comparison scheme described in this PEP is currently accepted on a provisional basis 9 , as described in PEP 411.|This status is based on feedback received on the initial releases of pip 6.0 , and setuptools 8.0 , which revealed some issues in the specification that had not been identified prior to acceptance .
PEP 411 | accepted| addressed | The version representation and comparison scheme described in this PEP is currently accepted on a provisional basis 9 , as described in PEP 411.|These issues will be addressed within PEP 440 itself , rather than introducing an entirely new PEP to cover relatively minor changes to a standard that has only just begun to be adopted .
PEP 411 | accepted| issues | The version representation and comparison scheme described in this PEP is currently accepted on a provisional basis 9 , as described in PEP 411.|This status is based on feedback received on the initial releases of pip 6.0 , and setuptools 8.0 , which revealed some issues in the specification that had not been identified prior to acceptance .
PEP 411 | accepted| issues | The version representation and comparison scheme described in this PEP is currently accepted on a provisional basis 9 , as described in PEP 411.|These issues will be addressed within PEP 440 itself , rather than introducing an entirely new PEP to cover relatively minor changes to a standard that has only just begun to be adopted .
PEP 411 | accepted| feedback | The version representation and comparison scheme described in this PEP is currently accepted on a provisional basis 9 , as described in PEP 411.|This status is based on feedback received on the initial releases of pip 6.0 , and setuptools 8.0 , which revealed some issues in the specification that had not been identified prior to acceptance .
PEP 411 | accepted| addressed | The version representation and comparison scheme described in this PEP is currently accepted on a provisional basis 9 , as described in PEP 411.|These issues will be addressed within PEP 440 itself , rather than introducing an entirely new PEP to cover relatively minor changes to a standard that has only just begun to be adopted .
PEP 411 | accepted| issues | The version representation and comparison scheme described in this PEP is currently accepted on a provisional basis 9 , as described in PEP 411.|This status is based on feedback received on the initial releases of pip 6.0 , and setuptools 8.0 , which revealed some issues in the specification that had not been identified prior to acceptance .
PEP 411 | accepted| issues | The version representation and comparison scheme described in this PEP is currently accepted on a provisional basis 9 , as described in PEP 411.|These issues will be addressed within PEP 440 itself , rather than introducing an entirely new PEP to cover relatively minor changes to a standard that has only just begun to be adopted .
PEP null | | reached | |Just as many developers consider it too difficult to develop truly secure modern networked software in C/C + + -LRB- largely due to the challenges associated with manual memory management -RRB- , I anticipate that in the not too distant future , it will be considered too difficult to develop truly secure modern networked software using the Python 2 series -LRB- some developers would argue that we have already reached that point -RRB- .
PEP null | | reached | |Just as many developers consider it too difficult to develop truly secure modern networked software in C/C + + -LRB- largely due to the challenges associated with manual memory management -RRB- , I anticipate that in the not too distant future , it will be considered too difficult to develop truly secure modern networked software using the Python 2 series -LRB- some developers would argue that we have already reached that point -RRB- .
PEP null | | reached | |Just as many developers consider it too difficult to develop truly secure modern networked software in C/C + + -LRB- largely due to the challenges associated with manual memory management -RRB- , I anticipate that in the not too distant future , it will be considered too difficult to develop truly secure modern networked software using the Python 2 series -LRB- some developers would argue that we have already reached that point -RRB- .
PEP 414 | accepted| reason | 2. Support 2.5 or earlier, where you would have to use u 'xxx' in place of u'xxx', unless PEP 414 is accepted but you would still have the exception syntax hacks to upset you.|This has been called a retrograde step , and one can see why ; ISTM the main reason for accepting this path is that some fairly vocal and respected developers do n't want to -LRB- as opposed to ca n't -RRB- take one of the other paths , and are basically saying they 're not porting their work to 3.x unless this path is taken .
PEP 414 | accepted| reason | 2. Support 2.5 or earlier, where you would have to use u 'xxx' in place of u'xxx', unless PEP 414 is accepted but you would still have the exception syntax hacks to upset you.|They 're saying between the lines that their views are representative of a fair number of other less vocal developers , who are also not porting their code for the same reason .
PEP 414 | accepted| say | 2. Support 2.5 or earlier, where you would have to use u 'xxx' in place of u'xxx', unless PEP 414 is accepted but you would still have the exception syntax hacks to upset you.|This has been called a retrograde step , and one can see why ; ISTM the main reason for accepting this path is that some fairly vocal and respected developers do n't want to -LRB- as opposed to ca n't -RRB- take one of the other paths , and are basically saying they 're not porting their work to 3.x unless this path is taken .
PEP 414 | accepted| say | 2. Support 2.5 or earlier, where you would have to use u 'xxx' in place of u'xxx', unless PEP 414 is accepted but you would still have the exception syntax hacks to upset you.|They 're saying between the lines that their views are representative of a fair number of other less vocal developers , who are also not porting their code for the same reason .
PEP 414 | accepted| issues | 2. Support 2.5 or earlier, where you would have to use u 'xxx' in place of u'xxx', unless PEP 414 is accepted but you would still have the exception syntax hacks to upset you.|-LRB- ISTM they 're glossing over the other issues which come up in a 2.x - > 3.x port , which require more time to diagnose and fix than problems caused by string literals . -RRB-
PEP 414 | accepted| reason | 2. Support 2.5 or earlier, where you would have to use u 'xxx' in place of u'xxx', unless PEP 414 is accepted but you would still have the exception syntax hacks to upset you.|This has been called a retrograde step , and one can see why ; ISTM the main reason for accepting this path is that some fairly vocal and respected developers do n't want to -LRB- as opposed to ca n't -RRB- take one of the other paths , and are basically saying they 're not porting their work to 3.x unless this path is taken .
PEP 414 | accepted| reason | 2. Support 2.5 or earlier, where you would have to use u 'xxx' in place of u'xxx', unless PEP 414 is accepted but you would still have the exception syntax hacks to upset you.|They 're saying between the lines that their views are representative of a fair number of other less vocal developers , who are also not porting their code for the same reason .
PEP 414 | accepted| say | 2. Support 2.5 or earlier, where you would have to use u 'xxx' in place of u'xxx', unless PEP 414 is accepted but you would still have the exception syntax hacks to upset you.|This has been called a retrograde step , and one can see why ; ISTM the main reason for accepting this path is that some fairly vocal and respected developers do n't want to -LRB- as opposed to ca n't -RRB- take one of the other paths , and are basically saying they 're not porting their work to 3.x unless this path is taken .
PEP 414 | accepted| say | 2. Support 2.5 or earlier, where you would have to use u 'xxx' in place of u'xxx', unless PEP 414 is accepted but you would still have the exception syntax hacks to upset you.|They 're saying between the lines that their views are representative of a fair number of other less vocal developers , who are also not porting their code for the same reason .
PEP 414 | accepted| issues | 2. Support 2.5 or earlier, where you would have to use u 'xxx' in place of u'xxx', unless PEP 414 is accepted but you would still have the exception syntax hacks to upset you.|-LRB- ISTM they 're glossing over the other issues which come up in a 2.x - > 3.x port , which require more time to diagnose and fix than problems caused by string literals . -RRB-
PEP 415 | replaced| feedback | The original exception suppression mechanism in PEP 409 which made clever but idiosyncratic use of Ellipsis , was replaced with the simpler mechanism in PEP 415 which instead uses a more conventional setter with side effects on other attributes approach .|Now , proposing further * enhancements * to a change is perfectly reasonable , especially if the feedback is based on practical experience with the original version of the change .
PEP 415 | replaced| feedback | The original exception suppression mechanism in PEP 409 which made clever but idiosyncratic use of Ellipsis , was replaced with the simpler mechanism in PEP 415 which instead uses a more conventional setter with side effects on other attributes approach .|The implementation of PEP 492 -LRB- async/await -RRB- , for example , underwent some fundamental changes during the beta process , as developers ' feedback showed that some of the design decisions we made in the original version were quite problematic .
PEP 415 | replaced| reason | The original exception suppression mechanism in PEP 409 which made clever but idiosyncratic use of Ellipsis , was replaced with the simpler mechanism in PEP 415 which instead uses a more conventional setter with side effects on other attributes approach .|Now , proposing further * enhancements * to a change is perfectly reasonable , especially if the feedback is based on practical experience with the original version of the change .
PEP null | | reason | |A number of reasons -LRB- not exhaustive -RRB- :
PEP 416 | rejected| discussion | It's not related to PEP 416 which was rejected .|We need to keep that list clear for important discussions .
PEP 416 | rejected| discussion | It's not related to PEP 416 which was rejected .|We need to keep that list clear for important discussions .
PEP null | | interest | |The idea of flags attached to each clock is interesting , but I do n't like the need of different list of clocks .
PEP null | | interest | |Under the assumption that all return some sort of timestamp and take no parameters , a local name will be assigned to the clock of interest :
PEP null | | interest | |There would not even be a need to document the actual names of the APIs for each individual clock , except that probably some folks would want to directly code them , especially if they are not interested in cross-platform work .
PEP null | | interest | |There would not even be a need to document the actual names of the APIs for each individual clock , except that probably some folks would want to directly code them , especially if they are not interested in cross-platform work .
PEP null | | discussion | |We 've just had pages upon pages of discussion about what clock to offer for the rather bald monotonic -LRB- -RRB- -LRB- et al -RRB- calls .
PEP null | | discussion | |The ordering of the MONTONIC_CLOCKS list would express the result of that discussion , in that the `` better '' clocks come first .
PEP null | | reason | |Sure , seems reasonable .
PEP null | | reason | |Once you start requesting precision -LRB- a totally reasonable desire , BTW -RRB- you also want to request degree of slew -LRB- since `` steady '' is a tunabe term -RRB- and so forth .
PEP null | | _steady | |haypo_steady = get_clock -LRB- MONOTONIC | STEADY , STEADY , MONOTONIC , REALTIME -RRB- # try to get a monotonic and steady clock , # or fallback to a steady clock , # or fallback to a monotonic clock , # or fallback to the system clock
PEP null | | _steady | |On Windows , haypo_steady should give GetTickCount -LRB- MONOTONIC | STEADY -RRB- and haypo_perf_counter should give QueryPerformanceCounter -LRB- MONOTONIC | HIGHRES -RRB- .
PEP null | | discussion | |but this is my exact objection to the `` just provide hires -LRB- -RRB- and steady -LRB- -RRB- and/or monotonic -LRB- -RRB- '' API ; the discussion to date is littered with `` I ca n't imagine wanting to do X '' style remarks .
PEP null | | rant | |System nanoTime -LRB- -RRB- of Java has few garantee : `` Returns the current value of the most precise available system timer , in nanoseconds .
PEP null | | rant | |System.nanoTime -LRB- -RRB- of Java has few garantee : `` Returns the current value of the most precise available system timer , in nanoseconds .
PEP null | | rant | |System.nanoTime -LRB- -RRB- of Java has few garantee : `` Returns the current value of the most precise available system timer , in nanoseconds .
PEP null | | debate | |Otherwise they are steady , if the runner 's speed is always sufficiently close to the flag speed -LRB- this threshold and the criteria for measuring it as subject to debate , forming policy -RRB- .
PEP null | | reason | |Well , yes , but even that 's not enough -- it needs to go forward at a reasonably constant rate , otherwise it 's just as useless .
PEP null | | reason | || > | This is the original reason for the original defect -LRB- issue 10278 -RRB- | > | unix ' clock -LRB- -RRB- does n't actually provide a clock in this sense , | > | it provides a resource usage metric .
PEP null | | say | || > | > Yeah :--LRB- Its help says `` Return the CPU time or real time since -LSB- ... -RSB- '' .
PEP null | | say | |This page : http://msdn.microsoft.com/en-us/library/windows/desktop/ms683223%28v=vs.85%29.aspx says `` 100-nanosecond time units '' .
PEP null | | say | |http://msdn microsoft com/en-us/library / windows/desktop/ms683223 % 28v = vs. 85 % 29 aspx | > says `` 100-nanosecond time units '' .
PEP null | | say | |http://msdn microsoft com/en-us/library / windows/desktop/ms683223 % 28v = vs. 85 % 29 aspx | > says `` 100-nanosecond time units '' .
PEP null | | say | |http://msdn.microsoft.com/en-us/library/windows/desktop/ms683223%28v=vs.85%29.aspx | > says `` 100-nanosecond time units '' .
PEP null | | rant | |In practice , most uses of `` monotonic '' with respect to clocks actually refer to a stronger set of guarantees , as described under <clock_monotonic>
PEP null | | pronounce | |-LRB- Unfortunately , it 's somewhat awkward to pronounce , easily confused with `` monotonic '' , and unfamiliar : maybe only musicians will have intuition for it .
PEP null | | say | |milliseconds | > | > I 'd say people would care if they knew , and mostly care about | > `` precision '' .
PEP null | | say | |milliseconds | > | > I 'd say people would care if they knew , and mostly care about | > `` precision '' .
PEP null | | say | |milliseconds | > | > I 'd say people would care if they knew , and mostly care about | > `` precision '' .
PEP null | | say | |milliseconds | > | > I 'd say people would care if they knew , and mostly care about | > `` precision '' .
PEP null | | say | |milliseconds | > | > I 'd say people would care if they knew , and mostly care about | > `` precision '' .
PEP null | | say | |milliseconds | > | > I 'd say people would care if they knew , and mostly care about | > `` precision '' .
PEP null | | say | |If we 're using the same definitions we discussed offline , where resolution is the units the clock call underneath works in for example , nanoseconds precision is the effective precision of the results , for example milliseconds I 'd say people would care if they knew , and mostly care about precision .
PEP null | | issues | |As usual there are issues of average vs. worst case , different resolution precision accuracy over the instrument 's range , etc. which need to be considered in reporting values for these properties .
PEP null | | issues | |As usual there are issues of average vs. worst case , different resolution/precision/accuracy over the instrument 's range , etc. which need to be considered in reporting values for these properties .
PEP null | | issues | |As usual there are issues of average vs. worst case , different resolution/precision/accuracy over the instrument 's range , etc. which need to be considered in reporting values for these properties .
PEP null | | controversial | |However , what I read in this thread is that the PEP protagonist does n't feel qualified or motivated to maintain the glossary , and others posting that surely we agree on what we 're talking about even though the definitions in the PEP are controversial and at least one resolution is close to meaningless in actual use .
PEP null | | controversial | |However , what I read in this thread is that the PEP protagonist does n't feel qualified or motivated to maintain the glossary , and others posting that surely we agree on what we 're talking about even though the definitions in the PEP are controversial and at least one -LRB- resolution -RRB- is close to meaningless in actual use .
PEP null | | announce | |clock_getres -LRB- -RRB- is really the resolution announced by the OS , even if the OS may be pessimistic -LRB- and so wrong , ex : OpenBSD and Solaris -RRB- .
PEP null | | reason | |This is a good reason why it is no more used in the PEP : - -RRB-
PEP null | | announce | |clock getres is really the resolution announced by the OS , even if the OS may be pessimistic and so wrong , ex OpenBSD and Solaris .
PEP null | | announce | |clock_getres -LRB- -RRB- is really the resolution announced by the OS , even if the OS may be pessimistic -LRB- and so wrong , ex : OpenBSD and Solaris -RRB- .
PEP null | | stalled | |How expensive depends on a lot of things decides before python was installed .
PEP null | | rant | |Is it because the functions used in practice -LRB- on a modern OS -RRB- to retrieve timestamps do n't guarantee to ignore changes to the system clock ?
PEP null | | stalled | |How expensive depends on a lot of things decides before python was installed .
PEP null | | say | |As I say above , that is so far away from what `` steady '' implies that this is a misnomer .
PEP null | | rant | |In addition to that , you may have the requirement that the monotonic clock also should not be able to jump forward , but if I understand things correctly , most current OS 's will not guarantee this .
PEP null | | discussion | |Reading this discussion , my conclusion is that not only us are confused , but everyone is .
PEP null | | rant | |In addition to that , you may have the requirement that the monotonic clock also should not be able to jump forward , but if I understand things correctly , most current OS 's will not guarantee this .
PEP null | | discussion | |Reading this discussion , my conclusion is that not only us are confused , but everyone is .
PEP null | | rant | |In addition to that , you may have the requirement that the monotonic clock also should not be able to jump forward , but if I understand things correctly , most current OS 's will not guarantee this .
PEP null | | discussion | |Reading this discussion , my conclusion is that not only us are confused , but everyone is .
PEP null | | rant | |In addition to that , you may have the requirement that the monotonic clock also should not be able to jump forward , but if I understand things correctly , most current OS 's will not guarantee this .
PEP null | | rant | |In addition to that , you may have the requirement that the monotonic clock also should not be able to jump forward , but if I understand things correctly , most current OS 's will not guarantee this .
PEP null | | rant | |As for the hires function , since there 's no guarantee whatsoever that it does provide a better resolution than time time , this would be really misleading IMHO .
PEP null | | rant | |As for the hires -LRB- -RRB- function , since there 's no guarantee whatsoever that it does provide a better resolution than time time -LRB- -RRB- , this would be really misleading IMHO .
PEP null | | interest | |The overview of the different monotonic clocks was interesting , because only one of them is adjusted by NTP , and that 's the unix CLOCK_MONOTONIC .
PEP null | | interest | |The overview of the different monotonic clocks was interesting , because only one of them is adjusted by NTP , and that 's the unix CLOCK_MONOTONIC .
PEP null | | rant | |It will give you the best source available for timers , but it does n't guarantee that it is steady or monotonic or high resolution or anything .
PEP null | | rant | |It will give you the best source available for timers , but it does n't guarantee that it is steady or monotonic or high resolution or anything .
PEP null | | issues | |It is not reliable and has too many issues .
PEP null | | issues | |It is not reliable and has too many issues .
PEP null | | issues | |It is not reliable and has too many issues .
PEP null | | issues | |It is not reliable and has too many issues .
PEP null | | announce | |for name in ` clock ' , ` perf counter ' , ` process time ' , ` monotonic ' , ` time ' func getattr time , name test clock s name , func info time get clock info name if ` precision ' in info print announced precision s format duration info ` precision ' print function s info ` function ' print resolution s format duration info ` resolution '
PEP null | | announce | |for name in ` clock ' , ` perf counter ' , ` process time ' , ` monotonic ' , ` time ' func getattr time , name test clock s name , func info time get clock info name if ` precision ' in info print announced precision s format duration info ` precision ' print function s info ` function ' print resolution s format duration info ` resolution '
PEP null | | announce | |for name in ` clock ' , ` perf counter ' , ` process time ' , ` monotonic ' , ` time ' func getattr time , name test clock s name , func info time get clock info name if ` precision ' in info print announced precision s format duration info ` precision ' print function s info ` function ' print resolution s format duration info ` resolution '
PEP null | | announce | |def test clock name , func precision compute precision func 42,7 42,7 info time get clock info name if ` precision ' in info print announced precision s format duration info ` precision ' print function s info ` function ' print implementation s info ` implementation ' print resolution s format duration info ` resolution '
PEP null | | announce | |def test clock name , func precision compute precision func 42,7 42,7 info time get clock info name if ` precision ' in info print announced precision s format duration info ` precision ' print function s info ` function ' print implementation s info ` implementation ' print resolution s format duration info ` resolution '
PEP null | | announce | |def test clock name , func precision compute precision func 42,7 42,7 info time get clock info name if ` precision ' in info print announced precision s format duration info ` precision ' print function s info ` function ' print implementation s info ` implementation ' print resolution s format duration info ` resolution '
PEP null | | announce | |The Python Resolution column was filled using the clock resolution py The OS Resolution is the resolution announced by the operating system .
PEP null | | announce | |The `` Python Resolution '' column was filled using the ` clock_resolution py The `` OS Resolution '' is the resolution announced by the operating system .
PEP null | | announce | |The `` Python Resolution '' column was filled using the ` clock_resolution py The `` OS Resolution '' is the resolution announced by the operating system .
PEP null | | announce | |The Python Resolution column was filled using the clock resolution py The OS Resolution is the resolution announced by the operating system .
PEP null | | announce | |The `` Python Resolution '' column was filled using the ` clock_resolution py The `` OS Resolution '' is the resolution announced by the operating system .
PEP null | | announce | |The `` Python Resolution '' column was filled using the ` clock_resolution py The `` OS Resolution '' is the resolution announced by the operating system .
PEP null | | announce | |The Python Resolution column was filled using the clock resolution py The OS Resolution is the resolution announced by the operating system .
PEP null | | announce | |The `` Python Resolution '' column was filled using the ` clock_resolution py The `` OS Resolution '' is the resolution announced by the operating system .
PEP null | | announce | |The `` Python Resolution '' column was filled using the ` clock_resolution py The `` OS Resolution '' is the resolution announced by the operating system .
PEP null | | announce | |The Python Resolution column was filled using the clock resolution py The OS Resolution is the resolution announced by the operating system .
PEP null | | announce | |The `` Python Resolution '' column was filled using the ` clock_resolution py The `` OS Resolution '' is the resolution announced by the operating system .
PEP null | | announce | |The `` Python Resolution '' column was filled using the ` clock_resolution py The `` OS Resolution '' is the resolution announced by the operating system .
PEP null | | announce | |The Python Resolution column was filled using the clock resolution py The OS Resolution is the resolution announced by the operating system .
PEP null | | announce | |The `` Python Resolution '' column was filled using the ` clock_resolution py The `` OS Resolution '' is the resolution announced by the operating system .
PEP null | | announce | |The `` Python Resolution '' column was filled using the ` clock_resolution py The `` OS Resolution '' is the resolution announced by the operating system .
PEP null | | announce | |The Python Resolution column was filled using the clock resolution py The OS Resolution is the resolution announced by the operating system .
PEP null | | announce | |The `` Python Resolution '' column was filled using the ` clock_resolution py The `` OS Resolution '' is the resolution announced by the operating system .
PEP null | | announce | |The `` Python Resolution '' column was filled using the ` clock_resolution py The `` OS Resolution '' is the resolution announced by the operating system .
PEP null | | announce | |The Python Resolution column was filled using the clock resolution py The OS Resolution is the resolution announced by the operating system .
PEP null | | announce | |The `` Python Resolution '' column was filled using the ` clock_resolution py The `` OS Resolution '' is the resolution announced by the operating system .
PEP null | | announce | |The `` Python Resolution '' column was filled using the ` clock_resolution py The `` OS Resolution '' is the resolution announced by the operating system .
PEP null | | announce | |The Python Resolution column was filled using the clock resolution py The OS Resolution is the resolution announced by the operating system .
PEP null | | announce | |The `` Python Resolution '' column was filled using the ` clock_resolution py The `` OS Resolution '' is the resolution announced by the operating system .
PEP null | | announce | |The `` Python Resolution '' column was filled using the ` clock_resolution py The `` OS Resolution '' is the resolution announced by the operating system .
PEP null | | announce | |The Python Resolution column was filled using the clock resolution py The OS Resolution is the resolution announced by the operating system .
PEP null | | announce | |The `` Python Resolution '' column was filled using the ` clock_resolution py The `` OS Resolution '' is the resolution announced by the operating system .
PEP null | | announce | |The `` Python Resolution '' column was filled using the ` clock_resolution py The `` OS Resolution '' is the resolution announced by the operating system .
PEP null | | announce | |The Python Resolution column was filled using the clock resolution py The OS Resolution is the resolution announced by the operating system .
PEP null | | announce | |The `` Python Resolution '' column was filled using the ` clock_resolution py The `` OS Resolution '' is the resolution announced by the operating system .
PEP null | | announce | |The `` Python Resolution '' column was filled using the ` clock_resolution py The `` OS Resolution '' is the resolution announced by the operating system .
PEP null | | announce | |The Python Resolution column was filled using the clock resolution py The OS Resolution is the resolution announced by the operating system .
PEP null | | announce | |The `` Python Resolution '' column was filled using the ` clock_resolution py The `` OS Resolution '' is the resolution announced by the operating system .
PEP null | | announce | |The `` Python Resolution '' column was filled using the ` clock_resolution py The `` OS Resolution '' is the resolution announced by the operating system .
PEP null | | announce | |The Python Resolution column was filled using the clock resolution py The OS Resolution is the resolution announced by the operating system .
PEP null | | announce | |The `` Python Resolution '' column was filled using the ` clock_resolution py The `` OS Resolution '' is the resolution announced by the operating system .
PEP null | | announce | |The `` Python Resolution '' column was filled using the ` clock_resolution py The `` OS Resolution '' is the resolution announced by the operating system .
PEP null | | issues | |It is not reliable and has too many issues .
PEP null | | issues | |It is not reliable and has too many issues .
PEP null | | issues | |It is not reliable and has too many issues .
PEP null | | announce | |utf8?q?lways announces a resolution of 1 nanosecond 2C ?
PEP null | | announce | |utf8?q?lways _ announces_a_resolution_of_1_nanosecond = 2C ?
PEP null | | announce | |utf8?q?lways _ announces_a_resolution_of_1_nanosecond = 2C ?
PEP null | | announce | |utf8?q?lways announces a resolution of 1 nanosecond 2C ?
PEP null | | announce | |utf8?q?lways _ announces_a_resolution_of_1_nanosecond = 2C ?
PEP null | | announce | |utf8?q?lways _ announces_a_resolution_of_1_nanosecond = 2C ?
PEP null | | announce | |utf8?q?lways announces a resolution of 1 nanosecond 2C ?
PEP null | | announce | |utf8?q?lways _ announces_a_resolution_of_1_nanosecond = 2C ?
PEP null | | announce | |utf8?q?lways _ announces_a_resolution_of_1_nanosecond = 2C ?
PEP null | | _steady | |static PyObject * time_steady -LRB- PyObject * self , PyObject * args , PyObject * kwargs -RRB- time_monotonic -LRB- PyObject * self , PyObject * unused -RRB- -LCB- static char * kwlist -LSB- -RSB- = -LCB- `` strict '' , NULL -RCB- ; int strict = 0 ; return pymonotonic -LRB- NULL -RRB- ; -RCB-
PEP null | | stalled | |QueryPerformanceFrequency fails if the installed hardware does not support a high resolution performance counter .
PEP null | | stalled | |QueryPerformanceFrequency -LRB- -RRB- fails if the installed hardware does not support a high-resolution performance counter .
PEP null | | stalled | |QueryPerformanceFrequency fails if the installed hardware does not support a high resolution performance counter .
PEP null | | stalled | |QueryPerformanceFrequency -LRB- -RRB- fails if the installed hardware does not support a high-resolution performance counter .
PEP null | | stalled | |QueryPerformanceFrequency fails if the installed hardware does not support a high resolution performance counter .
PEP null | | stalled | |QueryPerformanceFrequency -LRB- -RRB- fails if the installed hardware does not support a high-resolution performance counter .
PEP null | | stalled | |def monotonic if monotonic use performance counter try return time QueryPerformanceCounter except OSError QueryPerformanceFrequency may fail , if the installed hardware does not support a high resolution performance counter for example monotonic use performance counter False Fallback to GetTickCount GetTickCount64 which has a lower resolution return get tick count monotonic use performance counter True
PEP null | | stalled | |def monotonic -LRB- -RRB- : if monotonic use_performance_counter : try : return _ time QueryPerformanceCounter -LRB- -RRB- except OSError : # QueryPerformanceFrequency -LRB- -RRB- may fail , if the installed # hardware does not support a high-resolution performance # counter for example monotonic use_performance_counter = False # Fallback to GetTickCount/GetTickCount64 which has # a lower resolution return _ get_tick_count -LRB- -RRB- monotonic use_performance_counter = True
PEP null | | stalled | |QueryPerformanceFrequency fails if the installed hardware does not support a high resolution performance counter .
PEP null | | stalled | |QueryPerformanceFrequency -LRB- -RRB- fails if the installed hardware does not support a high-resolution performance counter .
PEP null | | stalled | |def monotonic if monotonic use performance counter try return time QueryPerformanceCounter except OSError QueryPerformanceFrequency may fail , if the installed hardware does not support a high resolution performance counter for example monotonic use performance counter False Fallback to GetTickCount GetTickCount64 which has a lower resolution return get tick count monotonic use performance counter True
PEP null | | stalled | |def monotonic -LRB- -RRB- : if monotonic use_performance_counter : try : return _ time QueryPerformanceCounter -LRB- -RRB- except OSError : # QueryPerformanceFrequency -LRB- -RRB- may fail , if the installed # hardware does not support a high-resolution performance # counter for example monotonic use_performance_counter = False # Fallback to GetTickCount/GetTickCount64 which has # a lower resolution return _ get_tick_count -LRB- -RRB- monotonic use_performance_counter = True
PEP null | | stalled | |QueryPerformanceFrequency fails if the installed hardware does not support a high resolution performance counter .
PEP null | | stalled | |QueryPerformanceFrequency -LRB- -RRB- fails if the installed hardware does not support a high-resolution performance counter .
PEP null | | stalled | |def monotonic if monotonic use performance counter try return time QueryPerformanceCounter except OSError QueryPerformanceFrequency may fail , if the installed hardware does not support a high resolution performance counter for example monotonic use performance counter False Fallback to GetTickCount GetTickCount64 which has a lower resolution return get tick count monotonic use performance counter True
PEP null | | stalled | |def monotonic -LRB- -RRB- : if monotonic use_performance_counter : try : return _ time QueryPerformanceCounter -LRB- -RRB- except OSError : # QueryPerformanceFrequency -LRB- -RRB- may fail , if the installed # hardware does not support a high-resolution performance # counter for example monotonic use_performance_counter = False # Fallback to GetTickCount/GetTickCount64 which has # a lower resolution return _ get_tick_count -LRB- -RRB- monotonic use_performance_counter = True
PEP null | | stalled | |QueryPerformanceFrequency fails if the installed hardware does not support a high resolution performance counter .
PEP null | | stalled | |QueryPerformanceFrequency -LRB- -RRB- fails if the installed hardware does not support a high-resolution performance counter .
PEP null | | stalled | |It fails if the installed hardware does not support a high resolution performance counter .
PEP null | | stalled | |It fails if the installed hardware does not support a high-resolution performance counter .
PEP null | | stalled | |QueryPerformanceFrequency fails if the installed hardware does not support a high resolution performance counter .
PEP null | | stalled | |QueryPerformanceFrequency -LRB- -RRB- fails if the installed hardware does not support a high-resolution performance counter .
PEP null | | stalled | |It fails if the installed hardware does not support a high resolution performance counter .
PEP null | | stalled | |It fails if the installed hardware does not support a high-resolution performance counter .
PEP null | | stalled | |QueryPerformanceFrequency fails if the installed hardware does not support a high resolution performance counter .
PEP null | | stalled | |QueryPerformanceFrequency -LRB- -RRB- fails if the installed hardware does not support a high-resolution performance counter .
PEP null | | stalled | |It fails if the installed hardware does not support a high resolution performance counter .
PEP null | | stalled | |It fails if the installed hardware does not support a high-resolution performance counter .
PEP null | | stalled | |QueryPerformanceFrequency fails if the installed hardware does not support a high resolution performance counter .
PEP null | | stalled | |QueryPerformanceFrequency -LRB- -RRB- fails if the installed hardware does not support a high-resolution performance counter .
PEP null | | stalled | |It fails if the installed hardware does not support a high resolution performance counter .
PEP null | | stalled | |It fails if the installed hardware does not support a high-resolution performance counter .
PEP null | | stalled | |It fails if the installed hardware does not support a high resolution performance counter .
PEP null | | stalled | |It fails if the installed hardware does not support a high-resolution performance counter .
PEP null | | stalled | |It fails if the installed hardware does not support a high resolution performance counter .
PEP null | | stalled | |It fails if the installed hardware does not support a high-resolution performance counter .
PEP null | | stalled | |It fails if the installed hardware does not support a high resolution performance counter .
