PEP 279| draft | list itemize amap enumerate does what is says . | four syllables is a little long enum pithy less clear than enumerate too similar to enum in other languages where it has a different meaning | say | list itemize amap enumerate does what is says .
PEP 366| accepted | I must say, this whole discussion is actually making me far more sympathetic to the ideas behind PEP 299 which proposed main functions as a replacement for name main blocks . | Brett's rejected PEP 3122 and my own accepted PEP 366 were both a direct result of the interpreter lying about the real value of name . | say | I must say, this whole discussion is actually making me far more sympathetic to the ideas behind PEP 299 which proposed main functions as a replacement for name main blocks .
PEP 369| withdrawn | This PEP is rejected by its author, because it has been superseded by the new importlib. | This PEP is withdrawn by its author, because it has been superseded by the new importlib. | _superseded | This PEP is rejected by its author, because it has been superseded by the new importlib.
PEP 369| withdrawn | This PEP is rejected by its author, because it has been superseded by the new importlib. | This PEP is withdrawn by its author, because it has been superseded by the new importlib. | _superseded | This PEP is rejected by its author, because it has been superseded by the new importlib.
PEP 369| withdrawn | This PEP is rejected by its author, because it has been superseded by the new importlib. | This PEP is withdrawn by its author, because it has been superseded by the new importlib. | _superseded | This PEP is rejected by its author, because it has been superseded by the new importlib.
PEP 369| withdrawn | This PEP is withdrawn by its author, because it has been superseded by the new importlib. | This PEP has been withdrawn by its author, as much of the detailed design is no longer valid following the migration to importlib in Python 3.3. | _superseded | This PEP is withdrawn by its author, because it has been superseded by the new importlib.
PEP 369| withdrawn | This PEP is withdrawn by its author, because it has been superseded by the new importlib. | This PEP has been withdrawn by its author, as much of the detailed design is no longer valid following the migration to importlib in Python 3.3. | _superseded | This PEP is withdrawn by its author, because it has been superseded by the new importlib.
PEP 369| withdrawn | This PEP is withdrawn by its author, because it has been superseded by the new importlib. | This PEP has been withdrawn by its author, as much of the detailed design is no longer valid following the migration to importlib in Python 3.3. | _superseded | This PEP is withdrawn by its author, because it has been superseded by the new importlib.
PEP 369| withdrawn | This PEP is rejected by its author, because it has been superseded by the new importlib. | This PEP has been withdrawn by its author, as much of the detailed design is no longer valid following the migration to importlib in Python 3.3. | _superseded | This PEP is rejected by its author, because it has been superseded by the new importlib.
PEP 369| withdrawn | This PEP is rejected by its author, because it has been superseded by the new importlib. | This PEP has been withdrawn by its author, as much of the detailed design is no longer valid following the migration to importlib in Python 3.3. | _superseded | This PEP is rejected by its author, because it has been superseded by the new importlib.
PEP 370| updated | ?ric Araujo merwok at netwok org added the comment | FYI, I have updated the site module and distutils packaging docs to document the PEP 370 features. | _comment | ?ric Araujo merwok at netwok org added the comment
PEP 370| updated | ?ric Araujo merwok at netwok org added the comment | FYI, I have updated the site module and distutils packaging docs to document the PEP 370 features. | _comment | ?ric Araujo merwok at netwok org added the comment
PEP 376| accepted | This enhancement was driven by the discussions about the rating comment system at PyPI on catalog sig. | We believe that having PEP 376 and PEP 345 accepted will be a major improvement for the Python packaging eco system. | discussion | This enhancement was driven by the discussions about the rating comment system at PyPI on catalog sig.
PEP 376| accepted | This enhancement was driven by the discussions about the rating comment system at PyPI on catalog sig. | We believe that having PEP 376 and PEP 345 accepted will be a major improvement for the Python packaging eco system. | _discussions | This enhancement was driven by the discussions about the rating comment system at PyPI on catalog sig.
PEP 376| accepted | This enhancement was driven by the discussions about the rating comment system at PyPI on catalog sig. | We believe that having PEP 376 and PEP 345 accepted will be a major improvement for the Python packaging eco system. | _comment | This enhancement was driven by the discussions about the rating comment system at PyPI on catalog sig.
PEP 378| updated | Eric Smith eric at trueblade com added the comment | I updated the PEP in r71686. | _comment | Eric Smith eric at trueblade com added the comment
PEP 378| updated | Eric Smith eric at trueblade com added the comment | I updated the PEP in r71686. | _comment | Eric Smith eric at trueblade com added the comment
PEP 382| wrote_pep | I had announced this to import sig already now python dev. | I have now written an implementation of PEP 382, and fixed some details of the PEP in the process. | announce | I had announced this to import sig already now python dev.
PEP 382| rejected | After some discussion, the decision was ultimately deferred with what appeared to be a want for parts of both PEPs. | As of Monday at the PyCon sprints, both PEPs have been rejected see the Rejection Notice at the top of each PEP . | discussion | After some discussion, the decision was ultimately deferred with what appeared to be a want for parts of both PEPs.
PEP 382| rejected | After some discussion, the decision was ultimately deferred with what appeared to be a want for parts of both PEPs. | As of Monday at the PyCon sprints, both PEPs have been rejected see the Rejection Notice at the top of each PEP . | discussion | After some discussion, the decision was ultimately deferred with what appeared to be a want for parts of both PEPs.
PEP 391| updated | Thanks for your helpful comments. | I have checked in some changes to the PEP r76533 which take into account the comments you made. | comments | Thanks for your helpful comments.
PEP 391| updated | Thanks for your helpful comments. | I have checked in some changes to the PEP r76533 which take into account the comments you made. | _comment | Thanks for your helpful comments.
PEP 391| updated | Thanks for your helpful comments. | I have checked in some changes to the PEP r76533 which take into account the comments you made. | comments | Thanks for your helpful comments.
PEP 391| updated | Thanks for your helpful comments. | I have checked in some changes to the PEP r76533 which take into account the comments you made. | _comment | Thanks for your helpful comments.
PEP 393| draft | Martin v. L?wis martin at v loewis de added the comment | A PEP 393 draft implementation is available at https bitbucket org t0rsten pep 393 branch pep 393 if this gets into 3.3, this issue will be outdated there won't be narrow builds of Python anymore nor will there be wide builds . | _comment | Martin v. L?wis martin at v loewis de added the comment
PEP 393| accepted | STINNER Victor victor stinner at haypocalc com added the comment | The PEP 393 has been accepted strings are now stored as PyUCS1 , PyUCS2 or PyUCS4 . | _comment | STINNER Victor victor stinner at haypocalc com added the comment
PEP 393| accepted | STINNER Victor victor stinner at haypocalc com added the comment | The PEP 393 has been accepted strings are now stored as PyUCS1 , PyUCS2 or PyUCS4 . | _comment | STINNER Victor victor stinner at haypocalc com added the comment
PEP 393| accepted | STINNER Victor victor stinner at haypocalc com added the comment | The PEP 393 has been accepted strings are now stored as PyUCS1 , PyUCS2 or PyUCS4 . | _comment | STINNER Victor victor stinner at haypocalc com added the comment
PEP 393| accepted | STINNER Victor victor stinner at haypocalc com added the comment | The PEP 393 has been accepted and merge into Python 3.3. | _comment | STINNER Victor victor stinner at haypocalc com added the comment
PEP 393| accepted | STINNER Victor victor stinner at haypocalc com added the comment | The PEP 393 has been accepted and merge into Python 3.3. | _comment | STINNER Victor victor stinner at haypocalc com added the comment
PEP 393| accepted | STINNER Victor victor stinner at haypocalc com added the comment | PEP 393 has been accepted and merged into Python 3.3. | _comment | STINNER Victor victor stinner at haypocalc com added the comment
PEP 393| accepted | STINNER Victor victor stinner at haypocalc com added the comment | PEP 393 has been accepted and merged into Python 3.3. | _comment | STINNER Victor victor stinner at haypocalc com added the comment
PEP 394| updated | The relevant comment | Also, I updated the PEP with the clarification that commands like python3 should be hard links because they'll be invoked from code and are more efficient also, hard links are just as flexible as symlinks here , while commands like python should be soft links because this makes it clear to sysadmins that they can be switched , and it's needed for flexibility if python3 changes . | _comment | The relevant comment
PEP 394| updated | The relevant comment | Also, I updated the PEP with the clarification that commands like python3 should be hard links because they'll be invoked from code and are more efficient also, hard links are just as flexible as symlinks here , while commands like python should be soft links because this makes it clear to sysadmins that they can be switched , and it's needed for flexibility if python3 changes . | _comment | The relevant comment
PEP 394| accepted | The main problem is that, again by default, Distutils packaged scripts are installed into the framework bin directory. | This means there is no ambiguity or conflict among the same package script installed in different versions of Python a good thing but it also means the proper way to manage which Python is invoked by python or by python3 and python2 in the future when PEP 394 is approved and implemented is by ensuring the desired primary version's framework bin directory comes first on the shell PATH environment variable. | stalled | The main problem is that, again by default, Distutils packaged scripts are installed into the framework bin directory.
PEP 397| rejected | After some discussion, the decision was ultimately deferred with what appeared to be a want for parts of both PEPs. | As of Monday at the PyCon sprints, both PEPs have been rejected see the Rejection Notice at the top of each PEP . | discussion | After some discussion, the decision was ultimately deferred with what appeared to be a want for parts of both PEPs.
PEP 397| rejected | After some discussion, the decision was ultimately deferred with what appeared to be a want for parts of both PEPs. | As of Monday at the PyCon sprints, both PEPs have been rejected see the Rejection Notice at the top of each PEP . | discussion | After some discussion, the decision was ultimately deferred with what appeared to be a want for parts of both PEPs.
PEP 402| rejected | After some discussion, the decision was ultimately deferred with what appeared to be a want for parts of both PEPs. | As of Monday at the PyCon sprints, both PEPs have been rejected see the Rejection Notice at the top of each PEP . | discussion | After some discussion, the decision was ultimately deferred with what appeared to be a want for parts of both PEPs.
PEP 402| rejected | After some discussion, the decision was ultimately deferred with what appeared to be a want for parts of both PEPs. | As of Monday at the PyCon sprints, both PEPs have been rejected see the Rejection Notice at the top of each PEP . | discussion | After some discussion, the decision was ultimately deferred with what appeared to be a want for parts of both PEPs.
PEP 410| accepted | STINNER Victor victor stinner at gmail com added the comment | TODO the conversion from Decimal to PyTime t does still use a cast to float and so lose precision the PEP must be accepted | _comment | STINNER Victor victor stinner at gmail com added the comment
PEP 410| rejected | STINNER Victor victor stinner at gmail com added the comment | A tuple is not the preferred type for a timestamp Python uses float and is not going to use something different the PEP 410 was just rejected . | _comment | STINNER Victor victor stinner at gmail com added the comment
PEP 410| rejected | STINNER Victor victor stinner at gmail com added the comment | A tuple is not the preferred type for a timestamp Python uses float and is not going to use something different the PEP 410 was just rejected . | _comment | STINNER Victor victor stinner at gmail com added the comment
PEP 410| rejected | R. David Murray rdmurray at bitdance com added the comment | Victor proposed deprecating it as part of PEP 410 see issue 13882 , but the PEP was rejected for other reasons. | _comment | R. David Murray rdmurray at bitdance com added the comment
PEP 410| rejected | R. David Murray rdmurray at bitdance com added the comment | Victor proposed deprecating it as part of PEP 410 see issue 13882 , but the PEP was rejected for other reasons. | _comment | R. David Murray rdmurray at bitdance com added the comment
PEP 410| idea_rejected | STINNER Victor added the comment | This idea was rejected see the PEP 410 | _comment | STINNER Victor added the comment
PEP 411| rejected | After some discussion, the decision was ultimately deferred with what appeared to be a want for parts of both PEPs. | As of Monday at the PyCon sprints, both PEPs have been rejected see the Rejection Notice at the top of each PEP . | discussion | After some discussion, the decision was ultimately deferred with what appeared to be a want for parts of both PEPs.
PEP 411| rejected | After some discussion, the decision was ultimately deferred with what appeared to be a want for parts of both PEPs. | As of Monday at the PyCon sprints, both PEPs have been rejected see the Rejection Notice at the top of each PEP . | discussion | After some discussion, the decision was ultimately deferred with what appeared to be a want for parts of both PEPs.
PEP 415| replaced | The implementation of PEP 492 async await , for example, underwent some fundamental changes during the beta process, as developers' feedback showed that some of the design decisions we made in the original version were quite problematic. | The original exception suppression mechanism in PEP 409 which made clever but idiosyncratic use of Ellipsis , was replaced with the simpler mechanism in PEP 415 which instead uses a more conventional setter with side effects on other attributes approach . | feedback | The implementation of PEP 492 async await , for example, underwent some fundamental changes during the beta process, as developers' feedback showed that some of the design decisions we made in the original version were quite problematic.
PEP 418| draft | I started to write the PEP 418 to clarify the notions of monotonic and steady clocks. | The PEP is a draft and everyone is invited to contribute! | _steady | I started to write the PEP 418 to clarify the notions of monotonic and steady clocks.
PEP 418| accepted | STINNER Victor victor stinner at gmail com added the comment | The PEP 418 has been accepted read it to understand why time clock is now deprecated. | _comment | STINNER Victor victor stinner at gmail com added the comment
PEP 418| accepted | STINNER Victor victor stinner at gmail com added the comment | The PEP 418 has been accepted read it to understand why time clock is now deprecated. | _comment | STINNER Victor victor stinner at gmail com added the comment
PEP 418| accepted | STINNER Victor victor stinner at gmail com added the comment | The PEP 418 has been accepted read it to understand why time clock is now deprecated. | _comment | STINNER Victor victor stinner at gmail com added the comment
PEP 419| deferred | Mark Lawrence added the comment | FTR PEP 419 has been deferred as there's no champion. | _comment | Mark Lawrence added the comment
PEP 421| withdrawn | This PEP is rejected by its author, because it has been superseded by the new importlib. | This PEP has been withdrawn by its author, as much of the detailed design is no longer valid following the migration to importlib in Python 3.3. | _superseded | This PEP is rejected by its author, because it has been superseded by the new importlib.
PEP 423| deferred | diff git a pep 0423 txt b pep 0423 txt b pep 0423 txt 4,7 4,7 last modified date author benoit bryon benoit at marmelune net discussions to distutils sig at python org status draft status deferred type informational content type text x rst created 24 may 2012 28,6 28,11 specific recipes for existing projects how to apply naming guidelines on existing projects . | further consideration of this pep has been deferred at least until after | discussion | diff git a pep 0423 txt b pep 0423 txt b pep 0423 txt 4,7 4,7 last modified date author benoit bryon benoit at marmelune net discussions to distutils sig at python org status draft status deferred type informational content type text x rst created 24 may 2012 28,6 28,11 specific recipes for existing projects how to apply naming guidelines on existing projects .
PEP 423| deferred | diff git a pep 0423 txt b pep 0423 txt b pep 0423 txt 4,7 4,7 last modified date author benoit bryon benoit at marmelune net discussions to distutils sig at python org status draft status deferred type informational content type text x rst created 24 may 2012 28,6 28,11 specific recipes for existing projects how to apply naming guidelines on existing projects . | further consideration of this pep has been deferred at least until after | _discussions | diff git a pep 0423 txt b pep 0423 txt b pep 0423 txt 4,7 4,7 last modified date author benoit bryon benoit at marmelune net discussions to distutils sig at python org status draft status deferred type informational content type text x rst created 24 may 2012 28,6 28,11 specific recipes for existing projects how to apply naming guidelines on existing projects .
PEP 423| deferred | pep 0423 txt 7 pankajdiff git a pep 0423 txt b pep 0423 txt b pep 0423 txt 4,7 4,7 last modified date author benoit bryon benoit at marmelune net discussions to distutils sig at python org status draft status deferred type informational content type text x rst created 24 may 2012 28,6 28,11 specific recipes for existing projects how to apply naming guidelines on existing projects . | further consideration of this pep has been deferred at least until after | discussion | pep 0423 txt 7 pankajdiff git a pep 0423 txt b pep 0423 txt b pep 0423 txt 4,7 4,7 last modified date author benoit bryon benoit at marmelune net discussions to distutils sig at python org status draft status deferred type informational content type text x rst created 24 may 2012 28,6 28,11 specific recipes for existing projects how to apply naming guidelines on existing projects .
PEP 423| deferred | pep 0423 txt 7 pankajdiff git a pep 0423 txt b pep 0423 txt b pep 0423 txt 4,7 4,7 last modified date author benoit bryon benoit at marmelune net discussions to distutils sig at python org status draft status deferred type informational content type text x rst created 24 may 2012 28,6 28,11 specific recipes for existing projects how to apply naming guidelines on existing projects . | further consideration of this pep has been deferred at least until after | _discussions | pep 0423 txt 7 pankajdiff git a pep 0423 txt b pep 0423 txt b pep 0423 txt 4,7 4,7 last modified date author benoit bryon benoit at marmelune net discussions to distutils sig at python org status draft status deferred type informational content type text x rst created 24 may 2012 28,6 28,11 specific recipes for existing projects how to apply naming guidelines on existing projects .
PEP 434| updated | Terry J. Reedy added the comment | Benjamim, I made idlever update from sys version until removed, so remove it from release process. | _comment | Terry J. Reedy added the comment
PEP 434| updated | Terry J. Reedy added the comment | Benjamim, I made idlever update from sys version until removed, so remove it from release process. | _comment | Terry J. Reedy added the comment
PEP 435| accepted | Guido has pronounced a decision on this issue 5 , as well as related issues of not allowing to subclass enums 6 , unless they define no enumeration members 7 . | The PEP was accepted by Guido on May 10th, 2013 1 . | pronounce | Guido has pronounced a decision on this issue 5 , as well as related issues of not allowing to subclass enums 6 , unless they define no enumeration members 7 .
PEP 435| accepted | Guido has pronounced a decision on this issue 5 , as well as related issues of not allowing to subclass enums 6 , unless they define no enumeration members 7 . | The PEP was accepted by Guido on May 10th, 2013 1 . | issues | Guido has pronounced a decision on this issue 5 , as well as related issues of not allowing to subclass enums 6 , unless they define no enumeration members 7 .
PEP 435| accepted | Guido has pronounced a decision on this issue 5 , as well as related issues of not allowing to subclass enums 6 , unless they define no enumeration members 7 . | The PEP was accepted by Guido on May 10th, 2013 1 . | pronounced | Guido has pronounced a decision on this issue 5 , as well as related issues of not allowing to subclass enums 6 , unless they define no enumeration members 7 .
PEP 435| bdfl_pronouncement_accepted | Guido has pronounced a decision on this issue 5 , as well as related issues of not allowing to subclass enums 6 , unless they define no enumeration members 7 . | The PEP was accepted by Guido on May 10th, 2013 1 . | pronounce | Guido has pronounced a decision on this issue 5 , as well as related issues of not allowing to subclass enums 6 , unless they define no enumeration members 7 .
PEP 435| bdfl_pronouncement_accepted | Guido has pronounced a decision on this issue 5 , as well as related issues of not allowing to subclass enums 6 , unless they define no enumeration members 7 . | The PEP was accepted by Guido on May 10th, 2013 1 . | issues | Guido has pronounced a decision on this issue 5 , as well as related issues of not allowing to subclass enums 6 , unless they define no enumeration members 7 .
PEP 435| bdfl_pronouncement_accepted | Guido has pronounced a decision on this issue 5 , as well as related issues of not allowing to subclass enums 6 , unless they define no enumeration members 7 . | The PEP was accepted by Guido on May 10th, 2013 1 . | pronounced | Guido has pronounced a decision on this issue 5 , as well as related issues of not allowing to subclass enums 6 , unless they define no enumeration members 7 .
PEP 438| accepted | Thanks everyone who's been involved in the formulation and discussion of PEP 438 Transitioning to release file hosting on PyPI . | I have today accepted the PEP and the first phase of implementation is now underway, spearheaded by Donald Stufft. | discussion | Thanks everyone who's been involved in the formulation and discussion of PEP 438 Transitioning to release file hosting on PyPI .
PEP 440| updated | If that long term approach sounds reasonable to folks, we should probably promote packaging from Donald's personal repo, include it in the PyPA project list and tweak the description of distlib accordingly. | just down to my current workload I'm busy with consultancy work Note that I have recently updated distlib to reflect changes in PEP 440, though this functionality has not been officially released it's available in the public repos, though . | reason | If that long term approach sounds reasonable to folks, we should probably promote packaging from Donald's personal repo, include it in the PyPA project list and tweak the description of distlib accordingly.
PEP 440| updated | If that long term approach sounds reasonable to folks, we should probably promote packaging from Donald's personal repo, include it in the PyPA project list and tweak the description of distlib accordingly. | just down to my current workload I'm busy with consultancy work Note that I have recently updated distlib to reflect changes in PEP 440, though this functionality has not been officially released it's available in the public repos, though . | reason | If that long term approach sounds reasonable to folks, we should probably promote packaging from Donald's personal repo, include it in the PyPA project list and tweak the description of distlib accordingly.
PEP 444| deferred | diff git a pep 0444 txt b pep 0444 txt b pep 0444 txt 5,7 5,7 author chris mcdonough chrism at plope com , armin ronacher armin ronacher at active 4 com discussions to python web sig web sig at python org status draft status deferred type informational content type text x rst created 19 jul 2010 18,6 18,18 interface between web servers and python web applications or frameworks. | further exploration of the concepts covered in this pep has been deferred for lack of a current champion interested in promoting the goals of the pep and collecting and incorporating feedback, and with sufficient available time to do so effectively. | discussion | diff git a pep 0444 txt b pep 0444 txt b pep 0444 txt 5,7 5,7 author chris mcdonough chrism at plope com , armin ronacher armin ronacher at active 4 com discussions to python web sig web sig at python org status draft status deferred type informational content type text x rst created 19 jul 2010 18,6 18,18 interface between web servers and python web applications or frameworks.
PEP 444| deferred | diff git a pep 0444 txt b pep 0444 txt b pep 0444 txt 5,7 5,7 author chris mcdonough chrism at plope com , armin ronacher armin ronacher at active 4 com discussions to python web sig web sig at python org status draft status deferred type informational content type text x rst created 19 jul 2010 18,6 18,18 interface between web servers and python web applications or frameworks. | further exploration of the concepts covered in this pep has been deferred for lack of a current champion interested in promoting the goals of the pep and collecting and incorporating feedback, and with sufficient available time to do so effectively. | _discussions | diff git a pep 0444 txt b pep 0444 txt b pep 0444 txt 5,7 5,7 author chris mcdonough chrism at plope com , armin ronacher armin ronacher at active 4 com discussions to python web sig web sig at python org status draft status deferred type informational content type text x rst created 19 jul 2010 18,6 18,18 interface between web servers and python web applications or frameworks.
PEP 444| deferred | pep 0444 txt 14 pankajdiff git a pep 0444 txt b pep 0444 txt b pep 0444 txt 5,7 5,7 author chris mcdonough chrism at plope com , armin ronacher armin ronacher at active 4 com discussions to python web sig web sig at python org status draft status deferred type informational content type text x rst created 19 jul 2010 18,6 18,18 interface between web servers and python web applications or frameworks. | further exploration of the concepts covered in this pep has been deferred for lack of a current champion interested in promoting the goals of the pep and collecting and incorporating feedback, and with sufficient available time to do so effectively. | discussion | pep 0444 txt 14 pankajdiff git a pep 0444 txt b pep 0444 txt b pep 0444 txt 5,7 5,7 author chris mcdonough chrism at plope com , armin ronacher armin ronacher at active 4 com discussions to python web sig web sig at python org status draft status deferred type informational content type text x rst created 19 jul 2010 18,6 18,18 interface between web servers and python web applications or frameworks.
PEP 444| deferred | pep 0444 txt 14 pankajdiff git a pep 0444 txt b pep 0444 txt b pep 0444 txt 5,7 5,7 author chris mcdonough chrism at plope com , armin ronacher armin ronacher at active 4 com discussions to python web sig web sig at python org status draft status deferred type informational content type text x rst created 19 jul 2010 18,6 18,18 interface between web servers and python web applications or frameworks. | further exploration of the concepts covered in this pep has been deferred for lack of a current champion interested in promoting the goals of the pep and collecting and incorporating feedback, and with sufficient available time to do so effectively. | _discussions | pep 0444 txt 14 pankajdiff git a pep 0444 txt b pep 0444 txt b pep 0444 txt 5,7 5,7 author chris mcdonough chrism at plope com , armin ronacher armin ronacher at active 4 com discussions to python web sig web sig at python org status draft status deferred type informational content type text x rst created 19 jul 2010 18,6 18,18 interface between web servers and python web applications or frameworks.
PEP 451| accepted | As an example that hopefully helps illustrate the two different cases, the shift to enabling proper SSL TLS verification by default would qualify as a worthy use of programmatic deprecation since the current insecure by default behaviour is a genuine bug magnet that leads to security flaws , but I'm not yet convinced that we actually gain any significant benefit from deprecating the legacy import plugin APIs. | While PEP 451 nominally approved deprecating the latter, on the basis that deprecating them will make importlib easier to maintain, they received a stay of execution in 3.4 because the extension module import system currently still needs them, and there are other valid use cases that PEP 451 doesn't currently cover, At this point, I have come to believe that retaining the existing strictly more powerful but also harder to use correctly plugin API is a better way to handle those more complex use cases rather than inventing something new on top of PEP 451, as the latter approach would make things harder to maintain due to increased complexity and needing to manage the deprecation process , and provide a worse experience for users implementing custom import hooks that need to support multiple versions due to the introduction of new cross version compatibility issues . | bug_magnet | As an example that hopefully helps illustrate the two different cases, the shift to enabling proper SSL TLS verification by default would qualify as a worthy use of programmatic deprecation since the current insecure by default behaviour is a genuine bug magnet that leads to security flaws , but I'm not yet convinced that we actually gain any significant benefit from deprecating the legacy import plugin APIs.
PEP 453| accepted | As the PEP 453 bundling PIP proposal was originally made by Nick, maybe he would like to check that any issues covered there are addressed. | Personally, I'm going to focus on the implied virtualenv change, on the assumption taht PEP 453 is accepted with the Scripts bin change included which is not to say that I won't read that thread, just that I don't personally have any means to change the PEP itself . | addressed | As the PEP 453 bundling PIP proposal was originally made by Nick, maybe he would like to check that any issues covered there are addressed.
PEP 453| accepted | As the PEP 453 bundling PIP proposal was originally made by Nick, maybe he would like to check that any issues covered there are addressed. | Personally, I'm going to focus on the implied virtualenv change, on the assumption taht PEP 453 is accepted with the Scripts bin change included which is not to say that I won't read that thread, just that I don't personally have any means to change the PEP itself . | issues | As the PEP 453 bundling PIP proposal was originally made by Nick, maybe he would like to check that any issues covered there are addressed.
PEP 453| accepted | As the PEP 453 bundling PIP proposal was originally made by Nick, maybe he would like to check that any issues covered there are addressed. | Personally, I'm going to focus on the implied virtualenv change, on the assumption taht PEP 453 is accepted with the Scripts bin change included which is not to say that I won't read that thread, just that I don't personally have any means to change the PEP itself . | addressed | As the PEP 453 bundling PIP proposal was originally made by Nick, maybe he would like to check that any issues covered there are addressed.
PEP 453| accepted | As the PEP 453 bundling PIP proposal was originally made by Nick, maybe he would like to check that any issues covered there are addressed. | Personally, I'm going to focus on the implied virtualenv change, on the assumption taht PEP 453 is accepted with the Scripts bin change included which is not to say that I won't read that thread, just that I don't personally have any means to change the PEP itself . | issues | As the PEP 453 bundling PIP proposal was originally made by Nick, maybe he would like to check that any issues covered there are addressed.
PEP 453| accepted | As the PEP 453 bundling PIP proposal was originally made by Nick, maybe he would like to check that any issues covered there are addressed. | Personally, I'm going to focus on the implied virtualenv change, on the assumption taht PEP 453 is accepted with the Scripts bin change included which is not to say that I won't read that thread, just that I don't personally have any means to change the PEP itself . | addressed | As the PEP 453 bundling PIP proposal was originally made by Nick, maybe he would like to check that any issues covered there are addressed.
PEP 453| accepted | As the PEP 453 bundling PIP proposal was originally made by Nick, maybe he would like to check that any issues covered there are addressed. | Personally, I'm going to focus on the implied virtualenv change, on the assumption taht PEP 453 is accepted with the Scripts bin change included which is not to say that I won't read that thread, just that I don't personally have any means to change the PEP itself . | issues | As the PEP 453 bundling PIP proposal was originally made by Nick, maybe he would like to check that any issues covered there are addressed.
PEP 453| accepted | As the PEP 453 bundling PIP proposal was originally made by Nick, maybe he would like to check that any issues covered there are addressed. | Personally, I'm going to focus on the implied virtualenv change, on the assumption taht PEP 453 is accepted with the Scripts bin change included which is not to say that I won't read that thread, just that I don't personally have any means to change the PEP itself . | addressed | As the PEP 453 bundling PIP proposal was originally made by Nick, maybe he would like to check that any issues covered there are addressed.
PEP 453| accepted | As the PEP 453 bundling PIP proposal was originally made by Nick, maybe he would like to check that any issues covered there are addressed. | Personally, I'm going to focus on the implied virtualenv change, on the assumption taht PEP 453 is accepted with the Scripts bin change included which is not to say that I won't read that thread, just that I don't personally have any means to change the PEP itself . | issues | As the PEP 453 bundling PIP proposal was originally made by Nick, maybe he would like to check that any issues covered there are addressed.
PEP 453| draft | Donald Stufft added the comment | Attached is an initial rough draft of the ensurepip module. | _comment | Donald Stufft added the comment
PEP 456| accepted | Christian has indicated he now considers PEP 456, which adds an updated and configurable hash algorithm ready for pronouncement http www python org dev peps pep 0456 | I am happy the PEP and the associated implementation represent a desirable improvement to CPython, and approve of the proposal to experiment further with the small string optimisation during the beta period, before either enabling it or removing it entirely in beta 2. | pronounce | Christian has indicated he now considers PEP 456, which adds an updated and configurable hash algorithm ready for pronouncement http www python org dev peps pep 0456
PEP 456| accepted | Christian has indicated he now considers PEP 456, which adds an updated and configurable hash algorithm ready for pronouncement http www python org dev peps pep 0456 | I am happy the PEP and the associated implementation represent a desirable improvement to CPython, and approve of the proposal to experiment further with the small string optimisation during the beta period, before either enabling it or removing it entirely in beta 2. | _pronouncement | Christian has indicated he now considers PEP 456, which adds an updated and configurable hash algorithm ready for pronouncement http www python org dev peps pep 0456
PEP 459| draft | That's the timeline for the formal definition, in practice drop pydist json in the existing directory as PEP 426 suggests is a fairly safe bet as to what those specs are going to say. | The don't rely on it unless the container version says it's OK to do so caution in the PEP is primarily because wheels already ship with pydist json metadata emitted based on an earlier draft version of the spec from before I gutted it and moved the optional sections out to PEP 459 as standard extension modules, which is also the change that did the most damage when it came to invalidating the current jsonschema definition . | say | That's the timeline for the formal definition, in practice drop pydist json in the existing directory as PEP 426 suggests is a fairly safe bet as to what those specs are going to say.
PEP 465| idea_rejected | The argument is that significant performance gains would occur from runtime optimizations through something like a JIT and not through pre execution bytecode optimizations. | This idea is rejected for this PEP as that ignores the fact that there are people who do find the pre existing optimization levels for CPython useful. | _argument | The argument is that significant performance gains would occur from runtime optimizations through something like a JIT and not through pre execution bytecode optimizations.
PEP 465| idea_rejected | The argument is that significant performance gains would occur from runtime optimizations through something like a JIT and not through pre execution bytecode optimizations. | This idea is rejected for this PEP as that ignores the fact that there are people who do find the pre existing optimization levels for CPython useful. | _argument | The argument is that significant performance gains would occur from runtime optimizations through something like a JIT and not through pre execution bytecode optimizations.
PEP 465| idea_rejected | The argument is that significant performance gains would occur from runtime optimizations through something like a JIT and not through pre execution bytecode optimizations. | This idea is rejected for this PEP as that ignores the fact that there are people who do find the pre existing optimization levels for CPython useful. | _argument | The argument is that significant performance gains would occur from runtime optimizations through something like a JIT and not through pre execution bytecode optimizations.
PEP 465| idea_rejected | The argument is that significant performance gains would occur from runtime optimizations through something like a JIT and not through pre execution bytecode optimizations. | This idea is rejected for this PEP as that ignores the fact that there are people who do find the pre existing optimization levels for CPython useful. | _argument | The argument is that significant performance gains would occur from runtime optimizations through something like a JIT and not through pre execution bytecode optimizations.
PEP 470| accepted | IMO all responses from Brett, Donald, Nathaniel and ?ukasz were reasonable and I haven't accused them of conspiring in the slightest. | I see that the PEP was accepted by Paul Moore. | response | IMO all responses from Brett, Donald, Nathaniel and ?ukasz were reasonable and I haven't accused them of conspiring in the slightest.
PEP 470| accepted | IMO all responses from Brett, Donald, Nathaniel and ?ukasz were reasonable and I haven't accused them of conspiring in the slightest. | I see that the PEP was accepted by Paul Moore. | reason | IMO all responses from Brett, Donald, Nathaniel and ?ukasz were reasonable and I haven't accused them of conspiring in the slightest.
PEP 475| updated | STINNER Victor added the comment | I updated the list of modified functions in the PEP 475. | _comment | STINNER Victor added the comment
PEP 475| updated | STINNER Victor added the comment | I updated the list of modified functions in the PEP 475. | _comment | STINNER Victor added the comment
PEP 479| accepted | The intention is not to restart the debate . | PEP is approved , it's done ... but ... | debate | The intention is not to restart the debate .
