% Main labels input file 07 oct 2017. 
% modified added chunk load of more triples - 
% Notes - How this file is structured
% States with more information and therefore more priority are first. Eg, bdfl_accepted pep has more information than pep_accepted. Done because a sentence may capture both and we
% want that label with more information
% Also the file follows the same pattern as how a pep is proposed, reviewed, and accepted or rejected, final/implemented
% This makes file easier to understand, maintain and search
% Start with Triples and doubles are therefore at the end of file

% _ = and , 
% further to this, one underscore means the terms must be adjacent, pep_number to prevents cases pep has very large number - which would still match
% while two underscores mean terms matched but can allow other terms in between
% - = or
% in cases of two verbs in clause - ("PEP 488", "is", "marked as accepted")
% can extend this to include all states in one line, pep is was accepted rejected
% really important for making sure somne terms exist together and after another, especially bdfl pronouncement

% Reason triples right at the end

% Additional states - may be important
previous_version_rejected,previous_version_pep,rejected
% acceptance_deferred acceptance_of_pep deferred
deferred,acceptance_of_pep,deferred
rough_consensus,there,is,rough_consensus
rough_consensus,there,was,rough_consensus
rough_consensus,this,is,rough_consensus
% vocal_minority,vocal,minority

% syntaxes_proposed,syntaxes,proposed,pep

% consensus is also a reason - not a state

consensus,i,think,consensus
consensus,we,reached|reaching,consensus
consensus,consensus,was_reached
consensus,consensus,appears
consensus,consensus,has_been_reached
consensus,consensus,reached_quickly
consensus,we,reached_consensus,pep
consensus,consensus,is   $ too many false positives, but have to use for cases..."Consensus is that we should adopt C3 ."
% added below 3 replacement triples			
consensus,there,is,consensus
consensus,the,is,consensus				$ 	The result is a strong consensus among both numpy developers and developers of downstream packages that numpy .
consensus,this,is,consensus				$	Because this way is compatible with the existing consensus , and because it gives us a consistent rule that all the built in numeric operators also apply in an elementwise manner to arrays the reverse convention would lead to more special cases .
consensus,consensus,seems,to_be_emerging
consensus,community,consensus
consensus,community,reached,consensus
consensus,consensus,emerged,posts
consensus,community,reach,consensus
consensus,community_consensus,emerged,post
consensus,community,consensus,pep
consensus,reach,consensus,pep
% consensus_emerged,consensus,emerged
consensus,consensus,emerged
consensus,no-one,disagreed
consensus,many_people,agreed
consensus_including_bdfl,many_people_including_guido,agreed
% reasons,for,acceptance,or,rejection
consensus,consensus,converged,proposed
consensus,consensus,converged,syntax
consensus,ideas,contained,approval_everyone
% no_disagreement,no_one,disagreed
consensus,no_one,disagreed
consensus,several_people,agreed,pep
consensus,several_people,agreed,pep_rejected
consensus,several_people,agreed,pep_rejcted
consensus,everyone,agreed
consensus,everyone,agreed,rejected
consensus,pep,rejected,community_unanimity		$ 	pep 259 rejected by user community with record unanimity .


% no community consensus - bdfl pronouncement needed or rejected
no_consensus,no_consensus,there_is
no_consensus,no_consensus,is
no_consensus,community,has,unable_reach_consensus
no_consensus,unable,reach,consensus
no_consensus,community,has,unable_to_reach_a_consensus
no_consensus,fail,reach,consensus
no_consensus,never,reach,consensus
no_consensus,never,reached,consensus
no_consensus,not,reach,consensus
no_consensus,not,reached,consensus
no_consensus,consensus,never_been_reached
no_consensus,thread,died,before_consensus_reached
no_consensus,community,unable_to_reach,consensus
no_consensus,we,never_reach,consensus		$	We well never reach consensus
no_consensus,we,never,consensus				$	We well never reach consensus
no_consensus,zero_consensus,emerging
no_consensus,we,'re,far_consensus
no_consensus,we,re,far_consensus
no_consensus,no_consensus,could_be_reached
% consensus_split,consensus,is,50-50
no_consensus,consensus,is,50-50
% no_majority,no_proposal,had,majority
no_consensus,no_proposal,had,majority
% format_no_majority,no_format,was,draw_majority
no_consensus,no_format,was,draw_majority
% issues_not_reach_consensus,issues,not_reach,consensus
no_consensus,issues,not_reach,consensus
no_consensus,previous_community,stymied,lack_consensus
no_consensus,proposal,has,no_popular_support
no_consensus,wrangling,gone,too_far
no_consensus,wrangling,is,draining
no_consensus,pep,bourne,arguing

% majority,support
% no_majority_support,no,majority,support
no_consensus,no,majority,support
% no_support,no_support,has,original
no_consensus,no_support,has,original

% negative_responses,pep,did-generate,negative_responses
% disagreement,pep,did-generate,negative_responses
no_consensus,pep,did_generate,negative_responses

% reasons,why,not,pronounced,-,disagreements
no_consensus,disagreements_pep,there_were
no_consensus,disagreements,there_were
no_consensus,disagreements,there
no_consensus,disagreements,were

% disagreement
no_consensus,there,be,two_camps
no_consensus,there,is|are|were,two_camps
no_consensus,two_camps,are
no_consensus,there,is|was,disagreement
no_consensus,no_clear_consensus,there_is




% unclassified
% clarify,i,hope,clarifies
benefits_marginal,rationale,is,benefits_marginal
pep_needs_work,pep,needs,back_drawing_board

% Reasons,and,Transitions
initial_proposal_lost,initial_proposal,lost,noise
% revival,after,year,,rejected,to,accepted
% motivation,motivating_case,was,prevalance
% best,judgement,call

% Reasons for other states
superseded,pep,superseded,pep
withdrawn,pep,withdrawn,favor_pep
