PEP 8 | proposal | consensus | This PEP proposes a generic Docstring Processing System DPS framework , which separates out the components program and conceptual , enabling the resolution of individual issues either through consensus one solution or through divergence many . | The issues surrounding docstring processing have been contentious and difficult to resolve . | 
PEP 292 | accepted | discussion | Ignoring the syntax discussions that was decided long ago before the PEP was accepted and had consensus and thus was a moot point and the discussion of whether a trailing at the end of the substitution pattern should be considered an error or not it is , a couple of topics were discussed . | PEP 292 Simpler String Substitutions got a huge amount of discussion this past two weeks . | 
PEP 292 | accepted | discussion | Ignoring the syntax discussions that was decided long ago before the PEP was accepted and had consensus and thus was a moot point and the discussion of whether a trailing at the end of the substitution pattern should be considered an error or not it is , a couple of topics were discussed . | PEP 292 Simpler String Substitutions got a huge amount of discussion this past two weeks . | 
PEP 292 | accepted | consensus | Ignoring the syntax discussions that was decided long ago before the PEP was accepted and had consensus and thus was a moot point and the discussion of whether a trailing at the end of the substitution pattern should be considered an error or not it is , a couple of topics were discussed . | PEP 292 Simpler String Substitutions got a huge amount of discussion this past two weeks . | 
PEP 292 | accepted | discussion | Ignoring the syntax discussions that was decided long ago before the PEP was accepted and had consensus and thus was a moot point and the discussion of whether a trailing at the end of the substitution pattern should be considered an error or not it is , a couple of topics were discussed . | PEP 292 Simpler String Substitutions got a huge amount of discussion this past two weeks . | 
PEP 292 | updated | support | This issue was resolved by no longer subclassing unicode but making it easy to subclass Template so as to add direct Unicode support with ease . | That would be too surprising and lead to inconsistent usage thanks to sudden mixing of strings and Unicode objects in code . | The second issue was other the design of the API .
PEP 292 | updated | support | This issue was resolved by no longer subclassing unicode but making it easy to subclass Template so as to add direct Unicode support with ease . | That would be too surprising and lead to inconsistent usage thanks to sudden mixing of strings and Unicode objects in code . | The second issue was other the design of the API .
PEP 292 | updated | support | This issue was resolved by no longer subclassing unicode but making it easy to subclass Template so as to add direct Unicode support with ease . | That would be too surprising and lead to inconsistent usage thanks to sudden mixing of strings and Unicode objects in code . | The second issue was other the design of the API .
PEP 292 | updated | support | This issue was resolved by no longer subclassing unicode but making it easy to subclass Template so as to add direct Unicode support with ease . | That would be too surprising and lead to inconsistent usage thanks to sudden mixing of strings and Unicode objects in code . | The second issue was other the design of the API .
PEP 308 | vote | discussion | Following the discussion , a vote was held . | Status Rejected Type Standards Track Content Type text plain 31,34 31,41 discussion , and a discussion of short circuit behavior . | 
PEP 308 | vote | discussion | Following the discussion , a vote was held . | Status Rejected Type Standards Track Content Type text plain 31,34 31,41 discussion , and a discussion of short circuit behavior . | 
PEP 308 | vote_after_discussion | discussion | Following the discussion , a vote was held . | Status Rejected Type Standards Track Content Type text plain 31,34 31,41 discussion , and a discussion of short circuit behavior . | 
PEP 308 | rejected | majority | Accordingly , the PEP was rejected due to the lack of an overwhelming majority for change . | While there was an overall interest in having some form of if then else expressions , no one format was able to draw majority support . | 
PEP 308 | rejected | majority | Accordingly , the PEP was rejected due to the lack of an overwhelming majority for change . | While there was an overall interest in having some form of if then else expressions , no one format was able to draw majority support . | 
PEP 308 | null | discussion | There was some discussion of whether the language should require surrounding conditional expressions with parentheses . | I doubt I will use conditional expressions very often where there is n't a clear common and uncommon case . | 
PEP 308 | null | vote result | According to this interpretation , the vote resulted in do n't change '' . | semantics on the results , an arguably sane position considering other free software projects use this voting method . | 
PEP 308 | null | vote result | According to this interpretation , the vote resulted in do n't change '' . | semantics on the results , an arguably sane position considering other free software projects use this voting method . | 
PEP 308 | vote | discussion | Following the discussion , a vote was held . | My first reaction on reading this statement in the introduction was that it seemed disingenuous but I 'm sure it was not intentionally so | 
PEP 308 | vote | discussion | Following the discussion , a vote was held . | My first reaction on reading this statement in the introduction was that it seemed disingenuous but I 'm sure it was not intentionally so | 
PEP 308 | vote_after_discussion | discussion | Following the discussion , a vote was held . | My first reaction on reading this statement in the introduction was that it seemed disingenuous but I 'm sure it was not intentionally so | 
PEP 308 | rejected | majority | Accordingly , the PEP was rejected due to the lack of an overwhelming majority for change . '' | While there was an overall interest in having some form of if then else expressions , no one format was able to draw majority support . | OTOH , in a different context I might be all for this approach  
PEP 308 | rejected | majority | Accordingly , the PEP was rejected due to the lack of an overwhelming majority for change . '' | While there was an overall interest in having some form of if then else expressions , no one format was able to draw majority support . | OTOH , in a different context I might be all for this approach  
PEP 309 | null | discussion | There was a brief discussion about consistency between this proposal and the operator module 's itemgetter and attrgetter which , unlike Martin 's proposal , use argument strings instead of attributes to determine the appropriate function to produce . | where the virtual '' object would serve as a virtual instance so that the self '' argument to the lower '' method could be supplied later . | 
PEP 309 | null | feedback | There was a little feedback on the proposal , with a few people wanting to go back to the text builtin instead of changing str , but no final decisions were made . | Otherwise subclasses of unicode would likely get UnicodeEncodeErrors when their str methods were called . | 
PEP 309 | null | feedback | There was a little feedback on the proposal , with a few people wanting to go back to the text builtin instead of changing str , but no final decisions were made . | Otherwise subclasses of unicode would likely get UnicodeEncodeErrors when their str methods were called . | 
PEP 309 | null | discussion | There was a brief discussion about consistency between this proposal and the operator module 's itemgetter and attrgetter which , unlike Martin 's proposal , use argument strings instead of attributes to determine the appropriate function to produce . | where the virtual '' object would serve as a virtual instance so that the self '' argument to the lower '' method could be supplied later . | 
PEP 309 | null | feedback | There was a little feedback on the proposal , with a few people wanting to go back to the text builtin instead of changing str , but no final decisions were made . | Otherwise subclasses of unicode would likely get UnicodeEncodeErrors when their str methods were called . | 
PEP 309 | null | feedback | There was a little feedback on the proposal , with a few people wanting to go back to the text builtin instead of changing str , but no final decisions were made . | Otherwise subclasses of unicode would likely get UnicodeEncodeErrors when their str methods were called . | 
PEP 309 | null | discussion | There was a brief discussion about consistency between this proposal and the operator module 's itemgetter and attrgetter which , unlike Martin 's proposal , use argument strings instead of attributes to determine the appropriate function to produce . | where the virtual '' object would serve as a virtual instance so that the self '' argument to the lower '' method could be supplied later . | 
PEP 309 | null | feedback | There was a little feedback on the proposal , with a few people wanting to go back to the text builtin instead of changing str , but no final decisions were made . | Otherwise subclasses of unicode would likely get UnicodeEncodeErrors when their str methods were called . | 
PEP 309 | null | feedback | There was a little feedback on the proposal , with a few people wanting to go back to the text builtin instead of changing str , but no final decisions were made . | Otherwise subclasses of unicode would likely get UnicodeEncodeErrors when their str methods were called . | 
PEP 309 | null | discussion | There was a brief discussion about consistency between this proposal and the operator module 's itemgetter and attrgetter which , unlike Martin 's proposal , use argument strings instead of attributes to determine the appropriate function to produce . | where the virtual '' object would serve as a virtual instance so that the self '' argument to the lower '' method could be supplied later . | 
PEP 309 | null | feedback | There was a little feedback on the proposal , with a few people wanting to go back to the text builtin instead of changing str , but no final decisions were made . | Otherwise subclasses of unicode would likely get UnicodeEncodeErrors when their str methods were called . | 
PEP 309 | null | feedback | There was a little feedback on the proposal , with a few people wanting to go back to the text builtin instead of changing str , but no final decisions were made . | Otherwise subclasses of unicode would likely get UnicodeEncodeErrors when their str methods were called . | 
PEP 309 | null | discussion | There was a brief discussion about consistency between this proposal and the operator module 's itemgetter and attrgetter which , unlike Martin 's proposal , use argument strings instead of attributes to determine the appropriate function to produce . | where the virtual '' object would serve as a virtual instance so that the self '' argument to the lower '' method could be supplied later . | 
PEP 309 | null | feedback | There was a little feedback on the proposal , with a few people wanting to go back to the text builtin instead of changing str , but no final decisions were made . | Otherwise subclasses of unicode would likely get UnicodeEncodeErrors when their str methods were called . | 
PEP 309 | null | feedback | There was a little feedback on the proposal , with a few people wanting to go back to the text builtin instead of changing str , but no final decisions were made . | Otherwise subclasses of unicode would likely get UnicodeEncodeErrors when their str methods were called . | 
PEP 309 | null | discussion | There was a brief discussion about consistency between this proposal and the operator module 's itemgetter and attrgetter which , unlike Martin 's proposal , use argument strings instead of attributes to determine the appropriate function to produce . | where the virtual '' object would serve as a virtual instance so that the self '' argument to the lower '' method could be supplied later . | 
PEP 309 | null | feedback | There was a little feedback on the proposal , with a few people wanting to go back to the text builtin instead of changing str , but no final decisions were made . | Otherwise subclasses of unicode would likely get UnicodeEncodeErrors when their str methods were called . | 
PEP 309 | null | feedback | There was a little feedback on the proposal , with a few people wanting to go back to the text builtin instead of changing str , but no final decisions were made . | Otherwise subclasses of unicode would likely get UnicodeEncodeErrors when their str methods were called . | 
PEP 309 | null | discussion | There was a brief discussion about consistency between this proposal and the operator module 's itemgetter and attrgetter which , unlike Martin 's proposal , use argument strings instead of attributes to determine the appropriate function to produce . | where the virtual '' object would serve as a virtual instance so that the self '' argument to the lower '' method could be supplied later . | 
PEP 309 | null | feedback | There was a little feedback on the proposal , with a few people wanting to go back to the text builtin instead of changing str , but no final decisions were made . | Otherwise subclasses of unicode would likely get UnicodeEncodeErrors when their str methods were called . | 
PEP 309 | null | feedback | There was a little feedback on the proposal , with a few people wanting to go back to the text builtin instead of changing str , but no final decisions were made . | Otherwise subclasses of unicode would likely get UnicodeEncodeErrors when their str methods were called . | 
PEP 309 | null | discussion | There was a brief discussion about consistency between this proposal and the operator module 's itemgetter and attrgetter which , unlike Martin 's proposal , use argument strings instead of attributes to determine the appropriate function to produce . | where the virtual '' object would serve as a virtual instance so that the self '' argument to the lower '' method could be supplied later . | 
PEP 309 | null | feedback | There was a little feedback on the proposal , with a few people wanting to go back to the text builtin instead of changing str , but no final decisions were made . | Otherwise subclasses of unicode would likely get UnicodeEncodeErrors when their str methods were called . | 
PEP 309 | null | feedback | There was a little feedback on the proposal , with a few people wanting to go back to the text builtin instead of changing str , but no final decisions were made . | Otherwise subclasses of unicode would likely get UnicodeEncodeErrors when their str methods were called . | 
PEP 309 | null | discussion | There was a brief discussion about consistency between this proposal and the operator module 's itemgetter and attrgetter which , unlike Martin 's proposal , use argument strings instead of attributes to determine the appropriate function to produce . | where the virtual '' object would serve as a virtual instance so that the self '' argument to the lower '' method could be supplied later . | 
PEP 309 | null | feedback | There was a little feedback on the proposal , with a few people wanting to go back to the text builtin instead of changing str , but no final decisions were made . | Otherwise subclasses of unicode would likely get UnicodeEncodeErrors when their str methods were called . | 
PEP 309 | null | feedback | There was a little feedback on the proposal , with a few people wanting to go back to the text builtin instead of changing str , but no final decisions were made . | Otherwise subclasses of unicode would likely get UnicodeEncodeErrors when their str methods were called . | 
PEP 309 | null | discussion | There was a brief discussion about consistency between this proposal and the operator module 's itemgetter and attrgetter which , unlike Martin 's proposal , use argument strings instead of attributes to determine the appropriate function to produce . | where the virtual '' object would serve as a virtual instance so that the self '' argument to the lower '' method could be supplied later . | 
PEP 309 | null | feedback | There was a little feedback on the proposal , with a few people wanting to go back to the text builtin instead of changing str , but no final decisions were made . | Otherwise subclasses of unicode would likely get UnicodeEncodeErrors when their str methods were called . | 
PEP 309 | null | feedback | There was a little feedback on the proposal , with a few people wanting to go back to the text builtin instead of changing str , but no final decisions were made . | Otherwise subclasses of unicode would likely get UnicodeEncodeErrors when their str methods were called . | 
PEP 309 | null | discussion | There was a brief discussion about consistency between this proposal and the operator module 's itemgetter and attrgetter which , unlike Martin 's proposal , use argument strings instead of attributes to determine the appropriate function to produce . | where the virtual '' object would serve as a virtual instance so that the self '' argument to the lower '' method could be supplied later . | 
PEP 309 | null | feedback | There was a little feedback on the proposal , with a few people wanting to go back to the text builtin instead of changing str , but no final decisions were made . | Otherwise subclasses of unicode would likely get UnicodeEncodeErrors when their str methods were called . | 
PEP 309 | null | feedback | There was a little feedback on the proposal , with a few people wanting to go back to the text builtin instead of changing str , but no final decisions were made . | Otherwise subclasses of unicode would likely get UnicodeEncodeErrors when their str methods were called . | 
PEP 309 | null | discussion | There was a brief discussion about consistency between this proposal and the operator module 's itemgetter and attrgetter which , unlike Martin 's proposal , use argument strings instead of attributes to determine the appropriate function to produce . | where the virtual '' object would serve as a virtual instance so that the self '' argument to the lower '' method could be supplied later . | 
PEP 309 | null | feedback | There was a little feedback on the proposal , with a few people wanting to go back to the text builtin instead of changing str , but no final decisions were made . | Otherwise subclasses of unicode would likely get UnicodeEncodeErrors when their str methods were called . | 
PEP 309 | null | feedback | There was a little feedback on the proposal , with a few people wanting to go back to the text builtin instead of changing str , but no final decisions were made . | Otherwise subclasses of unicode would likely get UnicodeEncodeErrors when their str methods were called . | 
PEP 309 | null | discussion | There was a brief discussion about consistency between this proposal and the operator module 's itemgetter and attrgetter which , unlike Martin 's proposal , use argument strings instead of attributes to determine the appropriate function to produce . | where the virtual '' object would serve as a virtual instance so that the self '' argument to the lower '' method could be supplied later . | 
PEP 309 | null | feedback | There was a little feedback on the proposal , with a few people wanting to go back to the text builtin instead of changing str , but no final decisions were made . | Otherwise subclasses of unicode would likely get UnicodeEncodeErrors when their str methods were called . | 
PEP 309 | null | feedback | There was a little feedback on the proposal , with a few people wanting to go back to the text builtin instead of changing str , but no final decisions were made . | Otherwise subclasses of unicode would likely get UnicodeEncodeErrors when their str methods were called . | 
PEP 309 | null | discussion | There was a brief discussion about consistency between this proposal and the operator module 's itemgetter and attrgetter which , unlike Martin 's proposal , use argument strings instead of attributes to determine the appropriate function to produce . | where the virtual '' object would serve as a virtual instance so that the self '' argument to the lower '' method could be supplied later . | 
PEP 309 | null | feedback | There was a little feedback on the proposal , with a few people wanting to go back to the text builtin instead of changing str , but no final decisions were made . | Otherwise subclasses of unicode would likely get UnicodeEncodeErrors when their str methods were called . | 
PEP 309 | null | feedback | There was a little feedback on the proposal , with a few people wanting to go back to the text builtin instead of changing str , but no final decisions were made . | Otherwise subclasses of unicode would likely get UnicodeEncodeErrors when their str methods were called . | 
PEP 311 | proposal | support | This PEP proposes a new API , for platforms built with threading support , to manage the Python thread state . | Specifically , it provides a solution for authors of complex multi threaded extensions , where the current state of Python i.e. , the state of the GIL is unknown . | An implementation strategy is proposed , along with an initial , platform independent implementation .
PEP 313 | null | bdfl pronouncement | BDFL Pronouncement This PEP is rejected . | txt , v retrieving revision 1.4 retrieving revision 1.5 diff u d r1 .4 r1 .5 pep 0313.txt 4 Apr 2003 21 21 38 0000 1.4 pep 0313.txt 17 Jun 2005 17 33 18 0000 1.5 3,7 3,7 Version Revision Last Modified Date Author Mike Meyer mwm at mired.org Status Draft Status Rejected Type Standards Track Content Type text plain Created 01 Apr 2003 19,6 19,17 converts the integer to a string that is the Roman numeral literal equivalent to the integer . | 
PEP 313 | null | bdfl pronouncement | BDFL Pronouncement This PEP is rejected . | txt , v retrieving revision 1.4 retrieving revision 1.5 diff u d r1 .4 r1 .5 pep 0313.txt 4 Apr 2003 21 21 38 0000 1.4 pep 0313.txt 17 Jun 2005 17 33 18 0000 1.5 3,7 3,7 Version Revision Last Modified Date Author Mike Meyer mwm at mired.org Status Draft Status Rejected Type Standards Track Content Type text plain Created 01 Apr 2003 19,6 19,17 converts the integer to a string that is the Roman numeral literal equivalent to the integer . | 
PEP 313 | bdfl_pronouncement_rejected | bdfl pronouncement | BDFL Pronouncement This PEP is rejected . | txt , v retrieving revision 1.4 retrieving revision 1.5 diff u d r1 .4 r1 .5 pep 0313.txt 4 Apr 2003 21 21 38 0000 1.4 pep 0313.txt 17 Jun 2005 17 33 18 0000 1.5 3,7 3,7 Version Revision Last Modified Date Author Mike Meyer mwm at mired.org Status Draft Status Rejected Type Standards Track Content Type text plain Created 01 Apr 2003 19,6 19,17 converts the integer to a string that is the Roman numeral literal equivalent to the integer . | 
PEP 313 | bdfl_pronouncement_rejected | bdfl pronouncement | BDFL Pronouncement This PEP is rejected . | txt , v retrieving revision 1.4 retrieving revision 1.5 diff u d r1 .4 r1 .5 pep 0313.txt 4 Apr 2003 21 21 38 0000 1.4 pep 0313.txt 17 Jun 2005 17 33 18 0000 1.5 3,7 3,7 Version Revision Last Modified Date Author Mike Meyer mwm at mired.org Status Draft Status Rejected Type Standards Track Content Type text plain Created 01 Apr 2003 19,6 19,17 converts the integer to a string that is the Roman numeral literal equivalent to the integer . | 
PEP 313 | bdfl_pronouncement_rejected | bdfl pronouncement | BDFL Pronouncement This PEP is rejected . | txt , v retrieving revision 1.4 retrieving revision 1.5 diff u d r1 .4 r1 .5 pep 0313.txt 4 Apr 2003 21 21 38 0000 1.4 pep 0313.txt 17 Jun 2005 17 33 18 0000 1.5 3,7 3,7 Version Revision Last Modified Date Author Mike Meyer mwm at mired.org Status Draft Status Rejected Type Standards Track Content Type text plain Created 01 Apr 2003 19,6 19,17 converts the integer to a string that is the Roman numeral literal equivalent to the integer . | 
PEP 313 | bdfl_pronouncement_rejected | bdfl pronouncement | BDFL Pronouncement This PEP is rejected . | txt , v retrieving revision 1.4 retrieving revision 1.5 diff u d r1 .4 r1 .5 pep 0313.txt 4 Apr 2003 21 21 38 0000 1.4 pep 0313.txt 17 Jun 2005 17 33 18 0000 1.5 3,7 3,7 Version Revision Last Modified Date Author Mike Meyer mwm at mired.org Status Draft Status Rejected Type Standards Track Content Type text plain Created 01 Apr 2003 19,6 19,17 converts the integer to a string that is the Roman numeral literal equivalent to the integer . | 
PEP 313 | null | bdfl pronouncement | BDFL Pronouncement This PEP is rejected . | txt , v retrieving revision 1.4 retrieving revision 1.5 diff u d r1 .4 r1 .5 pep 0313.txt 4 Apr 2003 21 21 38 0000 1.4 pep 0313.txt 17 Jun 2005 17 33 18 0000 1.5 3,7 3,7 Version Revision Last Modified Date Author Mike Meyer mwm at mired.org Status Draft Status Rejected Type Standards Track Content Type text plain Created 01 Apr 2003 19,6 19,17 converts the integer to a string that is the Roman numeral literal equivalent to the integer . | 
PEP 313 | null | bdfl pronouncement | BDFL Pronouncement This PEP is rejected . | txt , v retrieving revision 1.4 retrieving revision 1.5 diff u d r1 .4 r1 .5 pep 0313.txt 4 Apr 2003 21 21 38 0000 1.4 pep 0313.txt 17 Jun 2005 17 33 18 0000 1.5 3,7 3,7 Version Revision Last Modified Date Author Mike Meyer mwm at mired.org Status Draft Status Rejected Type Standards Track Content Type text plain Created 01 Apr 2003 19,6 19,17 converts the integer to a string that is the Roman numeral literal equivalent to the integer . | 
PEP 313 | null | bdfl pronouncement | BDFL Pronouncement This PEP is rejected . | txt , v retrieving revision 1.4 retrieving revision 1.5 diff u d r1 .4 r1 .5 pep 0313.txt 4 Apr 2003 21 21 38 0000 1.4 pep 0313.txt 17 Jun 2005 17 33 18 0000 1.5 3,7 3,7 Version Revision Last Modified Date Author Mike Meyer mwm at mired.org Status Draft Status Rejected Type Standards Track Content Type text plain Created 01 Apr 2003 19,6 19,17 converts the integer to a string that is the Roman numeral literal equivalent to the integer . | 
PEP 313 | null | bdfl pronouncement | BDFL Pronouncement This PEP is rejected . | txt , v retrieving revision 1.4 retrieving revision 1.5 diff u d r1 .4 r1 .5 pep 0313.txt 4 Apr 2003 21 21 38 0000 1.4 pep 0313.txt 17 Jun 2005 17 33 18 0000 1.5 3,7 3,7 Version Revision Last Modified Date Author Mike Meyer mwm at mired.org Status Draft Status Rejected Type Standards Track Content Type text plain Created 01 Apr 2003 19,6 19,17 converts the integer to a string that is the Roman numeral literal equivalent to the integer . | 
PEP 313 | rejected | bdfl pronouncement | BDFL Pronouncement This PEP is rejected . | txt , v retrieving revision 1.4 retrieving revision 1.5 diff u d r1 .4 r1 .5 pep 0313.txt 4 Apr 2003 21 21 38 0000 1.4 pep 0313.txt 17 Jun 2005 17 33 18 0000 1.5 3,7 3,7 Version Revision Last Modified Date Author Mike Meyer mwm at mired.org Status Draft Status Rejected Type Standards Track Content Type text plain Created 01 Apr 2003 19,6 19,17 converts the integer to a string that is the Roman numeral literal equivalent to the integer . | 
PEP 313 | null | bdfl pronouncement | BDFL Pronouncement This PEP is rejected . | txt , v retrieving revision 1.4 retrieving revision 1.5 diff u d r1 .4 r1 .5 pep 0313.txt 4 Apr 2003 21 21 38 0000 1.4 pep 0313.txt 17 Jun 2005 17 33 18 0000 1.5 3,7 3,7 Version Revision Last Modified Date Author Mike Meyer mwm at mired.org Status Draft Status Rejected Type Standards Track Content Type text plain Created 01 Apr 2003 19,6 19,17 converts the integer to a string that is the Roman numeral literal equivalent to the integer . | 
PEP 313 | rejected | bdfl pronouncement | BDFL Pronouncement This PEP is rejected . | txt , v retrieving revision 1.4 retrieving revision 1.5 diff u d r1 .4 r1 .5 pep 0313.txt 4 Apr 2003 21 21 38 0000 1.4 pep 0313.txt 17 Jun 2005 17 33 18 0000 1.5 3,7 3,7 Version Revision Last Modified Date Author Mike Meyer mwm at mired.org Status Draft Status Rejected Type Standards Track Content Type text plain Created 01 Apr 2003 19,6 19,17 converts the integer to a string that is the Roman numeral literal equivalent to the integer . | 
PEP 318 | proposal | discussion | But it seems reasonable to me to take their meaning to be defined by some combination of 1 the PEP that proposes their introduction , 2 the discussion that preceded and followed the writing of that PEP , and 3 the actual implementations people have produced . | Now , doubtless analytic philosophers could spend hours arguing about what it actually means to make such a statement when decorators are n't currently part of the language spec . | 
PEP 319 | null | discussion | For Python 2.5 , the following candidates have been identified for native context managers file decimal.Context thread.LockType threading.Lock threading.RLock threading.Condition Standard Terminology Discussions about iterators and iterables are aided by the standard 384,7 399,7 This PEP proposes that the protocol used by the with statement be known as the context management protocol '' , and that objects that implement that protocol be known as context managers '' . | A similar error can be raised if enter is invoked on a closed file object . | 
PEP 325 | null | discussion | A lot of discussion about the specifics of the PEP took place , and Ka Ping is working these into a revised version . | Guido likes the motivation and rationale , but feels that the specification needs more work . | One of the major questions was whether there is no need for both   context   and   cause      to differentiate between explicit and implicit chaining  )  .
PEP 325 | null | discussion | A lot of discussion about the specifics of the PEP took place , and Ka Ping is working these into a revised version . | Guido likes the motivation and rationale , but feels that the specification needs more work . | One of the major questions was whether there is no need for both   context   and   cause      to differentiate between explicit and implicit chaining  )  .
PEP 325 | null | discussion | A lot of discussion about the specifics of the PEP took place , and Ka Ping is working these into a revised version . | Guido likes the motivation and rationale , but feels that the specification needs more work . | One of the major questions was whether there is no need for both   context   and   cause      to differentiate between explicit and implicit chaining  )  .
PEP 325 | null | discussion | A lot of discussion about the specifics of the PEP took place , and Ka Ping is working these into a revised version . | Guido likes the motivation and rationale , but feels that the specification needs more work . | One of the major questions was whether there is no need for both   context   and   cause      to differentiate between explicit and implicit chaining  )  .
PEP 325 | null | discussion | A lot of discussion about the specifics of the PEP took place , and Ka Ping is working these into a revised version . | Guido likes the motivation and rationale , but feels that the specification needs more work . | One of the major questions was whether there is no need for both   context   and   cause      to differentiate between explicit and implicit chaining  )  .
PEP 325 | null | discussion | A lot of discussion about the specifics of the PEP took place , and Ka Ping is working these into a revised version . | Guido likes the motivation and rationale , but feels that the specification needs more work . | One of the major questions was whether there is no need for both   context   and   cause      to differentiate between explicit and implicit chaining  )  .
PEP 325 | null | discussion | A lot of discussion about the specifics of the PEP took place , and Ka Ping is working these into a revised version . | Guido likes the motivation and rationale , but feels that the specification needs more work . | One of the major questions was whether there is no need for both   context   and   cause      to differentiate between explicit and implicit chaining  )  .
PEP 325 | null | discussion | A lot of discussion about the specifics of the PEP took place , and Ka Ping is working these into a revised version . | Guido likes the motivation and rationale , but feels that the specification needs more work . | One of the major questions was whether there is no need for both   context   and   cause      to differentiate between explicit and implicit chaining  )  .
PEP 325 | null | discussion | A lot of discussion about the specifics of the PEP took place , and Ka Ping is working these into a revised version . | Guido likes the motivation and rationale , but feels that the specification needs more work . | One of the major questions was whether there is no need for both   context   and   cause      to differentiate between explicit and implicit chaining  )  .
PEP 325 | null | discussion | A lot of discussion about the specifics of the PEP took place , and Ka Ping is working these into a revised version . | Guido likes the motivation and rationale , but feels that the specification needs more work . | One of the major questions was whether there is no need for both   context   and   cause      to differentiate between explicit and implicit chaining  )  .
PEP 325 | null | discussion | A lot of discussion about the specifics of the PEP took place , and Ka Ping is working these into a revised version . | Guido likes the motivation and rationale , but feels that the specification needs more work . | One of the major questions was whether there is no need for both   context   and   cause      to differentiate between explicit and implicit chaining  )  .
PEP 325 | null | discussion | A lot of discussion about the specifics of the PEP took place , and Ka Ping is working these into a revised version . | Guido likes the motivation and rationale , but feels that the specification needs more work . | One of the major questions was whether there is no need for both   context   and   cause      to differentiate between explicit and implicit chaining  )  .
PEP 325 | null | discussion | A lot of discussion about the specifics of the PEP took place , and Ka Ping is working these into a revised version . | Guido likes the motivation and rationale , but feels that the specification needs more work . | One of the major questions was whether there is no need for both   context   and   cause      to differentiate between explicit and implicit chaining  )  .
PEP 325 | null | discussion | A lot of discussion about the specifics of the PEP took place , and Ka Ping is working these into a revised version . | Guido likes the motivation and rationale , but feels that the specification needs more work . | One of the major questions was whether there is no need for both   context   and   cause      to differentiate between explicit and implicit chaining  )  .
PEP 325 | null | discussion | A lot of discussion about the specifics of the PEP took place , and Ka Ping is working these into a revised version . | Guido likes the motivation and rationale , but feels that the specification needs more work . | One of the major questions was whether there is no need for both   context   and   cause      to differentiate between explicit and implicit chaining  )  .
PEP 325 | null | discussion | A lot of discussion about the specifics of the PEP took place , and Ka Ping is working these into a revised version . | Guido likes the motivation and rationale , but feels that the specification needs more work . | One of the major questions was whether there is no need for both   context   and   cause      to differentiate between explicit and implicit chaining  )  .
PEP 325 | null | discussion | A lot of discussion about the specifics of the PEP took place , and Ka Ping is working these into a revised version . | Guido likes the motivation and rationale , but feels that the specification needs more work . | One of the major questions was whether there is no need for both   context   and   cause      to differentiate between explicit and implicit chaining  )  .
PEP 325 | null | discussion | A lot of discussion about the specifics of the PEP took place , and Ka Ping is working these into a revised version . | Guido likes the motivation and rationale , but feels that the specification needs more work . | One of the major questions was whether there is no need for both   context   and   cause      to differentiate between explicit and implicit chaining  )  .
PEP 325 | null | discussion | A lot of discussion about the specifics of the PEP took place , and Ka Ping is working these into a revised version . | Guido likes the motivation and rationale , but feels that the specification needs more work . | One of the major questions was whether there is no need for both   context   and   cause      to differentiate between explicit and implicit chaining  )  .
PEP 325 | null | discussion | A lot of discussion about the specifics of the PEP took place , and Ka Ping is working these into a revised version . | Guido likes the motivation and rationale , but feels that the specification needs more work . | One of the major questions was whether there is no need for both   context   and   cause      to differentiate between explicit and implicit chaining  )  .
PEP 325 | null | discussion | A lot of discussion about the specifics of the PEP took place , and Ka Ping is working these into a revised version . | Guido likes the motivation and rationale , but feels that the specification needs more work . | One of the major questions was whether there is no need for both   context   and   cause      to differentiate between explicit and implicit chaining  )  .
PEP 325 | null | discussion | A lot of discussion about the specifics of the PEP took place , and Ka Ping is working these into a revised version . | Guido likes the motivation and rationale , but feels that the specification needs more work . | One of the major questions was whether there is no need for both   context   and   cause      to differentiate between explicit and implicit chaining  )  .
PEP 325 | null | discussion | A lot of discussion about the specifics of the PEP took place , and Ka Ping is working these into a revised version . | Guido likes the motivation and rationale , but feels that the specification needs more work . | One of the major questions was whether there is no need for both   context   and   cause      to differentiate between explicit and implicit chaining  )  .
PEP 325 | null | discussion | A lot of discussion about the specifics of the PEP took place , and Ka Ping is working these into a revised version . | Guido likes the motivation and rationale , but feels that the specification needs more work . | One of the major questions was whether there is no need for both   context   and   cause      to differentiate between explicit and implicit chaining  )  .
PEP 325 | null | discussion | A lot of discussion about the specifics of the PEP took place , and Ka Ping is working these into a revised version . | Guido likes the motivation and rationale , but feels that the specification needs more work . | One of the major questions was whether there is no need for both   context   and   cause      to differentiate between explicit and implicit chaining  )  .
PEP 325 | null | discussion | A lot of discussion about the specifics of the PEP took place , and Ka Ping is working these into a revised version . | Guido likes the motivation and rationale , but feels that the specification needs more work . | One of the major questions was whether there is no need for both   context   and   cause      to differentiate between explicit and implicit chaining  )  .
PEP 325 | null | discussion | A lot of discussion about the specifics of the PEP took place , and Ka Ping is working these into a revised version . | Guido likes the motivation and rationale , but feels that the specification needs more work . | One of the major questions was whether there is no need for both   context   and   cause      to differentiate between explicit and implicit chaining  )  .
PEP 325 | null | discussion | A lot of discussion about the specifics of the PEP took place , and Ka Ping is working these into a revised version . | Guido likes the motivation and rationale , but feels that the specification needs more work . | One of the major questions was whether there is no need for both   context   and   cause      to differentiate between explicit and implicit chaining  )  .
