PEP 1| proposal | This is a maintenance burden , as separate activation scripts need to be provided and maintained for every supported shell . | For this reason , this PEP proposes to leave such scripts to be provided by third party extensions virtual environments created by the core functionality would be used by directly invoking the environment 's Python binary . | support | This is a maintenance burden , as separate activation scripts need to be provided and maintained for every supported shell .
PEP 291| accepted | Guido We had some discussion about this when neal wrote the pep , and I suggested to list modulefinder there . | Neal finally wrote the requirement into the PEP , and it was my impression that you accepted it , although you were not very happy with it . | discussion | Guido We had some discussion about this when neal wrote the pep , and I suggested to list modulefinder there .
PEP 291| accepted | Guido We had some discussion about this when neal wrote the pep , and I suggested to list modulefinder there . | Neal finally wrote the requirement into the PEP , and it was my impression that you accepted it , although you were not very happy with it . | discussion | Guido We had some discussion about this when neal wrote the pep , and I suggested to list modulefinder there .
PEP 292| accepted | PEP 292 Simpler String Substitutions got a huge amount of discussion this past two weeks . | Ignoring the syntax discussions that was decided long ago before the PEP was accepted and had consensus and thus was a moot point and the discussion of whether a trailing at the end of the substitution pattern should be considered an error or not it is , a couple of topics were discussed . | discussion | PEP 292 Simpler String Substitutions got a huge amount of discussion this past two weeks .
PEP 292| accepted | PEP 292 Simpler String Substitutions got a huge amount of discussion this past two weeks . | Ignoring the syntax discussions that was decided long ago before the PEP was accepted and had consensus and thus was a moot point and the discussion of whether a trailing at the end of the substitution pattern should be considered an error or not it is , a couple of topics were discussed . | discussion | PEP 292 Simpler String Substitutions got a huge amount of discussion this past two weeks .
PEP 292| proposal | To address that problem and a number of other concerns , this PEP proposes an alternative approach to compiler supported interpolation , based on a new interpolate magic method , and using a substitution syntax inspired by that used in string.Template and ES6 JavaScript , rather than adding a 4th substitution variable syntax to Python . | Proposal This PEP proposes that the new syntax value ! | support | To address that problem and a number of other concerns , this PEP proposes an alternative approach to compiler supported interpolation , based on a new interpolate magic method , and using a substitution syntax inspired by that used in string.Template and ES6 JavaScript , rather than adding a 4th substitution variable syntax to Python .
PEP 292| proposal | To address that problem and a number of other concerns , this PEP proposes an alternative approach to compiler supported interpolation , using i for interpolation '' as the new string prefix and a substitution syntax inspired by that used in string.Template and ES6 JavaScript , rather than adding a 4th substitution variable syntax to Python . | To address that problem and a number of other concerns , this PEP proposes the complementary introduction of i strings '' a mnemonic for interpolation template strings '' , where f Message with LCB data RCB '' would produce the same result as format i Message with LCB data RCB '' . | support | To address that problem and a number of other concerns , this PEP proposes an alternative approach to compiler supported interpolation , using i for interpolation '' as the new string prefix and a substitution syntax inspired by that used in string.Template and ES6 JavaScript , rather than adding a 4th substitution variable syntax to Python .
PEP 292| accepted | PEP 292 Simpler String Substitutions got a huge amount of discussion this past two weeks . | Ignoring the syntax discussions that was decided long ago before the PEP was accepted and had consensus and thus was a moot point and the discussion of whether a trailing at the end of the substitution pattern should be considered an error or not it is , a couple of topics were discussed . | discussion | PEP 292 Simpler String Substitutions got a huge amount of discussion this past two weeks .
PEP 296| proposal | Legacy features can still be phased out when appropriate that is , when the majority of the user base has migrated to the newer Python version . | This PEP merely proposes to shift the emphasis of the development effort directed at compatibility from 100 forwards to at least 50 backwards . | majority | Legacy features can still be phased out when appropriate that is , when the majority of the user base has migrated to the newer Python version .
PEP 303| rejected | Rejection of PEP 303 Extend divmod for Multiple Divisors '' was proposed on the grounds that it has been open for two and half years and has n't generated discussion or support , is unpersuasive , and unnecessary . | No one spoke up for it and some against , so it is now rejected . | discussion | Rejection of PEP 303 Extend divmod for Multiple Divisors '' was proposed on the grounds that it has been open for two and half years and has n't generated discussion or support , is unpersuasive , and unnecessary .
PEP 303| rejected | Rejection of PEP 303 Extend divmod for Multiple Divisors '' was proposed on the grounds that it has been open for two and half years and has n't generated discussion or support , is unpersuasive , and unnecessary . | No one spoke up for it and some against , so it is now rejected . | support | Rejection of PEP 303 Extend divmod for Multiple Divisors '' was proposed on the grounds that it has been open for two and half years and has n't generated discussion or support , is unpersuasive , and unnecessary .
PEP 303| rejected | Rejection of PEP 303 Extend divmod for Multiple Divisors '' was proposed on the grounds that it has been open for two and half years and has n't generated discussion or support , is unpersuasive , and unnecessary . | No one spoke up for it and some against , so it is now rejected . | discussion | Rejection of PEP 303 Extend divmod for Multiple Divisors '' was proposed on the grounds that it has been open for two and half years and has n't generated discussion or support , is unpersuasive , and unnecessary .
PEP 303| rejected | Rejection of PEP 303 Extend divmod for Multiple Divisors '' was proposed on the grounds that it has been open for two and half years and has n't generated discussion or support , is unpersuasive , and unnecessary . | No one spoke up for it and some against , so it is now rejected . | support | Rejection of PEP 303 Extend divmod for Multiple Divisors '' was proposed on the grounds that it has been open for two and half years and has n't generated discussion or support , is unpersuasive , and unnecessary .
PEP 303| rejected | Rejection of PEP 303 Extend divmod for Multiple Divisors '' was proposed on the grounds that it has been open for two and half years and has n't generated discussion or support , is unpersuasive , and unnecessary . | No one spoke up for it and some against , so it is now rejected . | discussion | Rejection of PEP 303 Extend divmod for Multiple Divisors '' was proposed on the grounds that it has been open for two and half years and has n't generated discussion or support , is unpersuasive , and unnecessary .
PEP 303| rejected | Rejection of PEP 303 Extend divmod for Multiple Divisors '' was proposed on the grounds that it has been open for two and half years and has n't generated discussion or support , is unpersuasive , and unnecessary . | No one spoke up for it and some against , so it is now rejected . | support | Rejection of PEP 303 Extend divmod for Multiple Divisors '' was proposed on the grounds that it has been open for two and half years and has n't generated discussion or support , is unpersuasive , and unnecessary .
PEP 308| vote | Status Rejected Type Standards Track Content Type text plain 31,34 31,41 discussion , and a discussion of short circuit behavior . | Following the discussion , a vote was held . | discussion | Status Rejected Type Standards Track Content Type text plain 31,34 31,41 discussion , and a discussion of short circuit behavior .
PEP 308| vote | Status Rejected Type Standards Track Content Type text plain 31,34 31,41 discussion , and a discussion of short circuit behavior . | Following the discussion , a vote was held . | discussion | Status Rejected Type Standards Track Content Type text plain 31,34 31,41 discussion , and a discussion of short circuit behavior .
PEP 308| vote_after_discussion | Status Rejected Type Standards Track Content Type text plain 31,34 31,41 discussion , and a discussion of short circuit behavior . | Following the discussion , a vote was held . | discussion | Status Rejected Type Standards Track Content Type text plain 31,34 31,41 discussion , and a discussion of short circuit behavior .
PEP 308| rejected | While there was an overall interest in having some form of if then else expressions , no one format was able to draw majority support . | Accordingly , the PEP was rejected due to the lack of an overwhelming majority for change . | support | While there was an overall interest in having some form of if then else expressions , no one format was able to draw majority support .
PEP 308| rejected | While there was an overall interest in having some form of if then else expressions , no one format was able to draw majority support . | Accordingly , the PEP was rejected due to the lack of an overwhelming majority for change . | majority | While there was an overall interest in having some form of if then else expressions , no one format was able to draw majority support .
PEP 308| rejected | While there was an overall interest in having some form of if then else expressions , no one format was able to draw majority support . | Accordingly , the PEP was rejected due to the lack of an overwhelming majority for change . | support | While there was an overall interest in having some form of if then else expressions , no one format was able to draw majority support .
PEP 308| rejected | While there was an overall interest in having some form of if then else expressions , no one format was able to draw majority support . | Accordingly , the PEP was rejected due to the lack of an overwhelming majority for change . | majority | While there was an overall interest in having some form of if then else expressions , no one format was able to draw majority support .
PEP 308| bdfl_pronouncement | LSB 2 RSB Previous community efforts to add a conditional expression were stymied by a lack of consensus on the best syntax . | That issue was resolved by simply deferring to a BDFL best judgment call . | consensus | LSB 2 RSB Previous community efforts to add a conditional expression were stymied by a lack of consensus on the best syntax .
PEP 308| bdfl_pronouncement | LSB 2 RSB Previous community efforts to add a conditional expression were stymied by a lack of consensus on the best syntax . | That issue was resolved by simply deferring to a BDFL best judgment call . | consensus | LSB 2 RSB Previous community efforts to add a conditional expression were stymied by a lack of consensus on the best syntax .
PEP 308| updated | LSB 2 RSB Previous community efforts to add a conditional expression were stymied by a lack of consensus on the best syntax . | That issue was resolved by simply deferring to a BDFL best judgment call . | consensus | LSB 2 RSB Previous community efforts to add a conditional expression were stymied by a lack of consensus on the best syntax .
PEP 308| bdfl_pronouncement | txt , v retrieving revision 1.21 retrieving revision 1.22 diff u d r1 .21 r1 .22 pep 0308.txt 30 Sep 2005 01 51 58 0000 1.21 pep 0308.txt 30 Sep 2005 13 41 34 0000 1.22 9,6 9,7 Created 7 Feb 2003 Post History 7 Feb 2003 , 11 Feb 2003 Adding a conditional expression On 9 29 2005 , Guido decided to add conditional expressions in the 21,11 22,12 stymied by a lack of consensus on the best syntax . | That issue was resolved by simply deferring to a BDFL best judgment call . | consensus | txt , v retrieving revision 1.21 retrieving revision 1.22 diff u d r1 .21 r1 .22 pep 0308.txt 30 Sep 2005 01 51 58 0000 1.21 pep 0308.txt 30 Sep 2005 13 41 34 0000 1.22 9,6 9,7 Created 7 Feb 2003 Post History 7 Feb 2003 , 11 Feb 2003 Adding a conditional expression On 9 29 2005 , Guido decided to add conditional expressions in the 21,11 22,12 stymied by a lack of consensus on the best syntax .
PEP 308| bdfl_pronouncement | txt , v retrieving revision 1.21 retrieving revision 1.22 diff u d r1 .21 r1 .22 pep 0308.txt 30 Sep 2005 01 51 58 0000 1.21 pep 0308.txt 30 Sep 2005 13 41 34 0000 1.22 9,6 9,7 Created 7 Feb 2003 Post History 7 Feb 2003 , 11 Feb 2003 Adding a conditional expression On 9 29 2005 , Guido decided to add conditional expressions in the 21,11 22,12 stymied by a lack of consensus on the best syntax . | That issue was resolved by simply deferring to a BDFL best judgment call . | consensus | txt , v retrieving revision 1.21 retrieving revision 1.22 diff u d r1 .21 r1 .22 pep 0308.txt 30 Sep 2005 01 51 58 0000 1.21 pep 0308.txt 30 Sep 2005 13 41 34 0000 1.22 9,6 9,7 Created 7 Feb 2003 Post History 7 Feb 2003 , 11 Feb 2003 Adding a conditional expression On 9 29 2005 , Guido decided to add conditional expressions in the 21,11 22,12 stymied by a lack of consensus on the best syntax .
PEP 308| updated | txt , v retrieving revision 1.21 retrieving revision 1.22 diff u d r1 .21 r1 .22 pep 0308.txt 30 Sep 2005 01 51 58 0000 1.21 pep 0308.txt 30 Sep 2005 13 41 34 0000 1.22 9,6 9,7 Created 7 Feb 2003 Post History 7 Feb 2003 , 11 Feb 2003 Adding a conditional expression On 9 29 2005 , Guido decided to add conditional expressions in the 21,11 22,12 stymied by a lack of consensus on the best syntax . | That issue was resolved by simply deferring to a BDFL best judgment call . | consensus | txt , v retrieving revision 1.21 retrieving revision 1.22 diff u d r1 .21 r1 .22 pep 0308.txt 30 Sep 2005 01 51 58 0000 1.21 pep 0308.txt 30 Sep 2005 13 41 34 0000 1.22 9,6 9,7 Created 7 Feb 2003 Post History 7 Feb 2003 , 11 Feb 2003 Adding a conditional expression On 9 29 2005 , Guido decided to add conditional expressions in the 21,11 22,12 stymied by a lack of consensus on the best syntax .
PEP 308| rejected | While there was an overall interest in having some form of if then else expressions , no one format was able to draw majority support . | Accordingly , the PEP was rejected due to the lack of an overwhelming majority for change . '' | support | While there was an overall interest in having some form of if then else expressions , no one format was able to draw majority support .
PEP 308| rejected | While there was an overall interest in having some form of if then else expressions , no one format was able to draw majority support . | Accordingly , the PEP was rejected due to the lack of an overwhelming majority for change . '' | majority | While there was an overall interest in having some form of if then else expressions , no one format was able to draw majority support .
PEP 308| rejected | While there was an overall interest in having some form of if then else expressions , no one format was able to draw majority support . | Accordingly , the PEP was rejected due to the lack of an overwhelming majority for change . '' | support | While there was an overall interest in having some form of if then else expressions , no one format was able to draw majority support .
PEP 308| rejected | While there was an overall interest in having some form of if then else expressions , no one format was able to draw majority support . | Accordingly , the PEP was rejected due to the lack of an overwhelming majority for change . '' | majority | While there was an overall interest in having some form of if then else expressions , no one format was able to draw majority support .
PEP 318| proposal | Most of the discussion has focused on syntax . | I would like to see some clarification of the purpose and meaning of a decoration . | discussion | Most of the discussion has focused on syntax .
PEP 318| proposal | Most of the discussion has focused on syntax . | I would like to see some clarification of the purpose and meaning of a decoration . | discussion | Most of the discussion has focused on syntax .
PEP 321| proposal | There 's no support for parsing strings in various formats and returning a corresponding instance of one of the types . | This PEP proposes adding a family of predefined parsing function for several commonly used date and time formats , and a facility for generic parsing . | support | There 's no support for parsing strings in various formats and returning a corresponding instance of one of the types .
PEP 328| proposal | Some of you might remember a discussion that took place on this list about not being able to execute a script contained in a package that used relative imports read the PEP if you do n't quite get what I am talking about . | The PEP below proposes a solution along with a counter solution . | discussion | Some of you might remember a discussion that took place on this list about not being able to execute a script contained in a package that used relative imports read the PEP if you do n't quite get what I am talking about .
PEP 328| bdfl_pronouncement | I pointed him to a previous discussion Raymond Hettinger and I had about the subject that indicated that for args , sequences were preferable to iterators in a number of situations . | Guido agreed , indicating that args will continue to be sequences in Python 3.0 . | discussion | I pointed him to a previous discussion Raymond Hettinger and I had about the subject that indicated that for args , sequences were preferable to iterators in a number of situations .
PEP 328| bdfl_pronouncement | I pointed him to a previous discussion Raymond Hettinger and I had about the subject that indicated that for args , sequences were preferable to iterators in a number of situations . | Guido agreed , indicating that args will continue to be sequences in Python 3.0 . | discussion | I pointed him to a previous discussion Raymond Hettinger and I had about the subject that indicated that for args , sequences were preferable to iterators in a number of situations .
PEP 328| bdfl_pronouncement | I pointed him to a previous discussion Raymond Hettinger and I had about the subject that indicated that for args , sequences were preferable to iterators in a number of situations . | Guido agreed , indicating that args will continue to be sequences in Python 3.0 . | discussion | I pointed him to a previous discussion Raymond Hettinger and I had about the subject that indicated that for args , sequences were preferable to iterators in a number of situations .
PEP 328| bdfl_pronouncement | I pointed him to a previous discussion Raymond Hettinger and I had about the subject that indicated that for args , sequences were preferable to iterators in a number of situations . | Guido agreed , indicating that args will continue to be sequences in Python 3.0 . | discussion | I pointed him to a previous discussion Raymond Hettinger and I had about the subject that indicated that for args , sequences were preferable to iterators in a number of situations .
PEP 328| bdfl_pronouncement | I pointed him to a previous discussion Raymond Hettinger and I had about the subject that indicated that for args , sequences were preferable to iterators in a number of situations . | Guido agreed , indicating that args will continue to be sequences in Python 3.0 . | discussion | I pointed him to a previous discussion Raymond Hettinger and I had about the subject that indicated that for args , sequences were preferable to iterators in a number of situations .
PEP 328| bdfl_pronouncement | I pointed him to a previous discussion Raymond Hettinger and I had about the subject that indicated that for args , sequences were preferable to iterators in a number of situations . | Guido agreed , indicating that args will continue to be sequences in Python 3.0 . | discussion | I pointed him to a previous discussion Raymond Hettinger and I had about the subject that indicated that for args , sequences were preferable to iterators in a number of situations .
PEP 328| bdfl_pronouncement | I pointed him to a previous discussion Raymond Hettinger and I had about the subject that indicated that for args , sequences were preferable to iterators in a number of situations . | Guido agreed , indicating that args will continue to be sequences in Python 3.0 . | discussion | I pointed him to a previous discussion Raymond Hettinger and I had about the subject that indicated that for args , sequences were preferable to iterators in a number of situations .
PEP 328| bdfl_pronouncement | I pointed him to a previous discussion Raymond Hettinger and I had about the subject that indicated that for args , sequences were preferable to iterators in a number of situations . | Guido agreed , indicating that args will continue to be sequences in Python 3.0 . | discussion | I pointed him to a previous discussion Raymond Hettinger and I had about the subject that indicated that for args , sequences were preferable to iterators in a number of situations .
PEP 328| bdfl_pronouncement | I pointed him to a previous discussion Raymond Hettinger and I had about the subject that indicated that for args , sequences were preferable to iterators in a number of situations . | Guido agreed , indicating that args will continue to be sequences in Python 3.0 . | discussion | I pointed him to a previous discussion Raymond Hettinger and I had about the subject that indicated that for args , sequences were preferable to iterators in a number of situations .
PEP 328| bdfl_pronouncement | I pointed him to a previous discussion Raymond Hettinger and I had about the subject that indicated that for args , sequences were preferable to iterators in a number of situations . | Guido agreed , indicating that args will continue to be sequences in Python 3.0 . | discussion | I pointed him to a previous discussion Raymond Hettinger and I had about the subject that indicated that for args , sequences were preferable to iterators in a number of situations .
PEP 328| bdfl_pronouncement | I pointed him to a previous discussion Raymond Hettinger and I had about the subject that indicated that for args , sequences were preferable to iterators in a number of situations . | Guido agreed , indicating that args will continue to be sequences in Python 3.0 . | discussion | I pointed him to a previous discussion Raymond Hettinger and I had about the subject that indicated that for args , sequences were preferable to iterators in a number of situations .
PEP 328| bdfl_pronouncement | I pointed him to a previous discussion Raymond Hettinger and I had about the subject that indicated that for args , sequences were preferable to iterators in a number of situations . | Guido agreed , indicating that args will continue to be sequences in Python 3.0 . | discussion | I pointed him to a previous discussion Raymond Hettinger and I had about the subject that indicated that for args , sequences were preferable to iterators in a number of situations .
PEP 328| bdfl_pronouncement | I pointed him to a previous discussion Raymond Hettinger and I had about the subject that indicated that for args , sequences were preferable to iterators in a number of situations . | Guido agreed , indicating that args will continue to be sequences in Python 3.0 . | discussion | I pointed him to a previous discussion Raymond Hettinger and I had about the subject that indicated that for args , sequences were preferable to iterators in a number of situations .
PEP 328| bdfl_pronouncement | I pointed him to a previous discussion Raymond Hettinger and I had about the subject that indicated that for args , sequences were preferable to iterators in a number of situations . | Guido agreed , indicating that args will continue to be sequences in Python 3.0 . | discussion | I pointed him to a previous discussion Raymond Hettinger and I had about the subject that indicated that for args , sequences were preferable to iterators in a number of situations .
PEP 328| bdfl_pronouncement | I pointed him to a previous discussion Raymond Hettinger and I had about the subject that indicated that for args , sequences were preferable to iterators in a number of situations . | Guido agreed , indicating that args will continue to be sequences in Python 3.0 . | discussion | I pointed him to a previous discussion Raymond Hettinger and I had about the subject that indicated that for args , sequences were preferable to iterators in a number of situations .
PEP 328| bdfl_pronouncement | I pointed him to a previous discussion Raymond Hettinger and I had about the subject that indicated that for args , sequences were preferable to iterators in a number of situations . | Guido agreed , indicating that args will continue to be sequences in Python 3.0 . | discussion | I pointed him to a previous discussion Raymond Hettinger and I had about the subject that indicated that for args , sequences were preferable to iterators in a number of situations .
PEP 328| bdfl_pronouncement | I pointed him to a previous discussion Raymond Hettinger and I had about the subject that indicated that for args , sequences were preferable to iterators in a number of situations . | Guido agreed , indicating that args will continue to be sequences in Python 3.0 . | discussion | I pointed him to a previous discussion Raymond Hettinger and I had about the subject that indicated that for args , sequences were preferable to iterators in a number of situations .
PEP 328| bdfl_pronouncement | I pointed him to a previous discussion Raymond Hettinger and I had about the subject that indicated that for args , sequences were preferable to iterators in a number of situations . | Guido agreed , indicating that args will continue to be sequences in Python 3.0 . | discussion | I pointed him to a previous discussion Raymond Hettinger and I had about the subject that indicated that for args , sequences were preferable to iterators in a number of situations .
PEP 328| bdfl_pronouncement | I pointed him to a previous discussion Raymond Hettinger and I had about the subject that indicated that for args , sequences were preferable to iterators in a number of situations . | Guido agreed , indicating that args will continue to be sequences in Python 3.0 . | discussion | I pointed him to a previous discussion Raymond Hettinger and I had about the subject that indicated that for args , sequences were preferable to iterators in a number of situations .
PEP 328| bdfl_pronouncement | I pointed him to a previous discussion Raymond Hettinger and I had about the subject that indicated that for args , sequences were preferable to iterators in a number of situations . | Guido agreed , indicating that args will continue to be sequences in Python 3.0 . | discussion | I pointed him to a previous discussion Raymond Hettinger and I had about the subject that indicated that for args , sequences were preferable to iterators in a number of situations .
PEP 328| bdfl_pronouncement | I pointed him to a previous discussion Raymond Hettinger and I had about the subject that indicated that for args , sequences were preferable to iterators in a number of situations . | Guido agreed , indicating that args will continue to be sequences in Python 3.0 . | discussion | I pointed him to a previous discussion Raymond Hettinger and I had about the subject that indicated that for args , sequences were preferable to iterators in a number of situations .
PEP 328| bdfl_pronouncement | I pointed him to a previous discussion Raymond Hettinger and I had about the subject that indicated that for args , sequences were preferable to iterators in a number of situations . | Guido agreed , indicating that args will continue to be sequences in Python 3.0 . | discussion | I pointed him to a previous discussion Raymond Hettinger and I had about the subject that indicated that for args , sequences were preferable to iterators in a number of situations .
PEP 328| bdfl_pronouncement | I pointed him to a previous discussion Raymond Hettinger and I had about the subject that indicated that for args , sequences were preferable to iterators in a number of situations . | Guido agreed , indicating that args will continue to be sequences in Python 3.0 . | discussion | I pointed him to a previous discussion Raymond Hettinger and I had about the subject that indicated that for args , sequences were preferable to iterators in a number of situations .
PEP 328| bdfl_pronouncement | I pointed him to a previous discussion Raymond Hettinger and I had about the subject that indicated that for args , sequences were preferable to iterators in a number of situations . | Guido agreed , indicating that args will continue to be sequences in Python 3.0 . | discussion | I pointed him to a previous discussion Raymond Hettinger and I had about the subject that indicated that for args , sequences were preferable to iterators in a number of situations .
PEP 328| bdfl_pronouncement | I pointed him to a previous discussion Raymond Hettinger and I had about the subject that indicated that for args , sequences were preferable to iterators in a number of situations . | Guido agreed , indicating that args will continue to be sequences in Python 3.0 . | discussion | I pointed him to a previous discussion Raymond Hettinger and I had about the subject that indicated that for args , sequences were preferable to iterators in a number of situations .
PEP 328| bdfl_pronouncement | I pointed him to a previous discussion Raymond Hettinger and I had about the subject that indicated that for args , sequences were preferable to iterators in a number of situations . | Guido agreed , indicating that args will continue to be sequences in Python 3.0 . | discussion | I pointed him to a previous discussion Raymond Hettinger and I had about the subject that indicated that for args , sequences were preferable to iterators in a number of situations .
PEP 328| bdfl_pronouncement | I pointed him to a previous discussion Raymond Hettinger and I had about the subject that indicated that for args , sequences were preferable to iterators in a number of situations . | Guido agreed , indicating that args will continue to be sequences in Python 3.0 . | discussion | I pointed him to a previous discussion Raymond Hettinger and I had about the subject that indicated that for args , sequences were preferable to iterators in a number of situations .
PEP 328| bdfl_pronouncement | I pointed him to a previous discussion Raymond Hettinger and I had about the subject that indicated that for args , sequences were preferable to iterators in a number of situations . | Guido agreed , indicating that args will continue to be sequences in Python 3.0 . | discussion | I pointed him to a previous discussion Raymond Hettinger and I had about the subject that indicated that for args , sequences were preferable to iterators in a number of situations .
PEP 328| bdfl_pronouncement | I pointed him to a previous discussion Raymond Hettinger and I had about the subject that indicated that for args , sequences were preferable to iterators in a number of situations . | Guido agreed , indicating that args will continue to be sequences in Python 3.0 . | discussion | I pointed him to a previous discussion Raymond Hettinger and I had about the subject that indicated that for args , sequences were preferable to iterators in a number of situations .
PEP 328| bdfl_pronouncement | I pointed him to a previous discussion Raymond Hettinger and I had about the subject that indicated that for args , sequences were preferable to iterators in a number of situations . | Guido agreed , indicating that args will continue to be sequences in Python 3.0 . | discussion | I pointed him to a previous discussion Raymond Hettinger and I had about the subject that indicated that for args , sequences were preferable to iterators in a number of situations .
PEP 328| bdfl_pronouncement | I pointed him to a previous discussion Raymond Hettinger and I had about the subject that indicated that for args , sequences were preferable to iterators in a number of situations . | Guido agreed , indicating that args will continue to be sequences in Python 3.0 . | discussion | I pointed him to a previous discussion Raymond Hettinger and I had about the subject that indicated that for args , sequences were preferable to iterators in a number of situations .
PEP 328| bdfl_pronouncement | I pointed him to a previous discussion Raymond Hettinger and I had about the subject that indicated that for args , sequences were preferable to iterators in a number of situations . | Guido agreed , indicating that args will continue to be sequences in Python 3.0 . | discussion | I pointed him to a previous discussion Raymond Hettinger and I had about the subject that indicated that for args , sequences were preferable to iterators in a number of situations .
PEP 328| bdfl_pronouncement | I pointed him to a previous discussion Raymond Hettinger and I had about the subject that indicated that for args , sequences were preferable to iterators in a number of situations . | Guido agreed , indicating that args will continue to be sequences in Python 3.0 . | discussion | I pointed him to a previous discussion Raymond Hettinger and I had about the subject that indicated that for args , sequences were preferable to iterators in a number of situations .
PEP 328| bdfl_pronouncement | I pointed him to a previous discussion Raymond Hettinger and I had about the subject that indicated that for args , sequences were preferable to iterators in a number of situations . | Guido agreed , indicating that args will continue to be sequences in Python 3.0 . | discussion | I pointed him to a previous discussion Raymond Hettinger and I had about the subject that indicated that for args , sequences were preferable to iterators in a number of situations .
PEP 328| bdfl_pronouncement | I pointed him to a previous discussion Raymond Hettinger and I had about the subject that indicated that for args , sequences were preferable to iterators in a number of situations . | Guido agreed , indicating that args will continue to be sequences in Python 3.0 . | discussion | I pointed him to a previous discussion Raymond Hettinger and I had about the subject that indicated that for args , sequences were preferable to iterators in a number of situations .
PEP 328| bdfl_pronouncement | I pointed him to a previous discussion Raymond Hettinger and I had about the subject that indicated that for args , sequences were preferable to iterators in a number of situations . | Guido agreed , indicating that args will continue to be sequences in Python 3.0 . | discussion | I pointed him to a previous discussion Raymond Hettinger and I had about the subject that indicated that for args , sequences were preferable to iterators in a number of situations .
PEP 328| bdfl_pronouncement | I pointed him to a previous discussion Raymond Hettinger and I had about the subject that indicated that for args , sequences were preferable to iterators in a number of situations . | Guido agreed , indicating that args will continue to be sequences in Python 3.0 . | discussion | I pointed him to a previous discussion Raymond Hettinger and I had about the subject that indicated that for args , sequences were preferable to iterators in a number of situations .
PEP 328| bdfl_pronouncement | I pointed him to a previous discussion Raymond Hettinger and I had about the subject that indicated that for args , sequences were preferable to iterators in a number of situations . | Guido agreed , indicating that args will continue to be sequences in Python 3.0 . | discussion | I pointed him to a previous discussion Raymond Hettinger and I had about the subject that indicated that for args , sequences were preferable to iterators in a number of situations .
PEP 328| bdfl_pronouncement | I pointed him to a previous discussion Raymond Hettinger and I had about the subject that indicated that for args , sequences were preferable to iterators in a number of situations . | Guido agreed , indicating that args will continue to be sequences in Python 3.0 . | discussion | I pointed him to a previous discussion Raymond Hettinger and I had about the subject that indicated that for args , sequences were preferable to iterators in a number of situations .
PEP 328| bdfl_pronouncement | I pointed him to a previous discussion Raymond Hettinger and I had about the subject that indicated that for args , sequences were preferable to iterators in a number of situations . | Guido agreed , indicating that args will continue to be sequences in Python 3.0 . | discussion | I pointed him to a previous discussion Raymond Hettinger and I had about the subject that indicated that for args , sequences were preferable to iterators in a number of situations .
PEP 328| bdfl_pronouncement | I pointed him to a previous discussion Raymond Hettinger and I had about the subject that indicated that for args , sequences were preferable to iterators in a number of situations . | Guido agreed , indicating that args will continue to be sequences in Python 3.0 . | discussion | I pointed him to a previous discussion Raymond Hettinger and I had about the subject that indicated that for args , sequences were preferable to iterators in a number of situations .
PEP 328| bdfl_pronouncement | I pointed him to a previous discussion Raymond Hettinger and I had about the subject that indicated that for args , sequences were preferable to iterators in a number of situations . | Guido agreed , indicating that args will continue to be sequences in Python 3.0 . | discussion | I pointed him to a previous discussion Raymond Hettinger and I had about the subject that indicated that for args , sequences were preferable to iterators in a number of situations .
PEP 328| bdfl_pronouncement | I pointed him to a previous discussion Raymond Hettinger and I had about the subject that indicated that for args , sequences were preferable to iterators in a number of situations . | Guido agreed , indicating that args will continue to be sequences in Python 3.0 . | discussion | I pointed him to a previous discussion Raymond Hettinger and I had about the subject that indicated that for args , sequences were preferable to iterators in a number of situations .
PEP 328| bdfl_pronouncement | I pointed him to a previous discussion Raymond Hettinger and I had about the subject that indicated that for args , sequences were preferable to iterators in a number of situations . | Guido agreed , indicating that args will continue to be sequences in Python 3.0 . | discussion | I pointed him to a previous discussion Raymond Hettinger and I had about the subject that indicated that for args , sequences were preferable to iterators in a number of situations .
PEP 328| bdfl_pronouncement | I pointed him to a previous discussion Raymond Hettinger and I had about the subject that indicated that for args , sequences were preferable to iterators in a number of situations . | Guido agreed , indicating that args will continue to be sequences in Python 3.0 . | discussion | I pointed him to a previous discussion Raymond Hettinger and I had about the subject that indicated that for args , sequences were preferable to iterators in a number of situations .
PEP 328| bdfl_pronouncement | I pointed him to a previous discussion Raymond Hettinger and I had about the subject that indicated that for args , sequences were preferable to iterators in a number of situations . | Guido agreed , indicating that args will continue to be sequences in Python 3.0 . | discussion | I pointed him to a previous discussion Raymond Hettinger and I had about the subject that indicated that for args , sequences were preferable to iterators in a number of situations .
PEP 328| bdfl_pronouncement | I pointed him to a previous discussion Raymond Hettinger and I had about the subject that indicated that for args , sequences were preferable to iterators in a number of situations . | Guido agreed , indicating that args will continue to be sequences in Python 3.0 . | discussion | I pointed him to a previous discussion Raymond Hettinger and I had about the subject that indicated that for args , sequences were preferable to iterators in a number of situations .
PEP 328| bdfl_pronouncement | I pointed him to a previous discussion Raymond Hettinger and I had about the subject that indicated that for args , sequences were preferable to iterators in a number of situations . | Guido agreed , indicating that args will continue to be sequences in Python 3.0 . | discussion | I pointed him to a previous discussion Raymond Hettinger and I had about the subject that indicated that for args , sequences were preferable to iterators in a number of situations .
