PEP 2 | proposal | support | No changes to finderloader interfaces Rather than attempting to update the PEP 302 APIs to accept additional state , this PEP proposes that ImportEngine support the content management protocol similar to the context substitution mechanisms in the decimal module . | from engine sysengine to start with a copy of the process global import state . | 
PEP 414 | proposal | support | Armin , I propose that you correct the factual deficits of the PEP i.e. remove all claims that can not be supported by facts , or are otherwise incorrect or misleading . | CAP7 vJ DPuvA p cC g0cA Gh4a N0Ob2xtiNDXvWMgSrY uA mail.gmail.com CADiSq7fAqcwiwghW OFjvfLO2Jn Y Tfqt1m HeYrynD8Nza3A mail.gmail.com 4F4B5634.3020609 v.loewis.de 4F4BB7F2.4070804 stoneleaf.us 20120227174110.96AFA2500E4 webabinitio.net 1330365662.12046.72.camel thinko jigiut 9cf 1 dough.gmane.org 1330372221.12046.119.camel thinko 20120227202335.ACAFD25009E webabinitio.net 1330375169.12046.133.camel thinko loom.20120227T215225 116 post.gmane.org 1330377399.12046.158.camel thinko 20120227215829.1DF3B2500E4 webabinitio.net 4F4BFF98.2080007 active 4.com | 
PEP 414 | proposal | support | This PEP proposes that Python 3.3 restore support for Python 2 's Unicode literal syntax , substantially increasing the number of lines of existing Python 2 code in Unicode aware applications that will run without modification on Python 3 . | Many thought that the unicode literals future import might make a common source possible , but it turns out that it 's doing more harm than good . | 
PEP 418 | proposal | discussion | The PEP proposes cross platform functions with consistent semantics , which is where a discussion was needed . | As a thin wrapper , adding it to the time module was pretty much uncontroversial , I think . | Regards
PEP 419 | deferred | feedback | PEP Deferral Further exploration of the concepts covered in this PEP has been deferred for lack of a current champion interested in promoting the goals of the PEP and collecting and incorporating feedback , and with sufficient available time to do so effectively . | txt 3,7 3,7 Version Revision Last Modified Date Author Paul Colomiets paul at colomiets.name Status Draft Status Deferred Type Standards Track Content Type textx rst Created 06 Apr 2012 16,6 16,14 This PEP proposes a way to protect Python code from being interrupted inside a finally clause or during context manager cleanup . | 
PEP 424 | updated | discussion | I 've updated the PEP to reflect the discussion . | ju0gaq mci 1 dough.gmane.org CAP1 2W7wjbBU0z10Y CZsADUhDXWmBU5sjbd6shtdX8CqPgqpw mail.gmail.com | There are two major changes  
PEP 428 | call_for_poll | controversy | Since there has been some controversy about the joining syntax used in PEP 428 filesystem path objects , I would like to run an informal poll about it . | Hello , | 
PEP 428 | updated | discussion | I 've updated PEP 428 following the previous discussion . | Hello , | Highlights  
PEP 431 | proposal | support | This PEP proposes the implementation of concrete time zone support in the Python standard library , and also improvements to the time zone API to deal with ambiguous time specifications during DST changes . | Abstract | Proposal
PEP 431 | proposal | support | This PEP proposes the implementation of concrete time zone support in the Python standard library , and also improvements to the time zone API to deal with ambiguous time specifications during DST changes . | Abstract | Proposal
PEP 438 | proposal | support | This PEP proposes that the official means of having an installer locate and find package files which are hosted externally to PyPI become the use of multi index support instead of the practice of using external links on the simple installer API . | Abstract | It is important to remember that this is   not   about forcing anyone to host their files on PyPI .
PEP 438 | proposal | support | I 've put forward a PEP that proposes a way to resolve the problems with reliability and implicitness of the current method of not hosting PyPI with centralizing around the multiple indexURL support . | That being said , nobody is trying to mandate that everyone must upload to PyPI . | 
PEP 438 | proposal | support | This PEP proposes that the official means of having an installer locate and find package files which are hosted externally to PyPI become the use of multi index support instead of the practice of using external links on the simple installer API . | Abstract | It is important to remember that this is   not   about forcing anyone to host their files on PyPI .
PEP 438 | proposal | support | This PEP proposes the deprecation and removal of support for hosting files externally to PyPI as well as the deprecation and removal of the functionality added by PEP 438 , particularly rel information to classify different types of links and the meta tag to indicate API version . | Abstract | Rationale
PEP 438 | proposal | support | This PEP proposes the deprecation and removal of support for hosting files externally to PyPI as well as the deprecation and removal of the functionality added by PEP 438 , particularly rel information to classify different types of links and the meta tag to indicate API version . | This PEP does not propose mandating that all authors upload their projects to PyPI in order to exist in the index nor does it propose any change to the human facing elements of PyPI . | 
PEP 438 | proposal | support | This PEP proposes the deprecation and removal of support for hosting files externally to PyPI as well as the deprecation and removal of the functionality added by PEP 438 , particularly rel information to classify different types of links and the meta tag to indicate API version . | This PEP does not propose mandating that all authors upload their projects to PyPI in order to exist in the index nor does it propose any change to the human facing elements of PyPI . | 
PEP 439 | updated | discussion | I 've updated PEP 439 to note the outcome of the recent discussion regarding setuptools dependencies and a couple of other minor things . | Hi all , | The changes are viewable here   http hg.python.org peps diff 0d57c70eff91 pep 0439.txt
PEP 446 | proposal | feedback | I propose that we wait for one more day for any feedback from others in response to this post , and then accept the PEP . | Wow , that was quick ! |     Guido van Rossum    python.org guido  )    next part   An HTML attachment was scrubbed ... URL    http mail.python.org pipermail python dev attachments 20130826 87a8daeb attachment 0001.html 
PEP 453 | proposal | support | This PEP proposes that the Installing Python Modules http docs.python.org 3 install guide be updated to officially recommend the use of pip as the default installer for Python packages , and that appropriate technical changes be made in Python 2.7 , 3.3 and 3.4 to provide pip by default in support of that recommendation . | Instead , pip will be a bundled application provided along with CPython for the convenience of Python users , but subject to its own development life cycle and able to be upgraded independently of the core interpreter and standard library . | 
PEP 453 | proposal | support | To support that end , this PEP proposes the inclusion of an ensurepip bootstrapping module in Python 3.4 along with the upcoming maintenance releases of Python 2.7 and 3.3 , as well as changes to the way Python installed scripts are handled on Windows . | However , to avoid recommending a tool that CPython does not provide , it is further proposed that the pip package manager be made available by default when installing CPython and when creating virtual environments using the standard library 's venv module via the pyvenv command line utility . | 
PEP 453 | proposal | support | This PEP proposes that the Installing Python Modules http docs.python.org 3 install guide be updated to officially recommend the use of pip as the default installer for Python packages , and that appropriate technical changes be made in Python 2.7 , 3.3 and 3.4 to provide pip by default in support of that recommendation . | Abstract | 
PEP 453 | proposal | support | To support that end , this PEP proposes the inclusion of an ensurepip bootstrapping module in Python 3.4 along with the upcoming maintenance releases of Python 2.7 and 3.3 , as well as changes to the way Python installed scripts are handled on Windows for Python 3.4 only . | However , to avoid recommending a tool that CPython does not provide , it is further proposed that the pip package manager be made available by default when installing CPython and when creating virtual environments using the standard library 's venv module via the pyvenv command line utility . | 
PEP 462 | proposal | support | This PEP also proposes changes to the way certain supporting repositories such as the repository for Python Enhancement Proposals are managed to make them more accessible to new contributors , and easier to manage for core developers . | This proposal is intended to allow core developers to make more effective use of the time they have available to contribute to CPython , which should also result in an improved experience for other contributors that are reliant on the core team to get their changes incorporated . | 
PEP 462 | proposal | support | This PEP proposes introducing a more sophisticated approach to repository management that includes more self service '' features , including support for pull requests . | These supporting repositories could benefit greatly from user the simple pull request '' style workflow made popular by code hosting sites like GitHub and BitBucket . | 
PEP 462 | proposal | support | This PEP also proposes changes to the way certain supporting repositories such as the repository for Python Enhancement Proposals are managed to make them more accessible to new contributors , and easier to manage for core developers . | txt 21,11 21,6 experience for other contributors that are reliant on the core team to get their changes incorporated . | 
PEP 462 | proposal | support | This PEP proposes introducing a more sophisticated approach to repository management that includes more self service '' features , including support for pull requests . | These supporting repositories could benefit greatly from user the simple pull request '' style workflow made popular by code hosting sites like GitHub and BitBucket . | 
PEP 462 | proposal | support | This PEP proposes migrating the repository hosting of CPython and the supporting repositories to Git and Github . | In particular this PEP proposes changes to the following repositories https hg.python.orgdevguide https hg.python.orgdevinabox https hg.python.orgpeps This PEP does not propose any changes to the core development workflow for CPython itself . | 
PEP 465 | proposal | support | To continue the support of the separation of bytecode files based on their optimization level , this PEP proposes extending the PYC file name to include the optimization level in bytecode repository directory i.e. , the pycache directory . | This PEP proposes eliminating the concept of PYO files from Python . | 
PEP 465 | proposal | support | To continue the support of the separation of bytecode files based on their optimization level , this PEP proposes extending the PYC file name to include the optimization level in bytecode repository directory i.e. , the pycache directory . | txt 0,0 1,303 PEP 488 Title Elimination of PYO files Version Revision Last Modified Date Author Brett Cannon brett at python.org Status Draft Type Standards Track Content Type textx rst Created 20 Feb 2015 Post History 2015 03 06 Abstract This PEP proposes eliminating the concept of PYO files from Python . | 
PEP 465 | call_for_poll | poll_result | I have closed the issue of file name formatting thanks to the informal poll results being very clear on the preferred format and also closed the idea of embedding the optimization level in the bytecode file metadata that can be another PEP if someone cares to write that one . | Here is the latest draft of the PEP . | 
PEP 465 | proposal | support | To continue the support of the separation of bytecode files based on their optimization level , this PEP proposes extending the PYC file name to include the optimization level in bytecode repository directory i.e. , the pycache directory . | This PEP proposes eliminating the concept of PYO files from Python . | 
PEP 465 | proposal | support | To continue the support of the separation of bytecode files based on their optimization level , this PEP proposes extending the PYC file name to include the optimization level in the bytecode repository directory when it 's called for i.e. , the pycache directory . | This PEP proposes eliminating the concept of PYO files from Python . | 
PEP 470 | proposal | support | This PEP proposes that the official means of having an installer locate and find package files which are hosted externally to PyPI become the use of multi index support instead of the practice of using external links on the simple installer API . | Abstract | It is important to remember that this is   not   about forcing anyone to host their files on PyPI .
PEP 470 | proposal | support | I 've put forward a PEP that proposes a way to resolve the problems with reliability and implicitness of the current method of not hosting PyPI with centralizing around the multiple indexURL support . | That being said , nobody is trying to mandate that everyone must upload to PyPI . | 
PEP 470 | proposal | support | Since the multiple index support is the more powerful and flexible of the two systems , while also being simpler to implement and easier to understand , PEP 470 now proposes to standardise on that system for PyPI 's external hosting support , with a few additional enhancements to address the discoverability issues that would otherwise arise . | It turns out the link spidering system is not only overly complicated and relatively hard to both understand and implement , but also largely redundant given the support for multiple indexes in the installation tools . | The link spidering system will eventually go away and we 'll then be left with a fairly conventional   multiple repository '' model , plus a few nice repository discovery features that most other such systems do n't have .
PEP 471 | updated | feedback | After some very good python dev feedback on my first version of PEP 471 , I 've updated the PEP to clarify a few things and added various Rejected ideas '' subsections . | Hi folks , | 
PEP 472 | proposal | support | txt 0,0 1,653 PEP 472 Title Support for indexing with keyword arguments Version Revision Last Modified Date Author Stefano Borini , Joseph Martinot Lagarde Discussion To python ideas at python.org Status Draft Type Standards Track Content Type textx rst Created 24 Jun 2014 Python Version 3.6 Post History 02 Jul 2014 Abstract This PEP proposes an extension of the indexing operation to support keyword arguments . | txt new file mode 100644 devnull bpep 0472 . | 
PEP 474 | proposal | support | This PEP also proposes changes to the way certain supporting repositories such as the repository for Python Enhancement Proposals are managed to make them more accessible to new contributors , and easier to manage for core developers . | txt 21,11 21,6 experience for other contributors that are reliant on the core team to get their changes incorporated . | 
PEP 474 | proposal | support | This PEP proposes introducing a more sophisticated approach to repository management that includes more self service '' features , including support for pull requests . | These supporting repositories could benefit greatly from user the simple pull request '' style workflow made popular by code hosting sites like GitHub and BitBucket . | 
PEP 474 | proposal | support | This PEP proposes migrating to Git and Github for certain supporting repositories such as the repository for Python Enhancement Proposals in a way that is more accessible to new contributors , and easier to manage for core developers . | Abstract | 
PEP 474 | updated | support | I 've now updated PEP 474 to cover my current proposal for the support repositories , as well as some of the preparatory work that is already being undertaken https www.python.orgdevpepspep 0474 | my thinking about the development process . | 
PEP 474 | proposal | support | This PEP proposes migrating the repository hosting of CPython and the supporting repositories to Git and Github . | In particular this PEP proposes changes to the following repositories https hg.python.orgdevguide https hg.python.orgdevinabox https hg.python.orgpeps This PEP does not propose any changes to the core development workflow for CPython itself . | 
PEP 479 | accepted | discussion | However , none of the discussion changed the BDFL 's mind and the PEP 's acceptance is now final . | Because of the exceptionally short period from first draft to acceptance , the main objections brought up after acceptance were carefully considered and have been reflected in the Alternate proposals '' section below . |    Suggestions for clarifying edits are still welcome   unlike IETF RFCs , the text of a PEP is not cast in stone after its acceptance , although the core design plan specification should not change after acceptance .  ) 
PEP 479 | accepted | discussion | However , none of the discussion changed the BDFL 's mind and the PEP 's acceptance is now final . | Because of the exceptionally short period from first draft to acceptance , the main objections brought up after acceptance were carefully considered and have been reflected in the Alternate proposals '' section below . |    Suggestions for clarifying edits are still welcome   unlike IETF RFCs , the text of a PEP is not cast in stone after its acceptance , although the core design plan specification should not change after acceptance .  ) 
PEP 479 | final | discussion | However , none of the discussion changed the BDFL 's mind and the PEP 's acceptance is now final . | Because of the exceptionally short period from first draft to acceptance , the main objections brought up after acceptance were carefully considered and have been reflected in the Alternate proposals '' section below . |    Suggestions for clarifying edits are still welcome   unlike IETF RFCs , the text of a PEP is not cast in stone after its acceptance , although the core design plan specification should not change after acceptance .  ) 
PEP 479 | accepted | discussion | However , none of the discussion changed the BDFL 's mind and the PEP 's acceptance is now final . | Because of the exceptionally short period from first draft to acceptance , the main objections brought up after acceptance were carefully considered and have been reflected in the Alternate proposals '' section below . | 
PEP 479 | accepted | discussion | However , none of the discussion changed the BDFL 's mind and the PEP 's acceptance is now final . | Because of the exceptionally short period from first draft to acceptance , the main objections brought up after acceptance were carefully considered and have been reflected in the Alternate proposals '' section below . | 
PEP 479 | final | discussion | However , none of the discussion changed the BDFL 's mind and the PEP 's acceptance is now final . | Because of the exceptionally short period from first draft to acceptance , the main objections brought up after acceptance were carefully considered and have been reflected in the Alternate proposals '' section below . | 
PEP 479 | accepted | discussion | However , none of the discussion changed the BDFL 's mind and the PEP 's acceptance is now final . | Because of the exceptionally short period from first draft to acceptance , the main objections brought up after acceptance were carefully considered and have been reflected in the Alternate proposals '' section below . | 
PEP 479 | accepted | discussion | However , none of the discussion changed the BDFL 's mind and the PEP 's acceptance is now final . | Because of the exceptionally short period from first draft to acceptance , the main objections brought up after acceptance were carefully considered and have been reflected in the Alternate proposals '' section below . | 
PEP 479 | final | discussion | However , none of the discussion changed the BDFL 's mind and the PEP 's acceptance is now final . | Because of the exceptionally short period from first draft to acceptance , the main objections brought up after acceptance were carefully considered and have been reflected in the Alternate proposals '' section below . | 
PEP 479 | accepted | discussion | However , none of the discussion changed the BDFL 's mind and the PEP 's acceptance is now final . | Because of the exceptionally short period from first draft to acceptance , the main objections brought up after acceptance were carefully considered and have been reflected in the Alternate proposals '' section below . | 
PEP 479 | accepted | discussion | However , none of the discussion changed the BDFL 's mind and the PEP 's acceptance is now final . | Because of the exceptionally short period from first draft to acceptance , the main objections brought up after acceptance were carefully considered and have been reflected in the Alternate proposals '' section below . | 
PEP 479 | final | discussion | However , none of the discussion changed the BDFL 's mind and the PEP 's acceptance is now final . | Because of the exceptionally short period from first draft to acceptance , the main objections brought up after acceptance were carefully considered and have been reflected in the Alternate proposals '' section below . | 
PEP 481 | proposal | support | This PEP proposes migrating to Git and Github for certain supporting repositories such as the repository for Python Enhancement Proposals in a way that is more accessible to new contributors , and easier to manage for core developers . | Abstract | 
PEP 481 | proposal | support | This PEP proposes migrating the repository hosting of CPython and the supporting repositories to Git and Github . | In particular this PEP proposes changes to the following repositories https hg.python.orgdevguide https hg.python.orgdevinabox https hg.python.orgpeps This PEP does not propose any changes to the core development workflow for CPython itself . | 
PEP 481 | proposal | support | This PEP proposes migrating the repository hosting of CPython and the supporting repositories to Git and Github . | note This PEP has been withdrawn , if you 're looking for the PEP documenting the move to Github , please refer to PEP 512 . | 
PEP 483 | accepted | discussion | However , none of the discussion changed the BDFL 's mind and the PEP 's acceptance is now final . | Because of the exceptionally short period from first draft to acceptance , the main objections brought up after acceptance were carefully considered and have been reflected in the Alternate proposals '' section below . | 
PEP 483 | accepted | discussion | However , none of the discussion changed the BDFL 's mind and the PEP 's acceptance is now final . | Because of the exceptionally short period from first draft to acceptance , the main objections brought up after acceptance were carefully considered and have been reflected in the Alternate proposals '' section below . | 
PEP 483 | final | discussion | However , none of the discussion changed the BDFL 's mind and the PEP 's acceptance is now final . | Because of the exceptionally short period from first draft to acceptance , the main objections brought up after acceptance were carefully considered and have been reflected in the Alternate proposals '' section below . | 
PEP 483 | accepted | discussion | However , none of the discussion changed the BDFL 's mind and the PEP 's acceptance is now final . | Because of the exceptionally short period from first draft to acceptance , the main objections brought up after acceptance were carefully considered and have been reflected in the Alternate proposals '' section below . | 
PEP 483 | accepted | discussion | However , none of the discussion changed the BDFL 's mind and the PEP 's acceptance is now final . | Because of the exceptionally short period from first draft to acceptance , the main objections brought up after acceptance were carefully considered and have been reflected in the Alternate proposals '' section below . | 
PEP 483 | final | discussion | However , none of the discussion changed the BDFL 's mind and the PEP 's acceptance is now final . | Because of the exceptionally short period from first draft to acceptance , the main objections brought up after acceptance were carefully considered and have been reflected in the Alternate proposals '' section below . | 
PEP 485 | updated | consensus | I have updated the code and PEP on gitHub with changes that were no brainers or seemed to have clear consensus . | I 've gone through all the messages in this thread since I posted the draft PEP . | 
PEP 488 | proposal | support | To continue the support of the separation of bytecode files based on their optimization level , this PEP proposes extending the PYC file name to include the optimization level in bytecode repository directory i.e. , the pycache directory . | This PEP proposes eliminating the concept of PYO files from Python . | 
PEP 488 | proposal | support | To continue the support of the separation of bytecode files based on their optimization level , this PEP proposes extending the PYC file name to include the optimization level in bytecode repository directory i.e. , the pycache directory . | txt 0,0 1,303 PEP 488 Title Elimination of PYO files Version Revision Last Modified Date Author Brett Cannon brett at python.org Status Draft Type Standards Track Content Type textx rst Created 20 Feb 2015 Post History 2015 03 06 Abstract This PEP proposes eliminating the concept of PYO files from Python . | 
PEP 488 | call_for_poll | poll_result | I have closed the issue of file name formatting thanks to the informal poll results being very clear on the preferred format and also closed the idea of embedding the optimization level in the bytecode file metadata that can be another PEP if someone cares to write that one . | Here is the latest draft of the PEP . | 
PEP 488 | proposal | support | To continue the support of the separation of bytecode files based on their optimization level , this PEP proposes extending the PYC file name to include the optimization level in bytecode repository directory i.e. , the pycache directory . | This PEP proposes eliminating the concept of PYO files from Python . | 
PEP 488 | proposal | support | To continue the support of the separation of bytecode files based on their optimization level , this PEP proposes extending the PYC file name to include the optimization level in the bytecode repository directory when it 's called for i.e. , the pycache directory . | This PEP proposes eliminating the concept of PYO files from Python . | 
PEP 488 | proposal | support | To continue the support of the separation of bytecode files based on their optimization level , this PEP proposes extending the PYC file name to include the optimization level in bytecode repository directory i.e. , the pycache directory . | txt 17,8 17,8 This PEP proposes eliminating the concept of PYO files from Python . | 
PEP 488 | proposal | support | txt 19,7 19,7 To continue the support of the separation of bytecode files based on their optimization level , this PEP proposes extending the PYC file name to include the optimization level in the bytecode repository directory when it 's called for i.e. , the pycache directory . | txt bpep 0488 . | 
PEP 498 | proposal | support | PEP 498 proposes new syntactic support for string interpolation that is transparent to the compiler , allow name references from the interpolation operation full access to containing namespaces as with any other expression , rather than being limited to explicitly name references . | . | 
PEP 498 | proposal | support | To address that problem and a number of other concerns , this PEP proposes an alternative approach to compiler supported interpolation , based on a new interpolate magic method , and using a substitution syntax inspired by that used in string . | system call . | 
PEP 498 | proposal | support | This is a new kind of expression , consisting of This PEP proposes the introduction of as a new binary operator designed specifically to support interpolation of template strings ! | . | 
PEP 498 | proposal | support | To address that problem and a number of other concerns , this PEP proposes an alternative approach to compiler supported interpolation , based on a new binary operator with a syntactically constrained right hand side , a new interpolate magic method , and a substitution syntax inspired by that used in string . | system call . | 
PEP 498 | proposal | support | To address that problem and a number of other concerns , this PEP proposes an alternative approach to compiler supported interpolation , using i for interpolation '' as the new string prefix and a substitution syntax inspired by that used in string . | system call . | 
PEP 501 | proposal | support | To address that problem and a number of other concerns , this PEP proposes an alternative approach to compiler supported interpolation , based on a new interpolate magic method , and using a substitution syntax inspired by that used in string . | system call . | 
PEP 501 | proposal | support | This is a new kind of expression , consisting of This PEP proposes the introduction of as a new binary operator designed specifically to support interpolation of template strings ! | . | 
PEP 501 | proposal | support | To address that problem and a number of other concerns , this PEP proposes an alternative approach to compiler supported interpolation , based on a new binary operator with a syntactically constrained right hand side , a new interpolate magic method , and a substitution syntax inspired by that used in string . | system call . | 
PEP 501 | proposal | support | To address that problem and a number of other concerns , this PEP proposes an alternative approach to compiler supported interpolation , using i for interpolation '' as the new string prefix and a substitution syntax inspired by that used in string . | system call . | 
PEP 503 | updated | support | I 've updated the PEP with the typo corrections , clarifications , and the missing GPG signature support that Marc Andre and Marius pointed out . | 55EAB949.6030603 egenix.com etPan.55eb1453.33e83f77.19bd Draupnir.home | It should be live on the PEP site soon , but the diff can be viewed online at https hg.python.org peps rev a314911efa10
PEP 512 | proposal | support | This PEP proposes migrating the repository hosting of CPython and the supporting repositories to Git and Github . | note This PEP has been withdrawn , if you 're looking for the PEP documenting the move to Github , please refer to PEP 512 . | 
PEP 515 | updated | feedback | based on the feedback so far , I revised the PEP . | Hey all , | There is now a much simpler rule for allowed underscores , with no exceptions .
PEP 520 | updated | feedback | I 've updated the PEP to reflect feedback up to this point . | pep 520 ordered class definition namespace round 3 . | The reception has been positive .
PEP 520 | proposal | support | This PEP proposes to instead support a wide range of customisation scenarios through a new init subclass hook in the class body , a hook to initialize attributes , and a way to keep the order in which attributes are defined . | This custom metaclass then persists for the entire lifecycle of the class , creating the potential for spurious metaclass conflicts . | 
PEP 520 | proposal | support | This PEP proposes to instead support a wide range of customisation scenarios through a new init subclass hook in the class body , a hook to initialize attributes . | This custom metaclass then persists for the entire lifecycle of the class , creating the potential for spurious metaclass conflicts . | 
PEP 520 | proposal | support | This PEP proposes to instead support a wide range of customisation scenarios through a new init subclass hook in the class body , and a hook to initialize attributes . | This custom metaclass then persists for the entire lifecycle of the class , creating the potential for spurious metaclass conflicts . | 
PEP 520 | proposal | support | This PEP proposes to instead support a wide range of customisation scenarios through a new init subclass hook in the class body , and a hook to initialize attributes . | This custom metaclass then persists for the entire lifecycle of the class , creating the potential for spurious metaclass conflicts . | 
PEP 525 | proposal | support | There is a reference implementation 2 that supports everything that the PEP proposes to add . | The PEP is also available at 1 . | 
PEP 525 | proposal | support | There is a reference implementation 2 that supports everything that the PEP proposes to add . | The PEP is also available at 1 . | 
PEP 525 | proposal | support | Below is a proposal to add support for asynchronous comprehensions and asynchronous generator expressions in Python 3.6 . | Hi , | I have a half working implementation of the proposal which fully implements all required grammar and AST changes .
PEP 530 | proposal | support | Below is a proposal to add support for asynchronous comprehensions and asynchronous generator expressions in Python 3.6 . | Hi , | I have a half working implementation of the proposal which fully implements all required grammar and AST changes .
PEP 754 | proposal | support | This PEP proposes a standard Python API and provides a reference module implementation which allows for consistent handling of IEEE 754 special values on all supported platforms . | Due to the many platform and library inconsistencies in handling IEEE special values , it is impossible to consistently set or detect IEEE 754 floating point values in normal Python code without resorting to directly manipulating bit patterns . | API Definition                            
PEP 754 | proposal | support | This PEP proposes a standard Python API and provides a reference module implementation which allows for consistent handling of IEEE 754 special values on all supported platforms . | Due to the many platform and library inconsistencies in handling IEEE special values , it is impossible to consistently set or detect IEEE 754 floating point values in normal Python code without resorting to directly manipulating bit patterns . | API Definition
PEP 3003 | proposal | support | This PEP proposes that the Installing Python Modules http docs.python.org 3 install guide be updated to officially recommend the use of pip as the default installer for Python packages , and that appropriate technical changes be made in Python 2.7 , 3.3 and 3.4 to provide pip by default in support of that recommendation . | Instead , pip will be a bundled application provided along with CPython for the convenience of Python users , but subject to its own development life cycle and able to be upgraded independently of the core interpreter and standard library . | 
PEP 3003 | proposal | support | To support that end , this PEP proposes the inclusion of an ensurepip bootstrapping module in Python 3.4 along with the upcoming maintenance releases of Python 2.7 and 3.3 , as well as changes to the way Python installed scripts are handled on Windows . | However , to avoid recommending a tool that CPython does not provide , it is further proposed that the pip package manager be made available by default when installing CPython and when creating virtual environments using the standard library 's venv module via the pyvenv command line utility . | 
PEP 3003 | proposal | support | This PEP proposes that the Installing Python Modules http docs.python.org 3 install guide be updated to officially recommend the use of pip as the default installer for Python packages , and that appropriate technical changes be made in Python 2.7 , 3.3 and 3.4 to provide pip by default in support of that recommendation . | Abstract | 
PEP 3003 | proposal | support | To support that end , this PEP proposes the inclusion of an ensurepip bootstrapping module in Python 3.4 along with the upcoming maintenance releases of Python 2.7 and 3.3 , as well as changes to the way Python installed scripts are handled on Windows for Python 3.4 only . | However , to avoid recommending a tool that CPython does not provide , it is further proposed that the pip package manager be made available by default when installing CPython and when creating virtual environments using the standard library 's venv module via the pyvenv command line utility . | 
PEP 3003 | proposal | support | To support that end , this PEP proposes the inclusion of an ensurepip bootstrapping module in Python 3.4 along with the upcoming maintenance releases of Python 2.7 and 3.3 , as well as automatic invocation of that module from pyvenv for Python 3.4 only , and changes to the way Python installed scripts are handled on Windows also for Python 3.4 only . | default when installing CPython 3.4 or later and when creating virtual environments using the standard library 's venv module via the pyvenv command line utility . | 
PEP 3101 | updated | feedback | I 've updated PEP 3101 based on the feedback collected so far . | pep 3101 update . |   PEP   3101 Title   Advanced String Formatting Version     Revision   45928   Last Modified     Date   2006 05 06 18 49 43  0700    Sat , 06 May 2006  )    Author   Talin  talin at acm.org  Status   Draft Content Type   text plain Created   16 Apr 2006 Python Version   3.0 Post History   28 Apr 2006 , 6 May 2006
PEP 3101 | proposal | support | To address that problem and a number of other concerns , this PEP proposes an alternative approach to compiler supported interpolation , using i for interpolation '' as the new string prefix and a substitution syntax inspired by that used in string . | system call . | 
PEP 3102 | bdfl_pronouncement | discussion | Note After much discussion of alternative syntax proposals , the BDFL has pronounced in favor of this single star ' syntax for indicating the end of positional parameters . | As a convenient shortcut , we can simply omit the ignore ' name , meaning do n't allow any positional arguments beyond this point ' . | 
PEP 3102 | bdfl_pronouncement | discussion | Note After much discussion of alternative syntax proposals , the BDFL has pronounced in favor of this single star ' syntax for indicating the end of positional parameters . | The meaning of this is to allow for keyword only arguments for functions that would not otherwise take a varargs argument def compare a , b , , key None ... 95,7 97,11 As a convenient shortcut , we can simply omit the ignore ' name , meaning do n't allow any positional arguments beyond this point ' . | 
PEP 3102 | proposal | support | Talin introduced PEP 3102 which proposes support for keyword only '' arguments , that is , arguments that must be specified with the name value keyword syntax , not as positional arguments . | PEP 3102 Keyword only arguments | 
PEP 3102 | proposal | support | Talin introduced PEP 3102 which proposes support for keyword only '' arguments , that is , arguments that must be specified with the name value keyword syntax , not as positional arguments . | PEP 3102 Keyword only arguments | 
PEP 3102 | proposal | support | Talin introduced PEP 3102 which proposes support for keyword only '' arguments , that is , arguments that must be specified with the name value keyword syntax , not as positional arguments . | PEP 3102 Keyword only arguments | 
PEP 3103 | poll_result_no_support | support | https www.python.orgdevpepspep 3103 A SwitchCase Statement '' by Guido van Rossum , Rejection Notice A quick poll during my keynote presentation at PyCon 2007 shows this proposal has no popular support . | 4602a32c 5109 47dd 95bb b9723738f07f googlegroups.com 55E8E09A.3080309 gmail.com | 
PEP 3103 | poll_result_no_support | no_popular_support | https www.python.orgdevpepspep 3103 A SwitchCase Statement '' by Guido van Rossum , Rejection Notice A quick poll during my keynote presentation at PyCon 2007 shows this proposal has no popular support . | 4602a32c 5109 47dd 95bb b9723738f07f googlegroups.com 55E8E09A.3080309 gmail.com | 
PEP 3103 | poll_result | support | There the poll indicated no specific proposal had a majority , so for each specific proposal one could say it did n't have popular support , but the majority still prefered to have a conditional expression . | Op 04 09 15 om 02 47 schreef Mark Lawrence Were those polls , like the poll he once did for the condtional expression ? | But at that time Guido used that poll as an indication there was not enough support .
PEP 3103 | poll_result | majority | There the poll indicated no specific proposal had a majority , so for each specific proposal one could say it did n't have popular support , but the majority still prefered to have a conditional expression . | Op 04 09 15 om 02 47 schreef Mark Lawrence Were those polls , like the poll he once did for the condtional expression ? | But at that time Guido used that poll as an indication there was not enough support .
PEP 3103 | bdfl_pronouncement | support | But at that time Guido used that poll as an indication there was not enough support . | There the poll indicated no specific proposal had a majority , so for each specific proposal one could say it did n't have popular support , but the majority still prefered to have a conditional expression . | So color me a bit sceptical when Guido comes with such a poll .
PEP 3107 | proposal | support | Therefore i propose that python adds support for function annotations in version 2.6 via from future import function annotations This would make the change as compatible as for example decorators or the with statement . | Jython could implement this use of function annotations without python supporting it , but that would make the code incompatible between python and Jython , which would be highly unfortunate . | 
PEP 3107 | open | discussion | The discussion for PEP 3107 said the use and interpretation of function type annotations was being left open for third party developers to use as they see fit some may use strings , other ABCs , others concrete types , or tuples of types or some other structure . | New submission from Raymond Hettinger rhettinger at users.sourceforge.net | 
