PEP 2 | proposal| feedback | This PEP proposes a transitional state for modules inclusion in a special preview package for the duration of a minor release roughly 18 months prior to full acceptance into the standard library .|If the module ends up graduating into the standard library after + spending a minor release in `` __ preview __ `` , its API may be changed according + to accumulated feedback .
PEP 342 | accepted| debate | Changing the C API so that Paths are accepted where necessary was the suggested solution , although the PEP at the time of writing the summary still subclasses Path from string .|The debate centred on whether subclassing stringwas the best way to do this or not .
PEP 342 | accepted| majority | Changing the C API so that Paths are accepted where necessary was the suggested solution , although the PEP at the time of writing the summary still subclasses Path from string .|Subclassing string provides the advantage that Paths can be used inthe majority of places where strings are currently used , withoutmodification .
PEP 342 | accepted| discussion | Changing the C API so that Paths are accepted where necessary was the suggested solution , although the PEP at the time of writing the summary still subclasses Path from string .|More discussion considered whether Path should subclass string or not .
PEP 342 | accepted| debate | Changing the C API so that Paths are accepted where necessary was the suggested solution , although the PEP at the time of writing the summary still subclasses Path from string .|The debate centred on whether subclassing stringwas the best way to do this or not .
PEP 342 | accepted| majority | Changing the C API so that Paths are accepted where necessary was the suggested solution , although the PEP at the time of writing the summary still subclasses Path from string .|Subclassing string provides the advantage that Paths can be used inthe majority of places where strings are currently used , withoutmodification .
PEP 342 | accepted| discussion | Changing the C API so that Paths are accepted where necessary was the suggested solution , although the PEP at the time of writing the summary still subclasses Path from string .|More discussion considered whether Path should subclass string or not .
PEP 342 | accepted| debate | Changing the C API so that Paths are accepted where necessary was the suggested solution , although the PEP at the time of writing the summary still subclasses Path from string .|The debate centred on whether subclassing stringwas the best way to do this or not .
PEP 342 | accepted| majority | Changing the C API so that Paths are accepted where necessary was the suggested solution , although the PEP at the time of writing the summary still subclasses Path from string .|Subclassing string provides the advantage that Paths can be used inthe majority of places where strings are currently used , withoutmodification .
PEP 342 | accepted| discussion | Changing the C API so that Paths are accepted where necessary was the suggested solution , although the PEP at the time of writing the summary still subclasses Path from string .|More discussion considered whether Path should subclass string or not .
PEP 342 | accepted| debate | Changing the C API so that Paths are accepted where necessary was the suggested solution , although the PEP at the time of writing the summary still subclasses Path from string .|The debate centred on whether subclassing stringwas the best way to do this or not .
PEP 342 | accepted| majority | Changing the C API so that Paths are accepted where necessary was the suggested solution , although the PEP at the time of writing the summary still subclasses Path from string .|Subclassing string provides the advantage that Paths can be used inthe majority of places where strings are currently used , withoutmodification .
PEP 342 | accepted| discussion | Changing the C API so that Paths are accepted where necessary was the suggested solution , although the PEP at the time of writing the summary still subclasses Path from string .|More discussion considered whether Path should subclass string or not .
PEP 342 | accepted| debate | Changing the C API so that Paths are accepted where necessary was the suggested solution , although the PEP at the time of writing the summary still subclasses Path from string .|The debate centred on whether subclassing stringwas the best way to do this or not .
PEP 342 | accepted| majority | Changing the C API so that Paths are accepted where necessary was the suggested solution , although the PEP at the time of writing the summary still subclasses Path from string .|Subclassing string provides the advantage that Paths can be used inthe majority of places where strings are currently used , withoutmodification .
PEP 342 | accepted| discussion | Changing the C API so that Paths are accepted where necessary was the suggested solution , although the PEP at the time of writing the summary still subclasses Path from string .|More discussion considered whether Path should subclass string or not .
PEP 342 | accepted| debate | Changing the C API so that Paths are accepted where necessary was the suggested solution , although the PEP at the time of writing the summary still subclasses Path from string .|The debate centred on whether subclassing stringwas the best way to do this or not .
PEP 342 | accepted| majority | Changing the C API so that Paths are accepted where necessary was the suggested solution , although the PEP at the time of writing the summary still subclasses Path from string .|Subclassing string provides the advantage that Paths can be used inthe majority of places where strings are currently used , withoutmodification .
PEP 342 | accepted| discussion | Changing the C API so that Paths are accepted where necessary was the suggested solution , although the PEP at the time of writing the summary still subclasses Path from string .|More discussion considered whether Path should subclass string or not .
PEP 342 | accepted| debate | Changing the C API so that Paths are accepted where necessary was the suggested solution , although the PEP at the time of writing the summary still subclasses Path from string .|The debate centred on whether subclassing stringwas the best way to do this or not .
PEP 342 | accepted| majority | Changing the C API so that Paths are accepted where necessary was the suggested solution , although the PEP at the time of writing the summary still subclasses Path from string .|Subclassing string provides the advantage that Paths can be used inthe majority of places where strings are currently used , withoutmodification .
PEP 342 | accepted| discussion | Changing the C API so that Paths are accepted where necessary was the suggested solution , although the PEP at the time of writing the summary still subclasses Path from string .|More discussion considered whether Path should subclass string or not .
PEP 342 | accepted| debate | Changing the C API so that Paths are accepted where necessary was the suggested solution , although the PEP at the time of writing the summary still subclasses Path from string .|The debate centred on whether subclassing stringwas the best way to do this or not .
PEP 342 | accepted| majority | Changing the C API so that Paths are accepted where necessary was the suggested solution , although the PEP at the time of writing the summary still subclasses Path from string .|Subclassing string provides the advantage that Paths can be used inthe majority of places where strings are currently used , withoutmodification .
PEP 342 | accepted| discussion | Changing the C API so that Paths are accepted where necessary was the suggested solution , although the PEP at the time of writing the summary still subclasses Path from string .|More discussion considered whether Path should subclass string or not .
PEP 342 | accepted| debate | Changing the C API so that Paths are accepted where necessary was the suggested solution , although the PEP at the time of writing the summary still subclasses Path from string .|The debate centred on whether subclassing stringwas the best way to do this or not .
PEP 342 | accepted| majority | Changing the C API so that Paths are accepted where necessary was the suggested solution , although the PEP at the time of writing the summary still subclasses Path from string .|Subclassing string provides the advantage that Paths can be used inthe majority of places where strings are currently used , withoutmodification .
PEP 342 | accepted| discussion | Changing the C API so that Paths are accepted where necessary was the suggested solution , although the PEP at the time of writing the summary still subclasses Path from string .|More discussion considered whether Path should subclass string or not .
PEP 342 | accepted| debate | Changing the C API so that Paths are accepted where necessary was the suggested solution , although the PEP at the time of writing the summary still subclasses Path from string .|The debate centred on whether subclassing stringwas the best way to do this or not .
PEP 342 | accepted| majority | Changing the C API so that Paths are accepted where necessary was the suggested solution , although the PEP at the time of writing the summary still subclasses Path from string .|Subclassing string provides the advantage that Paths can be used inthe majority of places where strings are currently used , withoutmodification .
PEP 342 | accepted| discussion | Changing the C API so that Paths are accepted where necessary was the suggested solution , although the PEP at the time of writing the summary still subclasses Path from string .|More discussion considered whether Path should subclass string or not .
PEP 342 | accepted| debate | Changing the C API so that Paths are accepted where necessary was the suggested solution , although the PEP at the time of writing the summary still subclasses Path from string .|The debate centred on whether subclassing stringwas the best way to do this or not .
PEP 342 | accepted| majority | Changing the C API so that Paths are accepted where necessary was the suggested solution , although the PEP at the time of writing the summary still subclasses Path from string .|Subclassing string provides the advantage that Paths can be used inthe majority of places where strings are currently used , withoutmodification .
PEP 342 | accepted| discussion | After this PEP was originally approved , a subsequent discussion on python dev 4 settled on the term context manager '' for objects which provide enter and exit methods , and context management protocol '' for the protocol itself .|After this PEP was originally approved , a subsequent discussion on python dev 4 settled on the term context manager '' for objects which provide enter and exit methods , and context management protocol '' for the protocol itself .
PEP 345 | accepted| discussion | We believe that having PEP 376 and PEP 345 accepted will be a major improvement for the Python packaging eco system .|This enhancement was driven by the discussions about therating\/comment system at PyPI on catalog-sig .
PEP 345 | accepted| feedback | We believe that having PEP 376 and PEP 345 accepted will be a major improvement for the Python packaging eco system .|A side-effect will be that aproject maintainer will be able to drive its end users to the rightplaces when they need to find detailed documentation or provide somefeedback .
PEP 345 | accepted| support | We believe that having PEP 376 and PEP 345 accepted will be a major improvement for the Python packaging eco system .|to get ready to support themby the time 2.7 final is out .
PEP 345 | accepted| discussion | We believe that having PEP 386 and PEP 345 accepted will be a major improvement for the Python packaging eco system .|This enhancement was driven by the discussions about the rating\/comment system atPyPI on catalog-sig .
PEP 345 | accepted| feedback | We believe that having PEP 386 and PEP 345 accepted will be a major improvement for the Python packaging eco system .|A side-effect will be that a project maintainer will be ableto drive its end users to the right places when they need to find detaileddocumentation or provide some feedback .
PEP 345 | accepted| support | We believe that having PEP 386 and PEP 345 accepted will be a major improvement for the Python packaging eco system .|to get ready tosupport them by the time 2.7 final is out .
PEP 354 | accepted| superseded | The PEP was accepted by Guido on May 10th , 2013 1 .|+ \* Note : this PEP was superseded by PEP 435 , which has been accepted in + May 2013 .
PEP 354 | bdfl_pronouncement_accepted| superseded | The PEP was accepted by Guido on May 10th , 2013 1 .|+ \* Note : this PEP was superseded by PEP 435 , which has been accepted in + May 2013 .
PEP 354 | accepted| superseded | The PEP was accepted by Guido on May 10th , 2013 1 .|+ \* Note : this PEP was superseded by PEP 435 , which has been accepted in + May 2013 .
PEP 354 | bdfl_pronouncement_accepted| superseded | The PEP was accepted by Guido on May 10th , 2013 1 .|+ \* Note : this PEP was superseded by PEP 435 , which has been accepted in + May 2013 .
PEP 355 | accepted| discussion | Changing the C API so that Paths are accepted where necessary was the suggested solution , although the PEP at the time of writing the summary still subclasses Path from string .|More discussion considered whether Path should subclass string or not .
PEP 355 | accepted| debate | Changing the C API so that Paths are accepted where necessary was the suggested solution , although the PEP at the time of writing the summary still subclasses Path from string .|The debate centred on whether subclassing stringwas the best way to do this or not .
PEP 355 | accepted| majority | Changing the C API so that Paths are accepted where necessary was the suggested solution , although the PEP at the time of writing the summary still subclasses Path from string .|Subclassing string provides the advantage that Paths can be used inthe majority of places where strings are currently used , withoutmodification .
PEP 355 | accepted| discussion | Changing the C API so that Paths are accepted where necessary was the suggested solution , although the PEP at the time of writing the summary still subclasses Path from string .|More discussion considered whether Path should subclass string or not .
PEP 355 | accepted| debate | Changing the C API so that Paths are accepted where necessary was the suggested solution , although the PEP at the time of writing the summary still subclasses Path from string .|The debate centred on whether subclassing stringwas the best way to do this or not .
PEP 355 | accepted| majority | Changing the C API so that Paths are accepted where necessary was the suggested solution , although the PEP at the time of writing the summary still subclasses Path from string .|Subclassing string provides the advantage that Paths can be used inthe majority of places where strings are currently used , withoutmodification .
PEP 355 | accepted| discussion | Changing the C API so that Paths are accepted where necessary was the suggested solution , although the PEP at the time of writing the summary still subclasses Path from string .|More discussion considered whether Path should subclass string or not .
PEP 355 | accepted| debate | Changing the C API so that Paths are accepted where necessary was the suggested solution , although the PEP at the time of writing the summary still subclasses Path from string .|The debate centred on whether subclassing stringwas the best way to do this or not .
PEP 355 | accepted| majority | Changing the C API so that Paths are accepted where necessary was the suggested solution , although the PEP at the time of writing the summary still subclasses Path from string .|Subclassing string provides the advantage that Paths can be used inthe majority of places where strings are currently used , withoutmodification .
PEP 355 | accepted| discussion | Changing the C API so that Paths are accepted where necessary was the suggested solution , although the PEP at the time of writing the summary still subclasses Path from string .|More discussion considered whether Path should subclass string or not .
PEP 355 | accepted| debate | Changing the C API so that Paths are accepted where necessary was the suggested solution , although the PEP at the time of writing the summary still subclasses Path from string .|The debate centred on whether subclassing stringwas the best way to do this or not .
PEP 355 | accepted| majority | Changing the C API so that Paths are accepted where necessary was the suggested solution , although the PEP at the time of writing the summary still subclasses Path from string .|Subclassing string provides the advantage that Paths can be used inthe majority of places where strings are currently used , withoutmodification .
PEP 355 | accepted| discussion | Changing the C API so that Paths are accepted where necessary was the suggested solution , although the PEP at the time of writing the summary still subclasses Path from string .|More discussion considered whether Path should subclass string or not .
PEP 355 | accepted| debate | Changing the C API so that Paths are accepted where necessary was the suggested solution , although the PEP at the time of writing the summary still subclasses Path from string .|The debate centred on whether subclassing stringwas the best way to do this or not .
PEP 355 | accepted| majority | Changing the C API so that Paths are accepted where necessary was the suggested solution , although the PEP at the time of writing the summary still subclasses Path from string .|Subclassing string provides the advantage that Paths can be used inthe majority of places where strings are currently used , withoutmodification .
PEP 355 | accepted| discussion | Changing the C API so that Paths are accepted where necessary was the suggested solution , although the PEP at the time of writing the summary still subclasses Path from string .|More discussion considered whether Path should subclass string or not .
PEP 355 | accepted| debate | Changing the C API so that Paths are accepted where necessary was the suggested solution , although the PEP at the time of writing the summary still subclasses Path from string .|The debate centred on whether subclassing stringwas the best way to do this or not .
PEP 355 | accepted| majority | Changing the C API so that Paths are accepted where necessary was the suggested solution , although the PEP at the time of writing the summary still subclasses Path from string .|Subclassing string provides the advantage that Paths can be used inthe majority of places where strings are currently used , withoutmodification .
PEP 355 | accepted| discussion | Changing the C API so that Paths are accepted where necessary was the suggested solution , although the PEP at the time of writing the summary still subclasses Path from string .|More discussion considered whether Path should subclass string or not .
PEP 355 | accepted| debate | Changing the C API so that Paths are accepted where necessary was the suggested solution , although the PEP at the time of writing the summary still subclasses Path from string .|The debate centred on whether subclassing stringwas the best way to do this or not .
PEP 355 | accepted| majority | Changing the C API so that Paths are accepted where necessary was the suggested solution , although the PEP at the time of writing the summary still subclasses Path from string .|Subclassing string provides the advantage that Paths can be used inthe majority of places where strings are currently used , withoutmodification .
PEP 355 | accepted| discussion | Changing the C API so that Paths are accepted where necessary was the suggested solution , although the PEP at the time of writing the summary still subclasses Path from string .|More discussion considered whether Path should subclass string or not .
PEP 355 | accepted| debate | Changing the C API so that Paths are accepted where necessary was the suggested solution , although the PEP at the time of writing the summary still subclasses Path from string .|The debate centred on whether subclassing stringwas the best way to do this or not .
PEP 355 | accepted| majority | Changing the C API so that Paths are accepted where necessary was the suggested solution , although the PEP at the time of writing the summary still subclasses Path from string .|Subclassing string provides the advantage that Paths can be used inthe majority of places where strings are currently used , withoutmodification .
PEP 355 | accepted| discussion | Changing the C API so that Paths are accepted where necessary was the suggested solution , although the PEP at the time of writing the summary still subclasses Path from string .|More discussion considered whether Path should subclass string or not .
PEP 355 | accepted| debate | Changing the C API so that Paths are accepted where necessary was the suggested solution , although the PEP at the time of writing the summary still subclasses Path from string .|The debate centred on whether subclassing stringwas the best way to do this or not .
PEP 355 | accepted| majority | Changing the C API so that Paths are accepted where necessary was the suggested solution , although the PEP at the time of writing the summary still subclasses Path from string .|Subclassing string provides the advantage that Paths can be used inthe majority of places where strings are currently used , withoutmodification .
PEP 355 | accepted| discussion | Changing the C API so that Paths are accepted where necessary was the suggested solution , although the PEP at the time of writing the summary still subclasses Path from string .|More discussion considered whether Path should subclass string or not .
PEP 355 | accepted| debate | Changing the C API so that Paths are accepted where necessary was the suggested solution , although the PEP at the time of writing the summary still subclasses Path from string .|The debate centred on whether subclassing stringwas the best way to do this or not .
PEP 355 | accepted| majority | Changing the C API so that Paths are accepted where necessary was the suggested solution , although the PEP at the time of writing the summary still subclasses Path from string .|Subclassing string provides the advantage that Paths can be used inthe majority of places where strings are currently used , withoutmodification .
PEP 355 | accepted| discussion | Changing the C API so that Paths are accepted where necessary was the suggested solution , although the PEP at the time of writing the summary still subclasses Path from string .|More discussion considered whether Path should subclass string or not .
PEP 355 | accepted| debate | Changing the C API so that Paths are accepted where necessary was the suggested solution , although the PEP at the time of writing the summary still subclasses Path from string .|The debate centred on whether subclassing stringwas the best way to do this or not .
PEP 355 | accepted| majority | Changing the C API so that Paths are accepted where necessary was the suggested solution , although the PEP at the time of writing the summary still subclasses Path from string .|Subclassing string provides the advantage that Paths can be used inthe majority of places where strings are currently used , withoutmodification .
PEP 355 | accepted| discussion | Changing the C API so that Paths are accepted where necessary was the suggested solution , although the PEP at the time of writing the summary still subclasses Path from string .|More discussion considered whether Path should subclass string or not .
PEP 355 | accepted| debate | Changing the C API so that Paths are accepted where necessary was the suggested solution , although the PEP at the time of writing the summary still subclasses Path from string .|The debate centred on whether subclassing stringwas the best way to do this or not .
PEP 355 | accepted| majority | Changing the C API so that Paths are accepted where necessary was the suggested solution , although the PEP at the time of writing the summary still subclasses Path from string .|Subclassing string provides the advantage that Paths can be used inthe majority of places where strings are currently used , withoutmodification .
PEP 355 | accepted| discussion | Changing the C API so that Paths are accepted where necessary was the suggested solution , although the PEP at the time of writing the summary still subclasses Path from string .|More discussion considered whether Path should subclass string or not .
PEP 355 | accepted| debate | Changing the C API so that Paths are accepted where necessary was the suggested solution , although the PEP at the time of writing the summary still subclasses Path from string .|The debate centred on whether subclassing stringwas the best way to do this or not .
PEP 355 | accepted| majority | Changing the C API so that Paths are accepted where necessary was the suggested solution , although the PEP at the time of writing the summary still subclasses Path from string .|Subclassing string provides the advantage that Paths can be used inthe majority of places where strings are currently used , withoutmodification .
PEP 355 | accepted| discussion | Changing the C API so that Paths are accepted where necessary was the suggested solution , although the PEP at the time of writing the summary still subclasses Path from string .|More discussion considered whether Path should subclass string or not .
PEP 355 | accepted| debate | Changing the C API so that Paths are accepted where necessary was the suggested solution , although the PEP at the time of writing the summary still subclasses Path from string .|The debate centred on whether subclassing stringwas the best way to do this or not .
PEP 355 | accepted| majority | Changing the C API so that Paths are accepted where necessary was the suggested solution , although the PEP at the time of writing the summary still subclasses Path from string .|Subclassing string provides the advantage that Paths can be used inthe majority of places where strings are currently used , withoutmodification .
PEP 355 | accepted| discussion | Changing the C API so that Paths are accepted where necessary was the suggested solution , although the PEP at the time of writing the summary still subclasses Path from string .|More discussion considered whether Path should subclass string or not .
PEP 355 | accepted| debate | Changing the C API so that Paths are accepted where necessary was the suggested solution , although the PEP at the time of writing the summary still subclasses Path from string .|The debate centred on whether subclassing stringwas the best way to do this or not .
PEP 355 | accepted| majority | Changing the C API so that Paths are accepted where necessary was the suggested solution , although the PEP at the time of writing the summary still subclasses Path from string .|Subclassing string provides the advantage that Paths can be used inthe majority of places where strings are currently used , withoutmodification .
PEP 355 | accepted| discussion | Changing the C API so that Paths are accepted where necessary was the suggested solution , although the PEP at the time of writing the summary still subclasses Path from string .|More discussion considered whether Path should subclass string or not .
PEP 355 | accepted| debate | Changing the C API so that Paths are accepted where necessary was the suggested solution , although the PEP at the time of writing the summary still subclasses Path from string .|The debate centred on whether subclassing stringwas the best way to do this or not .
PEP 355 | accepted| majority | Changing the C API so that Paths are accepted where necessary was the suggested solution , although the PEP at the time of writing the summary still subclasses Path from string .|Subclassing string provides the advantage that Paths can be used inthe majority of places where strings are currently used , withoutmodification .
PEP 355 | accepted| discussion | Changing the C API so that Paths are accepted where necessary was the suggested solution , although the PEP at the time of writing the summary still subclasses Path from string .|More discussion considered whether Path should subclass string or not .
PEP 355 | accepted| debate | Changing the C API so that Paths are accepted where necessary was the suggested solution , although the PEP at the time of writing the summary still subclasses Path from string .|The debate centred on whether subclassing stringwas the best way to do this or not .
PEP 355 | accepted| majority | Changing the C API so that Paths are accepted where necessary was the suggested solution , although the PEP at the time of writing the summary still subclasses Path from string .|Subclassing string provides the advantage that Paths can be used inthe majority of places where strings are currently used , withoutmodification .
PEP 355 | accepted| discussion | Changing the C API so that Paths are accepted where necessary was the suggested solution , although the PEP at the time of writing the summary still subclasses Path from string .|More discussion considered whether Path should subclass string or not .
PEP 355 | accepted| debate | Changing the C API so that Paths are accepted where necessary was the suggested solution , although the PEP at the time of writing the summary still subclasses Path from string .|The debate centred on whether subclassing stringwas the best way to do this or not .
PEP 355 | accepted| majority | Changing the C API so that Paths are accepted where necessary was the suggested solution , although the PEP at the time of writing the summary still subclasses Path from string .|Subclassing string provides the advantage that Paths can be used inthe majority of places where strings are currently used , withoutmodification .
PEP 355 | accepted| discussion | Changing the C API so that Paths are accepted where necessary was the suggested solution , although the PEP at the time of writing the summary still subclasses Path from string .|More discussion considered whether Path should subclass string or not .
PEP 355 | accepted| debate | Changing the C API so that Paths are accepted where necessary was the suggested solution , although the PEP at the time of writing the summary still subclasses Path from string .|The debate centred on whether subclassing stringwas the best way to do this or not .
PEP 355 | accepted| majority | Changing the C API so that Paths are accepted where necessary was the suggested solution , although the PEP at the time of writing the summary still subclasses Path from string .|Subclassing string provides the advantage that Paths can be used inthe majority of places where strings are currently used , withoutmodification .
PEP 355 | accepted| discussion | Changing the C API so that Paths are accepted where necessary was the suggested solution , although the PEP at the time of writing the summary still subclasses Path from string .|More discussion considered whether Path should subclass string or not .
PEP 355 | accepted| debate | Changing the C API so that Paths are accepted where necessary was the suggested solution , although the PEP at the time of writing the summary still subclasses Path from string .|The debate centred on whether subclassing stringwas the best way to do this or not .
PEP 355 | accepted| majority | Changing the C API so that Paths are accepted where necessary was the suggested solution , although the PEP at the time of writing the summary still subclasses Path from string .|Subclassing string provides the advantage that Paths can be used inthe majority of places where strings are currently used , withoutmodification .
PEP 355 | accepted| discussion | Changing the C API so that Paths are accepted where necessary was the suggested solution , although the PEP at the time of writing the summary still subclasses Path from string .|More discussion considered whether Path should subclass string or not .
PEP 355 | accepted| debate | Changing the C API so that Paths are accepted where necessary was the suggested solution , although the PEP at the time of writing the summary still subclasses Path from string .|The debate centred on whether subclassing stringwas the best way to do this or not .
PEP 355 | accepted| majority | Changing the C API so that Paths are accepted where necessary was the suggested solution , although the PEP at the time of writing the summary still subclasses Path from string .|Subclassing string provides the advantage that Paths can be used inthe majority of places where strings are currently used , withoutmodification .
PEP 355 | accepted| discussion | Changing the C API so that Paths are accepted where necessary was the suggested solution , although the PEP at the time of writing the summary still subclasses Path from string .|More discussion considered whether Path should subclass string or not .
PEP 355 | accepted| debate | Changing the C API so that Paths are accepted where necessary was the suggested solution , although the PEP at the time of writing the summary still subclasses Path from string .|The debate centred on whether subclassing stringwas the best way to do this or not .
PEP 355 | accepted| majority | Changing the C API so that Paths are accepted where necessary was the suggested solution , although the PEP at the time of writing the summary still subclasses Path from string .|Subclassing string provides the advantage that Paths can be used inthe majority of places where strings are currently used , withoutmodification .
PEP 355 | accepted| discussion | Changing the C API so that Paths are accepted where necessary was the suggested solution , although the PEP at the time of writing the summary still subclasses Path from string .|More discussion considered whether Path should subclass string or not .
PEP 355 | accepted| debate | Changing the C API so that Paths are accepted where necessary was the suggested solution , although the PEP at the time of writing the summary still subclasses Path from string .|The debate centred on whether subclassing stringwas the best way to do this or not .
PEP 355 | accepted| majority | Changing the C API so that Paths are accepted where necessary was the suggested solution , although the PEP at the time of writing the summary still subclasses Path from string .|Subclassing string provides the advantage that Paths can be used inthe majority of places where strings are currently used , withoutmodification .
PEP 355 | accepted| discussion | Changing the C API so that Paths are accepted where necessary was the suggested solution , although the PEP at the time of writing the summary still subclasses Path from string .|More discussion considered whether Path should subclass string or not .
PEP 355 | accepted| debate | Changing the C API so that Paths are accepted where necessary was the suggested solution , although the PEP at the time of writing the summary still subclasses Path from string .|The debate centred on whether subclassing stringwas the best way to do this or not .
PEP 355 | accepted| majority | Changing the C API so that Paths are accepted where necessary was the suggested solution , although the PEP at the time of writing the summary still subclasses Path from string .|Subclassing string provides the advantage that Paths can be used inthe majority of places where strings are currently used , withoutmodification .
PEP 355 | accepted| discussion | Changing the C API so that Paths are accepted where necessary was the suggested solution , although the PEP at the time of writing the summary still subclasses Path from string .|More discussion considered whether Path should subclass string or not .
PEP 355 | accepted| debate | Changing the C API so that Paths are accepted where necessary was the suggested solution , although the PEP at the time of writing the summary still subclasses Path from string .|The debate centred on whether subclassing stringwas the best way to do this or not .
PEP 355 | accepted| majority | Changing the C API so that Paths are accepted where necessary was the suggested solution , although the PEP at the time of writing the summary still subclasses Path from string .|Subclassing string provides the advantage that Paths can be used inthe majority of places where strings are currently used , withoutmodification .
PEP 355 | accepted| discussion | Changing the C API so that Paths are accepted where necessary was the suggested solution , although the PEP at the time of writing the summary still subclasses Path from string .|More discussion considered whether Path should subclass string or not .
PEP 355 | accepted| debate | Changing the C API so that Paths are accepted where necessary was the suggested solution , although the PEP at the time of writing the summary still subclasses Path from string .|The debate centred on whether subclassing stringwas the best way to do this or not .
PEP 355 | accepted| majority | Changing the C API so that Paths are accepted where necessary was the suggested solution , although the PEP at the time of writing the summary still subclasses Path from string .|Subclassing string provides the advantage that Paths can be used inthe majority of places where strings are currently used , withoutmodification .
PEP 355 | accepted| discussion | Changing the C API so that Paths are accepted where necessary was the suggested solution , although the PEP at the time of writing the summary still subclasses Path from string .|More discussion considered whether Path should subclass string or not .
PEP 355 | accepted| debate | Changing the C API so that Paths are accepted where necessary was the suggested solution , although the PEP at the time of writing the summary still subclasses Path from string .|The debate centred on whether subclassing stringwas the best way to do this or not .
PEP 355 | accepted| majority | Changing the C API so that Paths are accepted where necessary was the suggested solution , although the PEP at the time of writing the summary still subclasses Path from string .|Subclassing string provides the advantage that Paths can be used inthe majority of places where strings are currently used , withoutmodification .
PEP 355 | accepted| discussion | Changing the C API so that Paths are accepted where necessary was the suggested solution , although the PEP at the time of writing the summary still subclasses Path from string .|More discussion considered whether Path should subclass string or not .
PEP 355 | accepted| debate | Changing the C API so that Paths are accepted where necessary was the suggested solution , although the PEP at the time of writing the summary still subclasses Path from string .|The debate centred on whether subclassing stringwas the best way to do this or not .
PEP 355 | accepted| majority | Changing the C API so that Paths are accepted where necessary was the suggested solution , although the PEP at the time of writing the summary still subclasses Path from string .|Subclassing string provides the advantage that Paths can be used inthe majority of places where strings are currently used , withoutmodification .
PEP 355 | accepted| discussion | Changing the C API so that Paths are accepted where necessary was the suggested solution , although the PEP at the time of writing the summary still subclasses Path from string .|More discussion considered whether Path should subclass string or not .
PEP 355 | accepted| debate | Changing the C API so that Paths are accepted where necessary was the suggested solution , although the PEP at the time of writing the summary still subclasses Path from string .|The debate centred on whether subclassing stringwas the best way to do this or not .
PEP 355 | accepted| majority | Changing the C API so that Paths are accepted where necessary was the suggested solution , although the PEP at the time of writing the summary still subclasses Path from string .|Subclassing string provides the advantage that Paths can be used inthe majority of places where strings are currently used , withoutmodification .
PEP 355 | accepted| discussion | Changing the C API so that Paths are accepted where necessary was the suggested solution , although the PEP at the time of writing the summary still subclasses Path from string .|More discussion considered whether Path should subclass string or not .
PEP 355 | accepted| debate | Changing the C API so that Paths are accepted where necessary was the suggested solution , although the PEP at the time of writing the summary still subclasses Path from string .|The debate centred on whether subclassing stringwas the best way to do this or not .
PEP 355 | accepted| majority | Changing the C API so that Paths are accepted where necessary was the suggested solution , although the PEP at the time of writing the summary still subclasses Path from string .|Subclassing string provides the advantage that Paths can be used inthe majority of places where strings are currently used , withoutmodification .
PEP 355 | accepted| discussion | Changing the C API so that Paths are accepted where necessary was the suggested solution , although the PEP at the time of writing the summary still subclasses Path from string .|More discussion considered whether Path should subclass string or not .
PEP 355 | accepted| debate | Changing the C API so that Paths are accepted where necessary was the suggested solution , although the PEP at the time of writing the summary still subclasses Path from string .|The debate centred on whether subclassing stringwas the best way to do this or not .
PEP 355 | accepted| majority | Changing the C API so that Paths are accepted where necessary was the suggested solution , although the PEP at the time of writing the summary still subclasses Path from string .|Subclassing string provides the advantage that Paths can be used inthe majority of places where strings are currently used , withoutmodification .
PEP 355 | accepted| discussion | Changing the C API so that Paths are accepted where necessary was the suggested solution , although the PEP at the time of writing the summary still subclasses Path from string .|More discussion considered whether Path should subclass string or not .
PEP 355 | accepted| debate | Changing the C API so that Paths are accepted where necessary was the suggested solution , although the PEP at the time of writing the summary still subclasses Path from string .|The debate centred on whether subclassing stringwas the best way to do this or not .
PEP 355 | accepted| majority | Changing the C API so that Paths are accepted where necessary was the suggested solution , although the PEP at the time of writing the summary still subclasses Path from string .|Subclassing string provides the advantage that Paths can be used inthe majority of places where strings are currently used , withoutmodification .
PEP 355 | accepted| discussion | Changing the C API so that Paths are accepted where necessary was the suggested solution , although the PEP at the time of writing the summary still subclasses Path from string .|More discussion considered whether Path should subclass string or not .
PEP 355 | accepted| debate | Changing the C API so that Paths are accepted where necessary was the suggested solution , although the PEP at the time of writing the summary still subclasses Path from string .|The debate centred on whether subclassing stringwas the best way to do this or not .
PEP 355 | accepted| majority | Changing the C API so that Paths are accepted where necessary was the suggested solution , although the PEP at the time of writing the summary still subclasses Path from string .|Subclassing string provides the advantage that Paths can be used inthe majority of places where strings are currently used , withoutmodification .
PEP 355 | accepted| discussion | Changing the C API so that Paths are accepted where necessary was the suggested solution , although the PEP at the time of writing the summary still subclasses Path from string .|More discussion considered whether Path should subclass string or not .
PEP 355 | accepted| debate | Changing the C API so that Paths are accepted where necessary was the suggested solution , although the PEP at the time of writing the summary still subclasses Path from string .|The debate centred on whether subclassing stringwas the best way to do this or not .
PEP 355 | accepted| majority | Changing the C API so that Paths are accepted where necessary was the suggested solution , although the PEP at the time of writing the summary still subclasses Path from string .|Subclassing string provides the advantage that Paths can be used inthe majority of places where strings are currently used , withoutmodification .
