PEP 318 | proposal | discussion | My humble hope is that this document helps to improve the quality of the ongoing discussion . | Knowing we want something ' , but not spelling it out . | 2 .
PEP 219 | final | support | A final option is to use the Stackless 2 3 variant implementation of Python instead , which supports lightweight coroutines . | This does n't work on platforms without threads , though , and is very slow on platforms that do compared to what is achievable without threads . | 
PEP 219 | null | support | A final option is to use the Stackless 2 3 variant implementation of Python instead , which supports lightweight coroutines . | This does n't work on platforms without threads , though , and is very slow on platforms that do compared to what is achievable without threads . | 
PEP 219 | null | support | A final option is to use the Stackless 2 3 variant implementation of Python instead , which supports lightweight coroutines . | This does n't work on platforms without threads , though , and is very slow on platforms that do compared to what is achievable without threads . | 
PEP 219 | final | support | A final option is to use the Stackless 2 3 variant implementation of Python instead , which supports lightweight coroutines . | This does n't work on platforms without threads , though , and is very slow on platforms that do compared to what is achievable without threads . | 
PEP 219 | null | support | A final option is to use the Stackless 2 3 variant implementation of Python instead , which supports lightweight coroutines . | This does n't work on platforms without threads , though , and is very slow on platforms that do compared to what is achievable without threads . | 
PEP 219 | null | support | A final option is to use the Stackless 2 3 variant implementation of Python instead , which supports lightweight coroutines . | This does n't work on platforms without threads , though , and is very slow on platforms that do compared to what is achievable without threads . | 
PEP 219 | final | support | A final option is to use the Stackless 2 3 variant implementation of Python instead , which supports lightweight coroutines . | This does n't work on platforms without threads , though , and is very slow on platforms that do compared to what is achievable without threads . | 
PEP 219 | null | support | A final option is to use the Stackless 2 3 variant implementation of Python instead , which supports lightweight coroutines . | This does n't work on platforms without threads , though , and is very slow on platforms that do compared to what is achievable without threads . | 
PEP 219 | null | support | A final option is to use the Stackless 2 3 variant implementation of Python instead , which supports lightweight coroutines . | This does n't work on platforms without threads , though , and is very slow on platforms that do compared to what is achievable without threads . | 
PEP 219 | final | support | A final option is to use the Stackless 2 3 variant implementation of Python instead , which supports lightweight coroutines . | This does n't work on platforms without threads , though , and is very slow on platforms that do compared to what is achievable without threads . | 
PEP 219 | null | support | A final option is to use the Stackless 2 3 variant implementation of Python instead , which supports lightweight coroutines . | This does n't work on platforms without threads , though , and is very slow on platforms that do compared to what is achievable without threads . | 
PEP 219 | null | support | A final option is to use the Stackless 2 3 variant implementation of Python instead , which supports lightweight coroutines . | This does n't work on platforms without threads , though , and is very slow on platforms that do compared to what is achievable without threads . | 
PEP 219 | final | support | A final option is to use the Stackless 2 3 variant implementation of Python instead , which supports lightweight coroutines . | This does n't work on platforms without threads , though , and is very slow on platforms that do compared to what is achievable without threads . | 
PEP 219 | null | support | A final option is to use the Stackless 2 3 variant implementation of Python instead , which supports lightweight coroutines . | This does n't work on platforms without threads , though , and is very slow on platforms that do compared to what is achievable without threads . | 
PEP 219 | null | support | A final option is to use the Stackless 2 3 variant implementation of Python instead , which supports lightweight coroutines . | This does n't work on platforms without threads , though , and is very slow on platforms that do compared to what is achievable without threads . | 
PEP 219 | final | support | A final option is to use the Stackless 2 3 variant implementation of Python instead , which supports lightweight coroutines . | This does n't work on platforms without threads , though , and is very slow on platforms that do compared to what is achievable without threads . | 
PEP 219 | null | support | A final option is to use the Stackless 2 3 variant implementation of Python instead , which supports lightweight coroutines . | This does n't work on platforms without threads , though , and is very slow on platforms that do compared to what is achievable without threads . | 
PEP 219 | null | support | A final option is to use the Stackless 2 3 variant implementation of Python instead , which supports lightweight coroutines . | This does n't work on platforms without threads , though , and is very slow on platforms that do compared to what is achievable without threads . | 
PEP 219 | final | support | A final option is to use the Stackless 2 3 variant implementation of Python instead , which supports lightweight coroutines . | This does n't work on platforms without threads , though , and is very slow on platforms that do compared to what is achievable without threads . | 
PEP 219 | null | support | A final option is to use the Stackless 2 3 variant implementation of Python instead , which supports lightweight coroutines . | This does n't work on platforms without threads , though , and is very slow on platforms that do compared to what is achievable without threads . | 
PEP 234 | decided_bdfl_consensus | bdfl pronouncement | iterkeys ... Resolved Issues The following topics have been decided by consensus or BDFL pronouncement . | itervalues ... for key in dict . | 
PEP 234 | decided_bdfl_consensus | consensus | iterkeys ... Resolved Issues The following topics have been decided by consensus or BDFL pronouncement . | itervalues ... for key in dict . | 
PEP 234 | decided_bdfl_consensus | bdfl pronouncement | The following topics have been decided by consensus or BDFL pronouncement . | Resolved Issues |   Two alternative spellings for next     )  have been proposed but rejected     next       )  , because it corresponds to a type object slot    tp iternext  )    and   call       )  , because this is the only operation .
PEP 234 | decided_bdfl_consensus | consensus | The following topics have been decided by consensus or BDFL pronouncement . | Resolved Issues |   Two alternative spellings for next     )  have been proposed but rejected     next       )  , because it corresponds to a type object slot    tp iternext  )    and   call       )  , because this is the only operation .
PEP 234 | decided_bdfl_consensus | consensus | The following topics have been decided by consensus or BDFL ! | Resolved Issues ! | pronouncement . ! !
PEP 234 | decided_bdfl_consensus | bdfl pronouncement | Resolved Issues The following topics have been decided by consensus or BDFL pronouncement . | There is still discussion about whether 334,403 and found that the latter is only about 7 faster . | 
PEP 234 | decided_bdfl_consensus | consensus | Resolved Issues The following topics have been decided by consensus or BDFL pronouncement . | There is still discussion about whether 334,403 and found that the latter is only about 7 faster . | 
PEP 234 | null | support | The idea proposed here was supported by the BDFL on python dev 1 and is even mentioned in the original iterator PEP , PEP 234 In retrospect , it might have been better to go for next and have a new built in , next it , which calls it . | This creates a nice duality between iter and next iter function , sentinel next iterator , sentinel Previous Proposals This proposal is not a new idea . | 
PEP 234 | null | support | The idea proposed here was supported by the BDFL on python dev 1 and is even mentioned in the original iterator PEP , PEP 234 In retrospect , it might have been better to go for next and have a new built in , next it , which calls it . | This creates a nice duality between iter and next iter function , sentinel next iterator , sentinel Previous Proposals This proposal is not a new idea . | 
PEP 234 | null | support | The idea proposed here was supported by the BDFL on python dev 1 and is even mentioned in the original iterator PEP , PEP 234 In retrospect , it might have been better to go for next and have a new built in , next it , which calls it . | This creates a nice duality between iter and next iter function , sentinel next iterator , sentinel Previous Proposals This proposal is not a new idea . | 
PEP 234 | null | support | The idea proposed here was supported by the BDFL on python dev 1 and is even mentioned in the original iterator PEP , PEP 234 In retrospect , it might have been better to go for next and have a new built in , next it , which calls it . | This creates a nice duality between iter and next iter function , sentinel next iterator , sentinel Previous Proposals This proposal is not a new idea . | 
PEP 234 | null | support | The idea proposed here was supported by the BDFL on python dev 1 and is even mentioned in the original iterator PEP , PEP 234 In retrospect , it might have been better to go for next and have a new built in , next it , which calls it . | This creates a nice duality between iter and next iter function , sentinel next iterator , sentinel Previous Proposals This proposal is not a new idea . | 
PEP 234 | null | support | The idea proposed here was supported by the BDFL on python dev 1 and is even mentioned in the original iterator PEP , PEP 234 In retrospect , it might have been better to go for next and have a new built in , next it , which calls it . | This creates a nice duality between iter and next iter function , sentinel next iterator , sentinel Previous Proposals This proposal is not a new idea . | 
PEP 234 | null | support | The idea proposed here was supported by the BDFL on python dev 1 and is even mentioned in the original iterator PEP , PEP 234 In retrospect , it might have been better to go for next and have a new built in , next it , which calls it . | This creates a nice duality between iter and next iter function , sentinel next iterator , sentinel Previous Proposals This proposal is not a new idea . | 
PEP 234 | null | support | The idea proposed here was supported by the BDFL on python dev 1 and is even mentioned in the original iterator PEP , PEP 234 In retrospect , it might have been better to go for next and have a new built in , next it , which calls it . | This creates a nice duality between iter and next iter function , sentinel next iterator , sentinel Previous Proposals This proposal is not a new idea . | 
PEP 238 | null | support | The wrongness does n't come out immediately , and you can argue about it so in a sense it is a religious point but I am not a cultural relativist , and I find the proposed new semantics better than the old ones otherwise I would never have supported the PEP . | They are very subtly wrong , just as C 's int division semantics are subtly wrong they give a less useful result for negative numbers . | 
PEP 238 | null | discussion | Given all the other discussion that 's gone on , I sha n't whine if my proposal does n't get accepted , but I think the PEP still needs a clear statement about the silent breakage that 's possible under the current plan . | Because this is a hook that does n't affect the rest of the interpreter , maintaining it should be simpler , and there is n't anywhere near the baggage effect . |     Aahz       )     Copyright 2001 by aahz at pobox.com  ) 
PEP 238 | null | discussion | Given all the other discussion that 's gone on , I sha n't whine if my proposal does n't get accepted , but I think the PEP still needs a clear statement about the silent breakage that 's possible under the current plan . | Because this is a hook that does n't affect the rest of the interpreter , maintaining it should be simpler , and there is n't anywhere near the baggage effect . |     Aahz       )     Copyright 2001 by aahz at pobox.com  ) 
PEP 238 | null | discussion | Given all the other discussion that 's gone on , I sha n't whine if my proposal does n't get accepted , but I think the PEP still needs a clear statement about the silent breakage that 's possible under the current plan . | Because this is a hook that does n't affect the rest of the interpreter , maintaining it should be simpler , and there is n't anywhere near the baggage effect . |     Aahz       )     Copyright 2001 by aahz at pobox.com  ) 
PEP 239 | null | bdfl pronouncement | BDFL Pronouncement This PEP is rejected . | This PEP suggests no literals for rational numbers that is left for another PEP 1 . | 
PEP 239 | null | bdfl pronouncement | BDFL Pronouncement This PEP is rejected . | This PEP suggests no literals for rational numbers that is left for another PEP 1 . | 
PEP 239 | bdfl_pronouncement_rejected | bdfl pronouncement | BDFL Pronouncement This PEP is rejected . | This PEP suggests no literals for rational numbers that is left for another PEP 1 . | 
PEP 239 | bdfl_pronouncement_rejected | bdfl pronouncement | BDFL Pronouncement This PEP is rejected . | This PEP suggests no literals for rational numbers that is left for another PEP 1 . | 
PEP 239 | bdfl_pronouncement_rejected | bdfl pronouncement | BDFL Pronouncement This PEP is rejected . | This PEP suggests no literals for rational numbers that is left for another PEP 1 . | 
PEP 239 | bdfl_pronouncement_rejected | bdfl pronouncement | BDFL Pronouncement This PEP is rejected . | This PEP suggests no literals for rational numbers that is left for another PEP 1 . | 
PEP 239 | null | bdfl pronouncement | BDFL Pronouncement This PEP is rejected . | This PEP suggests no literals for rational numbers that is left for another PEP 1 . | 
PEP 239 | null | bdfl pronouncement | BDFL Pronouncement This PEP is rejected . | This PEP suggests no literals for rational numbers that is left for another PEP 1 . | 
PEP 239 | null | bdfl pronouncement | BDFL Pronouncement This PEP is rejected . | This PEP suggests no literals for rational numbers that is left for another PEP 1 . | 
PEP 239 | null | bdfl pronouncement | BDFL Pronouncement This PEP is rejected . | This PEP suggests no literals for rational numbers that is left for another PEP 1 . | 
PEP 239 | rejected | bdfl pronouncement | BDFL Pronouncement This PEP is rejected . | This PEP suggests no literals for rational numbers that is left for another PEP 1 . | 
PEP 239 | null | bdfl pronouncement | BDFL Pronouncement This PEP is rejected . | This PEP suggests no literals for rational numbers that is left for another PEP 1 . | 
PEP 239 | rejected | bdfl pronouncement | BDFL Pronouncement This PEP is rejected . | This PEP suggests no literals for rational numbers that is left for another PEP 1 . | 
PEP 239 | null | bdfl pronouncement | BDFL Pronouncement This PEP is rejected . | txt 17 Jun 2005 21 38 02 0000 1.8 3,7 3,7 Version Revision Author Christopher A. Craig python pep at ccraig.org , Moshe Zadka pep at zadka.site.co.il Status Draft Status Rejected Type Standards Track Created 11 Mar 2001 Python Version 2.2 17,6 17,13 rational in Python , and modifying non integer division to return it . | 
PEP 239 | null | bdfl pronouncement | BDFL Pronouncement This PEP is rejected . | txt 17 Jun 2005 21 38 02 0000 1.8 3,7 3,7 Version Revision Author Christopher A. Craig python pep at ccraig.org , Moshe Zadka pep at zadka.site.co.il Status Draft Status Rejected Type Standards Track Created 11 Mar 2001 Python Version 2.2 17,6 17,13 rational in Python , and modifying non integer division to return it . | 
PEP 239 | bdfl_pronouncement_rejected | bdfl pronouncement | BDFL Pronouncement This PEP is rejected . | txt 17 Jun 2005 21 38 02 0000 1.8 3,7 3,7 Version Revision Author Christopher A. Craig python pep at ccraig.org , Moshe Zadka pep at zadka.site.co.il Status Draft Status Rejected Type Standards Track Created 11 Mar 2001 Python Version 2.2 17,6 17,13 rational in Python , and modifying non integer division to return it . | 
PEP 239 | bdfl_pronouncement_rejected | bdfl pronouncement | BDFL Pronouncement This PEP is rejected . | txt 17 Jun 2005 21 38 02 0000 1.8 3,7 3,7 Version Revision Author Christopher A. Craig python pep at ccraig.org , Moshe Zadka pep at zadka.site.co.il Status Draft Status Rejected Type Standards Track Created 11 Mar 2001 Python Version 2.2 17,6 17,13 rational in Python , and modifying non integer division to return it . | 
PEP 239 | bdfl_pronouncement_rejected | bdfl pronouncement | BDFL Pronouncement This PEP is rejected . | txt 17 Jun 2005 21 38 02 0000 1.8 3,7 3,7 Version Revision Author Christopher A. Craig python pep at ccraig.org , Moshe Zadka pep at zadka.site.co.il Status Draft Status Rejected Type Standards Track Created 11 Mar 2001 Python Version 2.2 17,6 17,13 rational in Python , and modifying non integer division to return it . | 
PEP 239 | bdfl_pronouncement_rejected | bdfl pronouncement | BDFL Pronouncement This PEP is rejected . | txt 17 Jun 2005 21 38 02 0000 1.8 3,7 3,7 Version Revision Author Christopher A. Craig python pep at ccraig.org , Moshe Zadka pep at zadka.site.co.il Status Draft Status Rejected Type Standards Track Created 11 Mar 2001 Python Version 2.2 17,6 17,13 rational in Python , and modifying non integer division to return it . | 
PEP 239 | null | bdfl pronouncement | BDFL Pronouncement This PEP is rejected . | txt 17 Jun 2005 21 38 02 0000 1.8 3,7 3,7 Version Revision Author Christopher A. Craig python pep at ccraig.org , Moshe Zadka pep at zadka.site.co.il Status Draft Status Rejected Type Standards Track Created 11 Mar 2001 Python Version 2.2 17,6 17,13 rational in Python , and modifying non integer division to return it . | 
PEP 239 | null | bdfl pronouncement | BDFL Pronouncement This PEP is rejected . | txt 17 Jun 2005 21 38 02 0000 1.8 3,7 3,7 Version Revision Author Christopher A. Craig python pep at ccraig.org , Moshe Zadka pep at zadka.site.co.il Status Draft Status Rejected Type Standards Track Created 11 Mar 2001 Python Version 2.2 17,6 17,13 rational in Python , and modifying non integer division to return it . | 
PEP 239 | null | bdfl pronouncement | BDFL Pronouncement This PEP is rejected . | txt 17 Jun 2005 21 38 02 0000 1.8 3,7 3,7 Version Revision Author Christopher A. Craig python pep at ccraig.org , Moshe Zadka pep at zadka.site.co.il Status Draft Status Rejected Type Standards Track Created 11 Mar 2001 Python Version 2.2 17,6 17,13 rational in Python , and modifying non integer division to return it . | 
PEP 239 | null | bdfl pronouncement | BDFL Pronouncement This PEP is rejected . | txt 17 Jun 2005 21 38 02 0000 1.8 3,7 3,7 Version Revision Author Christopher A. Craig python pep at ccraig.org , Moshe Zadka pep at zadka.site.co.il Status Draft Status Rejected Type Standards Track Created 11 Mar 2001 Python Version 2.2 17,6 17,13 rational in Python , and modifying non integer division to return it . | 
PEP 239 | rejected | bdfl pronouncement | BDFL Pronouncement This PEP is rejected . | txt 17 Jun 2005 21 38 02 0000 1.8 3,7 3,7 Version Revision Author Christopher A. Craig python pep at ccraig.org , Moshe Zadka pep at zadka.site.co.il Status Draft Status Rejected Type Standards Track Created 11 Mar 2001 Python Version 2.2 17,6 17,13 rational in Python , and modifying non integer division to return it . | 
PEP 239 | null | bdfl pronouncement | BDFL Pronouncement This PEP is rejected . | txt 17 Jun 2005 21 38 02 0000 1.8 3,7 3,7 Version Revision Author Christopher A. Craig python pep at ccraig.org , Moshe Zadka pep at zadka.site.co.il Status Draft Status Rejected Type Standards Track Created 11 Mar 2001 Python Version 2.2 17,6 17,13 rational in Python , and modifying non integer division to return it . | 
PEP 239 | rejected | bdfl pronouncement | BDFL Pronouncement This PEP is rejected . | txt 17 Jun 2005 21 38 02 0000 1.8 3,7 3,7 Version Revision Author Christopher A. Craig python pep at ccraig.org , Moshe Zadka pep at zadka.site.co.il Status Draft Status Rejected Type Standards Track Created 11 Mar 2001 Python Version 2.2 17,6 17,13 rational in Python , and modifying non integer division to return it . | 
PEP 240 | null | bdfl pronouncement | BDFL Pronouncement This PEP is rejected . | This PEP suggests no literals for rational numbers that is left for another PEP 1 . | 
PEP 240 | null | bdfl pronouncement | BDFL Pronouncement This PEP is rejected . | This PEP suggests no literals for rational numbers that is left for another PEP 1 . | 
PEP 240 | bdfl_pronouncement_rejected | bdfl pronouncement | BDFL Pronouncement This PEP is rejected . | This PEP suggests no literals for rational numbers that is left for another PEP 1 . | 
PEP 240 | bdfl_pronouncement_rejected | bdfl pronouncement | BDFL Pronouncement This PEP is rejected . | This PEP suggests no literals for rational numbers that is left for another PEP 1 . | 
PEP 240 | bdfl_pronouncement_rejected | bdfl pronouncement | BDFL Pronouncement This PEP is rejected . | This PEP suggests no literals for rational numbers that is left for another PEP 1 . | 
PEP 240 | bdfl_pronouncement_rejected | bdfl pronouncement | BDFL Pronouncement This PEP is rejected . | This PEP suggests no literals for rational numbers that is left for another PEP 1 . | 
PEP 240 | null | bdfl pronouncement | BDFL Pronouncement This PEP is rejected . | This PEP suggests no literals for rational numbers that is left for another PEP 1 . | 
PEP 240 | null | bdfl pronouncement | BDFL Pronouncement This PEP is rejected . | This PEP suggests no literals for rational numbers that is left for another PEP 1 . | 
PEP 240 | null | bdfl pronouncement | BDFL Pronouncement This PEP is rejected . | This PEP suggests no literals for rational numbers that is left for another PEP 1 . | 
PEP 240 | null | bdfl pronouncement | BDFL Pronouncement This PEP is rejected . | This PEP suggests no literals for rational numbers that is left for another PEP 1 . | 
PEP 240 | rejected | bdfl pronouncement | BDFL Pronouncement This PEP is rejected . | This PEP suggests no literals for rational numbers that is left for another PEP 1 . | 
PEP 240 | null | bdfl pronouncement | BDFL Pronouncement This PEP is rejected . | This PEP suggests no literals for rational numbers that is left for another PEP 1 . | 
PEP 240 | rejected | bdfl pronouncement | BDFL Pronouncement This PEP is rejected . | This PEP suggests no literals for rational numbers that is left for another PEP 1 . | 
PEP 240 | null | bdfl pronouncement | BDFL Pronouncement This PEP is rejected . | txt 17 Jun 2005 21 38 02 0000 1.8 3,7 3,7 Version Revision Author Christopher A. Craig python pep at ccraig.org , Moshe Zadka pep at zadka.site.co.il Status Draft Status Rejected Type Standards Track Created 11 Mar 2001 Python Version 2.2 17,6 17,13 rational in Python , and modifying non integer division to return it . | 
PEP 240 | null | bdfl pronouncement | BDFL Pronouncement This PEP is rejected . | txt 17 Jun 2005 21 38 02 0000 1.8 3,7 3,7 Version Revision Author Christopher A. Craig python pep at ccraig.org , Moshe Zadka pep at zadka.site.co.il Status Draft Status Rejected Type Standards Track Created 11 Mar 2001 Python Version 2.2 17,6 17,13 rational in Python , and modifying non integer division to return it . | 
PEP 240 | bdfl_pronouncement_rejected | bdfl pronouncement | BDFL Pronouncement This PEP is rejected . | txt 17 Jun 2005 21 38 02 0000 1.8 3,7 3,7 Version Revision Author Christopher A. Craig python pep at ccraig.org , Moshe Zadka pep at zadka.site.co.il Status Draft Status Rejected Type Standards Track Created 11 Mar 2001 Python Version 2.2 17,6 17,13 rational in Python , and modifying non integer division to return it . | 
PEP 240 | bdfl_pronouncement_rejected | bdfl pronouncement | BDFL Pronouncement This PEP is rejected . | txt 17 Jun 2005 21 38 02 0000 1.8 3,7 3,7 Version Revision Author Christopher A. Craig python pep at ccraig.org , Moshe Zadka pep at zadka.site.co.il Status Draft Status Rejected Type Standards Track Created 11 Mar 2001 Python Version 2.2 17,6 17,13 rational in Python , and modifying non integer division to return it . | 
PEP 240 | bdfl_pronouncement_rejected | bdfl pronouncement | BDFL Pronouncement This PEP is rejected . | txt 17 Jun 2005 21 38 02 0000 1.8 3,7 3,7 Version Revision Author Christopher A. Craig python pep at ccraig.org , Moshe Zadka pep at zadka.site.co.il Status Draft Status Rejected Type Standards Track Created 11 Mar 2001 Python Version 2.2 17,6 17,13 rational in Python , and modifying non integer division to return it . | 
PEP 240 | bdfl_pronouncement_rejected | bdfl pronouncement | BDFL Pronouncement This PEP is rejected . | txt 17 Jun 2005 21 38 02 0000 1.8 3,7 3,7 Version Revision Author Christopher A. Craig python pep at ccraig.org , Moshe Zadka pep at zadka.site.co.il Status Draft Status Rejected Type Standards Track Created 11 Mar 2001 Python Version 2.2 17,6 17,13 rational in Python , and modifying non integer division to return it . | 
PEP 240 | null | bdfl pronouncement | BDFL Pronouncement This PEP is rejected . | txt 17 Jun 2005 21 38 02 0000 1.8 3,7 3,7 Version Revision Author Christopher A. Craig python pep at ccraig.org , Moshe Zadka pep at zadka.site.co.il Status Draft Status Rejected Type Standards Track Created 11 Mar 2001 Python Version 2.2 17,6 17,13 rational in Python , and modifying non integer division to return it . | 
PEP 240 | null | bdfl pronouncement | BDFL Pronouncement This PEP is rejected . | txt 17 Jun 2005 21 38 02 0000 1.8 3,7 3,7 Version Revision Author Christopher A. Craig python pep at ccraig.org , Moshe Zadka pep at zadka.site.co.il Status Draft Status Rejected Type Standards Track Created 11 Mar 2001 Python Version 2.2 17,6 17,13 rational in Python , and modifying non integer division to return it . | 
PEP 240 | null | bdfl pronouncement | BDFL Pronouncement This PEP is rejected . | txt 17 Jun 2005 21 38 02 0000 1.8 3,7 3,7 Version Revision Author Christopher A. Craig python pep at ccraig.org , Moshe Zadka pep at zadka.site.co.il Status Draft Status Rejected Type Standards Track Created 11 Mar 2001 Python Version 2.2 17,6 17,13 rational in Python , and modifying non integer division to return it . | 
PEP 240 | null | bdfl pronouncement | BDFL Pronouncement This PEP is rejected . | txt 17 Jun 2005 21 38 02 0000 1.8 3,7 3,7 Version Revision Author Christopher A. Craig python pep at ccraig.org , Moshe Zadka pep at zadka.site.co.il Status Draft Status Rejected Type Standards Track Created 11 Mar 2001 Python Version 2.2 17,6 17,13 rational in Python , and modifying non integer division to return it . | 
PEP 240 | rejected | bdfl pronouncement | BDFL Pronouncement This PEP is rejected . | txt 17 Jun 2005 21 38 02 0000 1.8 3,7 3,7 Version Revision Author Christopher A. Craig python pep at ccraig.org , Moshe Zadka pep at zadka.site.co.il Status Draft Status Rejected Type Standards Track Created 11 Mar 2001 Python Version 2.2 17,6 17,13 rational in Python , and modifying non integer division to return it . | 
PEP 240 | null | bdfl pronouncement | BDFL Pronouncement This PEP is rejected . | txt 17 Jun 2005 21 38 02 0000 1.8 3,7 3,7 Version Revision Author Christopher A. Craig python pep at ccraig.org , Moshe Zadka pep at zadka.site.co.il Status Draft Status Rejected Type Standards Track Created 11 Mar 2001 Python Version 2.2 17,6 17,13 rational in Python , and modifying non integer division to return it . | 
PEP 240 | rejected | bdfl pronouncement | BDFL Pronouncement This PEP is rejected . | txt 17 Jun 2005 21 38 02 0000 1.8 3,7 3,7 Version Revision Author Christopher A. Craig python pep at ccraig.org , Moshe Zadka pep at zadka.site.co.il Status Draft Status Rejected Type Standards Track Created 11 Mar 2001 Python Version 2.2 17,6 17,13 rational in Python , and modifying non integer division to return it . | 
PEP 241 | null | discussion | txt Log Message After discussions w Andrew , we 've decided to mark this PEP as Final . | Modified Files pep 0241 . | 
PEP 241 | null | discussion | txt Log Message After discussions w Andrew , we 've decided to mark this PEP as Final . | Modified Files pep 0241 . | 
PEP 245 | bdfl_pronouncement_rejected | bdfl pronouncement | PEP 245 was rejected by BDFL pronouncement . | It then depends on the details . | This is how things are ultimately decided   by BDFL pronouncement .
PEP 245 | bdfl_pronouncement_rejected | bdfl pronouncement | PEP 245 was rejected by BDFL pronouncement . | It then depends on the details . | This is how things are ultimately decided   by BDFL pronouncement .
PEP 245 | bdfl_pronouncement_rejected | bdfl pronouncement | PEP 245 was rejected by BDFL pronouncement . | It then depends on the details . | This is how things are ultimately decided   by BDFL pronouncement .
PEP 245 | bdfl_pronouncement_rejected | bdfl pronouncement | PEP 245 was rejected by BDFL pronouncement . | It then depends on the details . | This is how things are ultimately decided   by BDFL pronouncement .
PEP 245 | rejected | bdfl pronouncement | PEP 245 was rejected by BDFL pronouncement . | It then depends on the details . | This is how things are ultimately decided   by BDFL pronouncement .
PEP 245 | rejected | bdfl pronouncement | PEP 245 was rejected by BDFL pronouncement . | It then depends on the details . | This is how things are ultimately decided   by BDFL pronouncement .
PEP 246 | null | support | PEP 246 without an open protocols '' protocol , does n't support this latter requirement . | This is why one of my requirements for PyProtocols was that it absolutely had to support declaring adapters for built in types , and why another one was that it should be possible for two people to independently declare equivalent or overlapping protocols , and then have a third party glue them together . | 
PEP 246 | null | support | Clark and Alex have proposed changes to PEP 246 that would support these proposals within the scope of the adapt ' system , and I have pre PEPped an add on to their system that allows extenders to be automatically assembled from '' like '' decorators sprinkled over methods or extension routines . | Meanwhile , no adapt call should adapt an extender it should instead adapt the extended object . | 
PEP 246 | null | support | Clark and Alex have proposed changes to PEP 246 that would support these proposals within the scope of the adapt ' system , and I have pre PEPped an add on to their system that allows extenders to be automatically assembled from '' like '' decorators sprinkled over methods or extension routines . | Meanwhile , no adapt call should adapt an extender it should instead adapt the extended object . | 
PEP 250 | proposal | support | In this PEP , I propose to phase out the second API in favor of supporting the class instance introspection API for all types . | Digital Creations 's ExtensionClasses ignore the second introspection API , and instead emulate the class instance introspection API , which is more powerful . | One argument in favor of the class instance introspection API is that it does n't require you to create an instance in order to find out which attributes a type supports   this in turn is useful for documentation processors .
PEP 250 | proposal | support | In this PEP , I propose to phase out the second API in favor of supporting the class instance introspection API for all types . | Digital Creations 's ExtensionClasses ignore the second introspection API , and instead emulate the class instance introspection API , which is more powerful . | One argument in favor of the class instance introspection API is that it does n't require you to create an instance in order to find out which attributes a type supports   this in turn is useful for documentation processors .
PEP 251 | proposal | support | In this PEP , I propose to phase out the second API in favor of supporting the class instance introspection API for all types . | Digital Creations 's ExtensionClasses ignore the second introspection API , and instead emulate the class instance introspection API , which is more powerful . | One argument in favor of the class instance introspection API is that it does n't require you to create an instance in order to find out which attributes a type supports   this in turn is useful for documentation processors .
PEP 251 | proposal | support | In this PEP , I propose to phase out the second API in favor of supporting the class instance introspection API for all types . | Digital Creations 's ExtensionClasses ignore the second introspection API , and instead emulate the class instance introspection API , which is more powerful . | One argument in favor of the class instance introspection API is that it does n't require you to create an instance in order to find out which attributes a type supports   this in turn is useful for documentation processors .
PEP 255 | proposal | support | PEP 255 proposes both a mechanism and concrete syntax to support it . | I was discussing mechanisms . | I pointed out that the proposed mechanism had important limitations    well , important to me I suppose   I like it when abstractions can commute   this is not the case with the generators of PEP 255  )  and I offered a more general mechanism , but I did not suggest convenient concrete syntax for it .
PEP 255 | proposal | support | This PEP proposes that generators support a close method and destruction semantics , such that the restriction can be lifted , expanding the applicability of generators . | The finally clause execution can not be either guaranteed or enforced . | Rationale
PEP 255 | proposal | support | This PEP proposes that generators support a close method and destruction semantics , such that the restriction can be lifted , expanding the applicability of generators . | The finally clause execution can not be either guaranteed or enforced . | Rationale
PEP 255 | updated | discussion | After , much discussion on the python dev list , the PEP has been resurrected its present form . | The bracketed yield syntax left something to be desired the performance gains had not been demonstrated and the range of use cases had not been shown . | The impetus for the discussion was an innovative proposal from Peter Norvig .
PEP 255 | updated | discussion | After , much discussion on the python dev list , the PEP has been resurrected its present form . | The bracketed yield syntax left something to be desired the performance gains had not been demonstrated and the range of use cases had not been shown . | The impetus for the discussion was an innovative proposal from Peter Norvig .
PEP 255 | updated | discussion | After , much discussion on the python dev list , the PEP has been resurrected its present form . | The bracketed yield syntax left something to be desired the performance gains had not been demonstrated and the range of use cases had not been shown . | The impetus for the discussion was an innovative proposal from Peter Norvig    3  )    .
PEP 255 | updated | discussion | After , much discussion on the python dev list , the PEP has been resurrected its present form . | The bracketed yield syntax left something to be desired the performance gains had not been demonstrated and the range of use cases had not been shown . | The impetus for the discussion was an innovative proposal from Peter Norvig    3  )    .
PEP 255 | null | support | There is a reference implementation 2 that supports everything that the PEP proposes to add . | The PEP is also available at 1 . | 
PEP 255 | null | support | There is a reference implementation 2 that supports everything that the PEP proposes to add . | The PEP is also available at 1 . | 
PEP 256 | null | consensus | To establish a standard docstring format by attaining accepted '' status Python community consensus BDFL pronouncement . | 1 . | 
PEP 256 | null | consensus | To establish a standard docstring format by attaining accepted '' status Python community consensus BDFL pronouncement . | 1 . | 
PEP 256 | null | consensus | To establish a standard docstring format by attaining accepted '' status Python community consensus BDFL pronouncement . | The goals of this PEP are as follows 1 . | 
PEP 256 | null | consensus | To establish a standard docstring format by attaining accepted '' status Python community consensus BDFL pronouncement . | The goals of this PEP are as follows 1 . | 
