PEP 256 | proposal | consensus | consensus | is |  | This PEP proposes a Docstring Processing System DPS framework .
PEP 308 | vote | no_consensus | no format | was | draw majority | Following the discussion , a vote was held .
PEP 308 | vote | no_consensus | no format | was | draw majority | Following the discussion , a vote was held .
PEP 308 | vote_after_discussion | no_consensus | no format | was | draw majority | Following the discussion , a vote was held .
PEP 308 | vote_after_discussion | no_consensus | no format | was | draw majority | Following the discussion , a vote was held .
PEP 308 | rejected | no_consensus | no format | was | draw majority | Accordingly , the PEP was rejected due to the lack of an overwhelming majority for change .
PEP 308 | rejected | no_consensus | no format | was | draw majority | Accordingly , the PEP was rejected due to the lack of an overwhelming majority for change .
PEP 308 | rejected | no_consensus | no format | was | draw majority | Accordingly , the PEP was rejected due to the lack of an overwhelming majority for change .
PEP 308 | rejected | no_consensus | no format | was | draw majority | Accordingly , the PEP was rejected due to the lack of an overwhelming majority for change .
PEP 308 | vote | no_consensus | no format | was | draw majority | Following the discussion , a vote was held .
PEP 308 | vote | no_consensus | no format | was | draw majority | Following the discussion , a vote was held .
PEP 308 | vote | no_consensus | no format | was | draw majority | Following the discussion , a vote was held .
PEP 308 | vote | no_consensus | no format | was | draw majority | Following the discussion , a vote was held .
PEP 308 | vote_after_discussion | no_consensus | no format | was | draw majority | Following the discussion , a vote was held .
PEP 308 | vote_after_discussion | no_consensus | no format | was | draw majority | Following the discussion , a vote was held .
PEP 308 | rejected | no_consensus | no format | was | draw majority | Accordingly , the PEP was rejected due to the lack of an overwhelming majority for change . ''
PEP 308 | rejected | no_consensus | no format | was | draw majority | Accordingly , the PEP was rejected due to the lack of an overwhelming majority for change . ''
PEP 308 | rejected | no_consensus | no format | was | draw majority | Accordingly , the PEP was rejected due to the lack of an overwhelming majority for change . ''
PEP 308 | rejected | no_consensus | no format | was | draw majority | Accordingly , the PEP was rejected due to the lack of an overwhelming majority for change . ''
PEP 308 | bdfl_pronouncement | no_consensus | previous community | stymied | lack consensus | That issue was resolved by simply deferring to a BDFL best judgment call .
PEP 308 | bdfl_pronouncement | no_consensus | previous community | stymied | lack consensus | That issue was resolved by simply deferring to a BDFL best judgment call .
PEP 308 | bdfl_pronouncement | no_consensus | previous community | stymied | lack consensus | That issue was resolved by simply deferring to a BDFL best judgment call .
PEP 308 | bdfl_pronouncement | no_consensus | previous community | stymied | lack consensus | That issue was resolved by simply deferring to a BDFL best judgment call .
PEP 308 | bdfl_pronouncement | no_consensus | previous community | stymied | lack consensus | That issue was resolved by simply deferring to a BDFL best judgment call .
PEP 308 | bdfl_pronouncement | no_consensus | previous community | stymied | lack consensus | That issue was resolved by simply deferring to a BDFL best judgment call .
PEP 308 | updated | no_consensus | previous community | stymied | lack consensus | That issue was resolved by simply deferring to a BDFL best judgment call .
PEP 308 | updated | no_consensus | previous community | stymied | lack consensus | That issue was resolved by simply deferring to a BDFL best judgment call .
PEP 308 | updated | no_consensus | previous community | stymied | lack consensus | That issue was resolved by simply deferring to a BDFL best judgment call .
PEP 308 | vote | no_consensus | no format | was | draw majority | Following the discussion , a vote was held .
PEP 308 | vote | no_consensus | no format | was | draw majority | Following the discussion , a vote was held .
PEP 308 | vote | no_consensus | no format | was | draw majority | Following the discussion , a vote was held .
PEP 308 | vote | no_consensus | no format | was | draw majority | Following the discussion , a vote was held .
PEP 308 | vote_after_discussion | no_consensus | no format | was | draw majority | Following the discussion , a vote was held .
PEP 308 | vote_after_discussion | no_consensus | no format | was | draw majority | Following the discussion , a vote was held .
PEP 308 | rejected | no_consensus | no format | was | draw majority | Accordingly , the PEP was rejected due to the lack of an overwhelming majority for change .
PEP 308 | rejected | no_consensus | no format | was | draw majority | Accordingly , the PEP was rejected due to the lack of an overwhelming majority for change .
PEP 308 | rejected | no_consensus | no format | was | draw majority | Accordingly , the PEP was rejected due to the lack of an overwhelming majority for change .
PEP 308 | rejected | no_consensus | no format | was | draw majority | Accordingly , the PEP was rejected due to the lack of an overwhelming majority for change .
PEP 308 | vote | no_consensus | no format | was | draw majority | Following the discussion , a vote was held .
PEP 308 | vote | no_consensus | no format | was | draw majority | Following the discussion , a vote was held .
PEP 308 | vote | no_consensus | no format | was | draw majority | Following the discussion , a vote was held .
PEP 308 | vote | no_consensus | no format | was | draw majority | Following the discussion , a vote was held .
PEP 308 | vote_after_discussion | no_consensus | no format | was | draw majority | Following the discussion , a vote was held .
PEP 308 | vote_after_discussion | no_consensus | no format | was | draw majority | Following the discussion , a vote was held .
PEP 308 | rejected | no_consensus | no format | was | draw majority | Accordingly , the PEP was rejected due to the lack of an overwhelming majority for change . ''
PEP 308 | rejected | no_consensus | no format | was | draw majority | Accordingly , the PEP was rejected due to the lack of an overwhelming majority for change . ''
PEP 308 | rejected | no_consensus | no format | was | draw majority | Accordingly , the PEP was rejected due to the lack of an overwhelming majority for change . ''
PEP 308 | rejected | no_consensus | no format | was | draw majority | Accordingly , the PEP was rejected due to the lack of an overwhelming majority for change . ''
PEP 308 | bdfl_pronouncement | no_consensus | previous community | stymied | lack consensus | That issue was resolved by simply deferring to a BDFL best judgment call .
PEP 308 | bdfl_pronouncement | no_consensus | previous community | stymied | lack consensus | That issue was resolved by simply deferring to a BDFL best judgment call .
PEP 308 | bdfl_pronouncement | no_consensus | previous community | stymied | lack consensus | That issue was resolved by simply deferring to a BDFL best judgment call .
PEP 308 | bdfl_pronouncement | no_consensus | previous community | stymied | lack consensus | That issue was resolved by simply deferring to a BDFL best judgment call .
PEP 308 | bdfl_pronouncement | no_consensus | previous community | stymied | lack consensus | That issue was resolved by simply deferring to a BDFL best judgment call .
PEP 308 | bdfl_pronouncement | no_consensus | previous community | stymied | lack consensus | That issue was resolved by simply deferring to a BDFL best judgment call .
PEP 308 | updated | no_consensus | previous community | stymied | lack consensus | That issue was resolved by simply deferring to a BDFL best judgment call .
PEP 308 | updated | no_consensus | previous community | stymied | lack consensus | That issue was resolved by simply deferring to a BDFL best judgment call .
PEP 308 | updated | no_consensus | previous community | stymied | lack consensus | That issue was resolved by simply deferring to a BDFL best judgment call .
PEP 308 | vote | no_consensus | no format | was | draw majority | Following the discussion , a vote was held .
PEP 308 | vote | no_consensus | no format | was | draw majority | Following the discussion , a vote was held .
PEP 308 | vote | no_consensus | no format | was | draw majority | Following the discussion , a vote was held .
PEP 308 | vote | no_consensus | no format | was | draw majority | Following the discussion , a vote was held .
PEP 308 | vote_after_discussion | no_consensus | no format | was | draw majority | Following the discussion , a vote was held .
PEP 308 | vote_after_discussion | no_consensus | no format | was | draw majority | Following the discussion , a vote was held .
PEP 308 | rejected | no_consensus | no format | was | draw majority | Accordingly , the PEP was rejected due to the lack of an overwhelming majority for change .
PEP 308 | rejected | no_consensus | no format | was | draw majority | Accordingly , the PEP was rejected due to the lack of an overwhelming majority for change .
PEP 308 | rejected | no_consensus | no format | was | draw majority | Accordingly , the PEP was rejected due to the lack of an overwhelming majority for change .
PEP 308 | rejected | no_consensus | no format | was | draw majority | Accordingly , the PEP was rejected due to the lack of an overwhelming majority for change .
PEP 308 | vote | no_consensus | no format | was | draw majority | Following the discussion , a vote was held .
PEP 308 | vote | no_consensus | no format | was | draw majority | Following the discussion , a vote was held .
PEP 308 | vote | no_consensus | no format | was | draw majority | Following the discussion , a vote was held .
PEP 308 | vote | no_consensus | no format | was | draw majority | Following the discussion , a vote was held .
PEP 308 | vote_after_discussion | no_consensus | no format | was | draw majority | Following the discussion , a vote was held .
PEP 308 | vote_after_discussion | no_consensus | no format | was | draw majority | Following the discussion , a vote was held .
PEP 308 | rejected | no_consensus | no format | was | draw majority | Accordingly , the PEP was rejected due to the lack of an overwhelming majority for change . ''
PEP 308 | rejected | no_consensus | no format | was | draw majority | Accordingly , the PEP was rejected due to the lack of an overwhelming majority for change . ''
PEP 308 | rejected | no_consensus | no format | was | draw majority | Accordingly , the PEP was rejected due to the lack of an overwhelming majority for change . ''
PEP 308 | rejected | no_consensus | no format | was | draw majority | Accordingly , the PEP was rejected due to the lack of an overwhelming majority for change . ''
PEP 308 | bdfl_pronouncement | no_consensus | previous community | stymied | lack consensus | That issue was resolved by simply deferring to a BDFL best judgment call .
PEP 308 | bdfl_pronouncement | no_consensus | previous community | stymied | lack consensus | That issue was resolved by simply deferring to a BDFL best judgment call .
PEP 308 | bdfl_pronouncement | no_consensus | previous community | stymied | lack consensus | That issue was resolved by simply deferring to a BDFL best judgment call .
PEP 308 | bdfl_pronouncement | no_consensus | previous community | stymied | lack consensus | That issue was resolved by simply deferring to a BDFL best judgment call .
PEP 308 | bdfl_pronouncement | no_consensus | previous community | stymied | lack consensus | That issue was resolved by simply deferring to a BDFL best judgment call .
PEP 308 | bdfl_pronouncement | no_consensus | previous community | stymied | lack consensus | That issue was resolved by simply deferring to a BDFL best judgment call .
PEP 308 | updated | no_consensus | previous community | stymied | lack consensus | That issue was resolved by simply deferring to a BDFL best judgment call .
PEP 308 | updated | no_consensus | previous community | stymied | lack consensus | That issue was resolved by simply deferring to a BDFL best judgment call .
PEP 308 | updated | no_consensus | previous community | stymied | lack consensus | That issue was resolved by simply deferring to a BDFL best judgment call .
